Series	Test_Fold	Model	Descriptors	Sex	Metric	Value
Weighted	2	XGBClassifier	ECFP	Unknown	ROC AUC	0.70244
Weighted	2	XGBClassifier	ECFP	Female	ROC AUC	0.68574
Unweighted	2	XGBClassifier	ECFP	Male	ROC AUC	0.60996
Unweighted	2	XGBClassifier	ECFP	Unknown	ROC AUC	0.64135
Unweighted	2	XGBClassifier	ECFP	Female	ROC AUC	0.63489
Weighted	1	XGBClassifier	ECFP	Unknown	PRC AUC	0.61621
Weighted	1	XGBClassifier	ECFP	Male	PRC AUC	0.54851
Weighted	1	XGBClassifier	ECFP	Female	PRC AUC	0.61208
Unweighted	1	XGBClassifier	ECFP	Unknown	PRC AUC	0.65911
Unweighted	1	XGBClassifier	ECFP	Male	PRC AUC	0.6061
Unweighted	1	XGBClassifier	ECFP	Female	PRC AUC	0.65489
Weighted	3	XGBClassifier	ECFP	Male	PRC AUC	0.52846
Weighted	3	XGBClassifier	ECFP	Unknown	PRC AUC	0.60946
Weighted	3	XGBClassifier	ECFP	Female	PRC AUC	0.57613
Unweighted	3	XGBClassifier	ECFP	Male	PRC AUC	0.60106
Unweighted	3	XGBClassifier	ECFP	Unknown	PRC AUC	0.66352
Unweighted	3	XGBClassifier	ECFP	Female	PRC AUC	0.66008
Weighted	4	XGBClassifier	ECFP	Female	PRC AUC	0.56811
Weighted	4	XGBClassifier	ECFP	Unknown	PRC AUC	0.56127
Weighted	4	XGBClassifier	ECFP	Male	PRC AUC	0.53557
Unweighted	4	XGBClassifier	ECFP	Female	PRC AUC	0.66559
Unweighted	4	XGBClassifier	ECFP	Unknown	PRC AUC	0.65586
Unweighted	4	XGBClassifier	ECFP	Male	PRC AUC	0.62598
Weighted	0	XGBClassifier	ECFP	Male	PRC AUC	0.53536
Weighted	0	XGBClassifier	ECFP	Unknown	PRC AUC	0.56953
Weighted	0	XGBClassifier	ECFP	Female	PRC AUC	0.59766
Unweighted	0	XGBClassifier	ECFP	Male	PRC AUC	0.63117
Unweighted	0	XGBClassifier	ECFP	Unknown	PRC AUC	0.65376
Unweighted	0	XGBClassifier	ECFP	Female	PRC AUC	0.68798
Weighted	2	XGBClassifier	ECFP	Male	PRC AUC	0.61131
Weighted	2	XGBClassifier	ECFP	Unknown	PRC AUC	0.69611
Weighted	2	XGBClassifier	ECFP	Female	PRC AUC	0.68949
Unweighted	2	XGBClassifier	ECFP	Male	PRC AUC	0.6701
Unweighted	2	XGBClassifier	ECFP	Unknown	PRC AUC	0.73359
Unweighted	2	XGBClassifier	ECFP	Female	PRC AUC	0.74129
Weighted	1	XGBClassifier	ECFP	Unknown	Brier	0.27164
Weighted	1	XGBClassifier	ECFP	Male	Brier	0.30326
Weighted	1	XGBClassifier	ECFP	Female	Brier	0.26638
Unweighted	1	XGBClassifier	ECFP	Unknown	Brier	0.27164
Unweighted	1	XGBClassifier	ECFP	Male	Brier	0.30326
Unweighted	1	XGBClassifier	ECFP	Female	Brier	0.26638
Weighted	3	XGBClassifier	ECFP	Male	Brier	0.29124
Weighted	3	XGBClassifier	ECFP	Unknown	Brier	0.27556
Weighted	3	XGBClassifier	ECFP	Female	Brier	0.2793
Unweighted	3	XGBClassifier	ECFP	Male	Brier	0.29124
Unweighted	3	XGBClassifier	ECFP	Unknown	Brier	0.27556
Unweighted	3	XGBClassifier	ECFP	Female	Brier	0.2793
Weighted	4	XGBClassifier	ECFP	Female	Brier	0.25078
Weighted	4	XGBClassifier	ECFP	Unknown	Brier	0.24833
Weighted	4	XGBClassifier	ECFP	Male	Brier	0.25469
Unweighted	4	XGBClassifier	ECFP	Female	Brier	0.25078
Unweighted	4	XGBClassifier	ECFP	Unknown	Brier	0.24833
Unweighted	4	XGBClassifier	ECFP	Male	Brier	0.25469
Weighted	0	XGBClassifier	ECFP	Male	Brier	0.25968
Weighted	0	XGBClassifier	ECFP	Unknown	Brier	0.24933
Weighted	0	XGBClassifier	ECFP	Female	Brier	0.24748
Unweighted	0	XGBClassifier	ECFP	Male	Brier	0.25968
Unweighted	0	XGBClassifier	ECFP	Unknown	Brier	0.24933
Unweighted	0	XGBClassifier	ECFP	Female	Brier	0.24748
Weighted	2	XGBClassifier	ECFP	Male	Brier	0.24863
Weighted	2	XGBClassifier	ECFP	Unknown	Brier	0.232
Weighted	2	XGBClassifier	ECFP	Female	Brier	0.23414
Unweighted	2	XGBClassifier	ECFP	Male	Brier	0.24863
Unweighted	2	XGBClassifier	ECFP	Unknown	Brier	0.232
Unweighted	2	XGBClassifier	ECFP	Female	Brier	0.23414
