Series	Test_Fold	Model	Descriptors	Age	Metric	Value
Unweighted	4	XGBClassifier	ECFP	Adult	ROC AUC	0.57824
Unweighted	4	XGBClassifier	ECFP	Elderly	ROC AUC	0.59172
Unweighted	4	XGBClassifier	ECFP	Children	ROC AUC	0.54202
Weighted	0	XGBClassifier	ECFP	Adult	ROC AUC	0.59983
Weighted	0	XGBClassifier	ECFP	Unknown	ROC AUC	0.64097
Weighted	0	XGBClassifier	ECFP	Elderly	ROC AUC	0.62372
Weighted	0	XGBClassifier	ECFP	Children	ROC AUC	0.59522
Weighted	0	XGBClassifier	ECFP	Adolescent	ROC AUC	0.63651
Unweighted	0	XGBClassifier	ECFP	Adult	ROC AUC	0.58419
Unweighted	0	XGBClassifier	ECFP	Unknown	ROC AUC	0.61173
Unweighted	0	XGBClassifier	ECFP	Elderly	ROC AUC	0.5899
Unweighted	0	XGBClassifier	ECFP	Children	ROC AUC	0.57549
Unweighted	0	XGBClassifier	ECFP	Adolescent	ROC AUC	0.61364
Weighted	2	XGBClassifier	ECFP	Adolescent	ROC AUC	0.64147
Weighted	2	XGBClassifier	ECFP	Elderly	ROC AUC	0.63969
Weighted	2	XGBClassifier	ECFP	Children	ROC AUC	0.57784
Weighted	2	XGBClassifier	ECFP	Unknown	ROC AUC	0.71675
Weighted	2	XGBClassifier	ECFP	Adult	ROC AUC	0.70602
Unweighted	2	XGBClassifier	ECFP	Adolescent	ROC AUC	0.62636
Unweighted	2	XGBClassifier	ECFP	Elderly	ROC AUC	0.59138
Unweighted	2	XGBClassifier	ECFP	Children	ROC AUC	0.55612
Unweighted	2	XGBClassifier	ECFP	Unknown	ROC AUC	0.64028
Unweighted	2	XGBClassifier	ECFP	Adult	ROC AUC	0.64207
Weighted	1	XGBClassifier	ECFP	Elderly	PRC AUC	0.5275
Weighted	1	XGBClassifier	ECFP	Unknown	PRC AUC	0.66011
Weighted	1	XGBClassifier	ECFP	Children	PRC AUC	0.49411
Weighted	1	XGBClassifier	ECFP	Adolescent	PRC AUC	0.58668
Weighted	1	XGBClassifier	ECFP	Adult	PRC AUC	0.58035
Unweighted	1	XGBClassifier	ECFP	Elderly	PRC AUC	0.5642
Unweighted	1	XGBClassifier	ECFP	Unknown	PRC AUC	0.68596
Unweighted	1	XGBClassifier	ECFP	Children	PRC AUC	0.6088
Unweighted	1	XGBClassifier	ECFP	Adolescent	PRC AUC	0.67299
Unweighted	1	XGBClassifier	ECFP	Adult	PRC AUC	0.64166
Weighted	3	XGBClassifier	ECFP	Elderly	PRC AUC	0.52413
Weighted	3	XGBClassifier	ECFP	Unknown	PRC AUC	0.6425
Weighted	3	XGBClassifier	ECFP	Adolescent	PRC AUC	0.60855
Weighted	3	XGBClassifier	ECFP	Children	PRC AUC	0.66653
Weighted	3	XGBClassifier	ECFP	Adult	PRC AUC	0.50244
Unweighted	3	XGBClassifier	ECFP	Elderly	PRC AUC	0.59813
Unweighted	3	XGBClassifier	ECFP	Unknown	PRC AUC	0.67551
Unweighted	3	XGBClassifier	ECFP	Adolescent	PRC AUC	0.68888
Unweighted	3	XGBClassifier	ECFP	Children	PRC AUC	0.75733
Unweighted	3	XGBClassifier	ECFP	Adult	PRC AUC	0.60143
Weighted	4	XGBClassifier	ECFP	Adolescent	PRC AUC	0.68958
Weighted	4	XGBClassifier	ECFP	Unknown	PRC AUC	0.59372
Weighted	4	XGBClassifier	ECFP	Adult	PRC AUC	0.52673
Weighted	4	XGBClassifier	ECFP	Elderly	PRC AUC	0.46968
Weighted	4	XGBClassifier	ECFP	Children	PRC AUC	0.62598
Unweighted	4	XGBClassifier	ECFP	Adolescent	PRC AUC	0.78367
Unweighted	4	XGBClassifier	ECFP	Unknown	PRC AUC	0.65379
Unweighted	4	XGBClassifier	ECFP	Adult	PRC AUC	0.62355
Unweighted	4	XGBClassifier	ECFP	Elderly	PRC AUC	0.57607
Unweighted	4	XGBClassifier	ECFP	Children	PRC AUC	0.75485
Weighted	0	XGBClassifier	ECFP	Adult	PRC AUC	0.53481
Weighted	0	XGBClassifier	ECFP	Unknown	PRC AUC	0.59308
Weighted	0	XGBClassifier	ECFP	Elderly	PRC AUC	0.54319
Weighted	0	XGBClassifier	ECFP	Children	PRC AUC	0.50461
Weighted	0	XGBClassifier	ECFP	Adolescent	PRC AUC	0.74912
Unweighted	0	XGBClassifier	ECFP	Adult	PRC AUC	0.63319
Unweighted	0	XGBClassifier	ECFP	Unknown	PRC AUC	0.65632
Unweighted	0	XGBClassifier	ECFP	Elderly	PRC AUC	0.60062
Unweighted	0	XGBClassifier	ECFP	Children	PRC AUC	0.70605
Unweighted	0	XGBClassifier	ECFP	Adolescent	PRC AUC	0.8129
Weighted	2	XGBClassifier	ECFP	Adolescent	PRC AUC	0.74153
Weighted	2	XGBClassifier	ECFP	Elderly	PRC AUC	0.54683
Weighted	2	XGBClassifier	ECFP	Children	PRC AUC	0.67181
Weighted	2	XGBClassifier	ECFP	Unknown	PRC AUC	0.70263
Weighted	2	XGBClassifier	ECFP	Adult	PRC AUC	0.69028
Unweighted	2	XGBClassifier	ECFP	Adolescent	PRC AUC	0.82364
Unweighted	2	XGBClassifier	ECFP	Elderly	PRC AUC	0.62663
Unweighted	2	XGBClassifier	ECFP	Children	PRC AUC	0.74255
Unweighted	2	XGBClassifier	ECFP	Unknown	PRC AUC	0.72142
Unweighted	2	XGBClassifier	ECFP	Adult	PRC AUC	0.72183
Weighted	1	XGBClassifier	ECFP	Elderly	Brier	0.30992
Weighted	1	XGBClassifier	ECFP	Unknown	Brier	0.26116
Weighted	1	XGBClassifier	ECFP	Children	Brier	0.30117
Weighted	1	XGBClassifier	ECFP	Adolescent	Brier	0.23995
Weighted	1	XGBClassifier	ECFP	Adult	Brier	0.27974
Unweighted	1	XGBClassifier	ECFP	Elderly	Brier	0.30992
Unweighted	1	XGBClassifier	ECFP	Unknown	Brier	0.26116
Unweighted	1	XGBClassifier	ECFP	Children	Brier	0.30117
Unweighted	1	XGBClassifier	ECFP	Adolescent	Brier	0.23995
Unweighted	1	XGBClassifier	ECFP	Adult	Brier	0.27974
Weighted	3	XGBClassifier	ECFP	Elderly	Brier	0.29975
Weighted	3	XGBClassifier	ECFP	Unknown	Brier	0.2682
Weighted	3	XGBClassifier	ECFP	Adolescent	Brier	0.26539
Weighted	3	XGBClassifier	ECFP	Children	Brier	0.26812
Weighted	3	XGBClassifier	ECFP	Adult	Brier	0.28811
Unweighted	3	XGBClassifier	ECFP	Elderly	Brier	0.29975
Unweighted	3	XGBClassifier	ECFP	Unknown	Brier	0.2682
Unweighted	3	XGBClassifier	ECFP	Adolescent	Brier	0.26539
Unweighted	3	XGBClassifier	ECFP	Children	Brier	0.26812
Unweighted	3	XGBClassifier	ECFP	Adult	Brier	0.28811
Weighted	4	XGBClassifier	ECFP	Adolescent	Brier	0.24987
Weighted	4	XGBClassifier	ECFP	Unknown	Brier	0.24409
Weighted	4	XGBClassifier	ECFP	Adult	Brier	0.25917
Weighted	4	XGBClassifier	ECFP	Elderly	Brier	0.25086
Weighted	4	XGBClassifier	ECFP	Children	Brier	0.25333
Unweighted	4	XGBClassifier	ECFP	Adolescent	Brier	0.24987
Unweighted	4	XGBClassifier	ECFP	Unknown	Brier	0.24409
Unweighted	4	XGBClassifier	ECFP	Adult	Brier	0.25917
Unweighted	4	XGBClassifier	ECFP	Elderly	Brier	0.25086
Unweighted	4	XGBClassifier	ECFP	Children	Brier	0.25333
Weighted	0	XGBClassifier	ECFP	Adult	Brier	0.25622
Weighted	0	XGBClassifier	ECFP	Unknown	Brier	0.24496
Weighted	0	XGBClassifier	ECFP	Elderly	Brier	0.2625
Weighted	0	XGBClassifier	ECFP	Children	Brier	0.24878
Weighted	0	XGBClassifier	ECFP	Adolescent	Brier	0.23682
Unweighted	0	XGBClassifier	ECFP	Adult	Brier	0.25622
Unweighted	0	XGBClassifier	ECFP	Unknown	Brier	0.24496
Unweighted	0	XGBClassifier	ECFP	Elderly	Brier	0.2625
Unweighted	0	XGBClassifier	ECFP	Children	Brier	0.24878
Unweighted	0	XGBClassifier	ECFP	Adolescent	Brier	0.23682
Weighted	2	XGBClassifier	ECFP	Adolescent	Brier	0.20944
Weighted	2	XGBClassifier	ECFP	Elderly	Brier	0.25675
Weighted	2	XGBClassifier	ECFP	Children	Brier	0.23472
Weighted	2	XGBClassifier	ECFP	Unknown	Brier	0.23344
Weighted	2	XGBClassifier	ECFP	Adult	Brier	0.23616
Unweighted	2	XGBClassifier	ECFP	Adolescent	Brier	0.20944
Unweighted	2	XGBClassifier	ECFP	Elderly	Brier	0.25675
Unweighted	2	XGBClassifier	ECFP	Children	Brier	0.23472
Unweighted	2	XGBClassifier	ECFP	Unknown	Brier	0.23344
Unweighted	2	XGBClassifier	ECFP	Adult	Brier	0.23616
