Series	Test_Fold	Model	Descriptors	Metric	Value
Weighted	3	XGBClassifier	Klek	Recall	0.55449
Unweighted	3	XGBClassifier	Klek	Recall	0.50904
Weighted	4	XGBClassifier	Klek	Recall	0.50571
Unweighted	4	XGBClassifier	Klek	Recall	0.50199
Weighted	0	XGBClassifier	Klek	Recall	0.55336
Unweighted	0	XGBClassifier	Klek	Recall	0.54124
Weighted	2	XGBClassifier	Klek	Recall	0.64216
Unweighted	2	XGBClassifier	Klek	Recall	0.57158
Weighted	1	XGBClassifier	ECFP	Recall	0.51769
Unweighted	1	XGBClassifier	ECFP	Recall	0.45683
Weighted	3	XGBClassifier	ECFP	Recall	0.52175
Unweighted	3	XGBClassifier	ECFP	Recall	0.45683
Weighted	4	XGBClassifier	ECFP	Recall	0.56667
Unweighted	4	XGBClassifier	ECFP	Recall	0.56815
Weighted	0	XGBClassifier	ECFP	Recall	0.49103
Unweighted	0	XGBClassifier	ECFP	Recall	0.4601
Weighted	2	XGBClassifier	ECFP	Recall	0.71337
Unweighted	2	XGBClassifier	ECFP	Recall	0.64931
Weighted	1	XGBClassifier	CDDD	Recall	0.45477
Unweighted	1	XGBClassifier	CDDD	Recall	0.41589
Weighted	3	XGBClassifier	CDDD	Recall	0.61167
Unweighted	3	XGBClassifier	CDDD	Recall	0.56534
Weighted	4	XGBClassifier	CDDD	Recall	0.62605
Unweighted	4	XGBClassifier	CDDD	Recall	0.60306
Weighted	0	XGBClassifier	CDDD	Recall	0.62164
Unweighted	0	XGBClassifier	CDDD	Recall	0.55125
Weighted	2	XGBClassifier	CDDD	Recall	0.6821
Unweighted	2	XGBClassifier	CDDD	Recall	0.63349
Weighted	1	LogisticRegression	ChemBERTa	Recall	0.4327
Unweighted	1	LogisticRegression	ChemBERTa	Recall	0.42071
Weighted	0	LogisticRegression	ChemBERTa	Recall	0.50274
Unweighted	0	LogisticRegression	ChemBERTa	Recall	0.48481
Weighted	3	LogisticRegression	ChemBERTa	Recall	0.45082
Unweighted	3	LogisticRegression	ChemBERTa	Recall	0.44749
Weighted	2	LogisticRegression	ChemBERTa	Recall	0.46119
Unweighted	2	LogisticRegression	ChemBERTa	Recall	0.47098
Weighted	4	LogisticRegression	ChemBERTa	Recall	0.51928
Unweighted	4	LogisticRegression	ChemBERTa	Recall	0.4887
Weighted	3	LogisticRegression	RDKit	Recall	0.55067
Unweighted	3	LogisticRegression	RDKit	Recall	0.54201
Weighted	1	LogisticRegression	RDKit	Recall	0.40828
Unweighted	1	LogisticRegression	RDKit	Recall	0.38768
Weighted	4	LogisticRegression	RDKit	Recall	0.54006
Unweighted	4	LogisticRegression	RDKit	Recall	0.54754
Weighted	0	LogisticRegression	RDKit	Recall	0.46075
Unweighted	0	LogisticRegression	RDKit	Recall	0.4591
Weighted	2	LogisticRegression	RDKit	Recall	0.57067
Unweighted	2	LogisticRegression	RDKit	Recall	0.54063
Weighted	1	LogisticRegression	MACCS	Recall	0.43284
Unweighted	1	LogisticRegression	MACCS	Recall	0.41864
Weighted	3	LogisticRegression	MACCS	Recall	0.42135
Unweighted	3	LogisticRegression	MACCS	Recall	0.38915
Weighted	4	LogisticRegression	MACCS	Recall	0.4948
Unweighted	4	LogisticRegression	MACCS	Recall	0.47141
Weighted	0	LogisticRegression	MACCS	Recall	0.54551
Unweighted	0	LogisticRegression	MACCS	Recall	0.51987
Weighted	2	LogisticRegression	MACCS	Recall	0.50923
Unweighted	2	LogisticRegression	MACCS	Recall	0.48646
Weighted	1	LogisticRegression	Klek	Recall	0.32948
Unweighted	1	LogisticRegression	Klek	Recall	0.30134
Weighted	4	LogisticRegression	Klek	Recall	0.50076
Unweighted	4	LogisticRegression	Klek	Recall	0.51562
Weighted	0	LogisticRegression	Klek	Recall	0.52995
Unweighted	0	LogisticRegression	Klek	Recall	0.52721
Weighted	3	LogisticRegression	Klek	Recall	0.5186
Unweighted	3	LogisticRegression	Klek	Recall	0.48425
Weighted	2	LogisticRegression	Klek	Recall	0.58486
Unweighted	2	LogisticRegression	Klek	Recall	0.55786
Weighted	3	LogisticRegression	ECFP	Recall	0.41017
Unweighted	3	LogisticRegression	ECFP	Recall	0.37894
Weighted	1	LogisticRegression	ECFP	Recall	0.45687
Unweighted	1	LogisticRegression	ECFP	Recall	0.40592
Weighted	4	LogisticRegression	ECFP	Recall	0.5587
Unweighted	4	LogisticRegression	ECFP	Recall	0.55851
Weighted	0	LogisticRegression	ECFP	Recall	0.62908
Unweighted	0	LogisticRegression	ECFP	Recall	0.60301
Weighted	2	LogisticRegression	ECFP	Recall	0.62855
Unweighted	2	LogisticRegression	ECFP	Recall	0.58319
Weighted	1	LogisticRegression	CDDD	Recall	0.38191
Unweighted	1	LogisticRegression	CDDD	Recall	0.387
Weighted	3	LogisticRegression	CDDD	Recall	0.36707
Unweighted	3	LogisticRegression	CDDD	Recall	0.38361
Weighted	4	LogisticRegression	CDDD	Recall	0.65115
Unweighted	4	LogisticRegression	CDDD	Recall	0.63996
Weighted	0	LogisticRegression	CDDD	Recall	0.54358
Unweighted	0	LogisticRegression	CDDD	Recall	0.52554
Weighted	2	LogisticRegression	CDDD	Recall	0.55384
Unweighted	2	LogisticRegression	CDDD	Recall	0.53781
Weighted	4	RandomForestClassifier	ChemBERTa	Recall	0.58002
Unweighted	4	RandomForestClassifier	ChemBERTa	Recall	0.59242
Weighted	1	RandomForestClassifier	ChemBERTa	Recall	0.47883
Unweighted	1	RandomForestClassifier	ChemBERTa	Recall	0.46577
Weighted	0	RandomForestClassifier	ChemBERTa	Recall	0.73388
Unweighted	0	RandomForestClassifier	ChemBERTa	Recall	0.68848
Weighted	3	RandomForestClassifier	ChemBERTa	Recall	0.38356
Unweighted	3	RandomForestClassifier	ChemBERTa	Recall	0.39032
Weighted	2	RandomForestClassifier	ChemBERTa	Recall	0.7193
Unweighted	2	RandomForestClassifier	ChemBERTa	Recall	0.67358
Weighted	1	RandomForestClassifier	RDKit	Recall	0.55693
Unweighted	1	RandomForestClassifier	RDKit	Recall	0.53939
Weighted	3	RandomForestClassifier	RDKit	Recall	0.56334
Unweighted	3	RandomForestClassifier	RDKit	Recall	0.55397
Weighted	4	RandomForestClassifier	RDKit	Recall	0.54845
Unweighted	4	RandomForestClassifier	RDKit	Recall	0.5635
Weighted	0	RandomForestClassifier	RDKit	Recall	0.59894
Unweighted	0	RandomForestClassifier	RDKit	Recall	0.5783
Weighted	2	RandomForestClassifier	RDKit	Recall	0.53251
Unweighted	2	RandomForestClassifier	RDKit	Recall	0.5357
Weighted	1	RandomForestClassifier	MACCS	Recall	0.36782
Unweighted	1	RandomForestClassifier	MACCS	Recall	0.35948
Weighted	3	RandomForestClassifier	MACCS	Recall	0.46317
Unweighted	3	RandomForestClassifier	MACCS	Recall	0.43816
Weighted	4	RandomForestClassifier	MACCS	Recall	0.59046
Unweighted	4	RandomForestClassifier	MACCS	Recall	0.59242
Weighted	0	RandomForestClassifier	MACCS	Recall	0.70941
Unweighted	0	RandomForestClassifier	MACCS	Recall	0.69449
Weighted	2	RandomForestClassifier	MACCS	Recall	0.72441
Unweighted	2	RandomForestClassifier	MACCS	Recall	0.66338
Weighted	1	RandomForestClassifier	Klek	Recall	0.33883
Unweighted	1	RandomForestClassifier	Klek	Recall	0.32989
Weighted	3	RandomForestClassifier	Klek	Recall	0.49304
Unweighted	3	RandomForestClassifier	Klek	Recall	0.49592
Weighted	4	RandomForestClassifier	Klek	Recall	0.5146
Unweighted	4	RandomForestClassifier	Klek	Recall	0.51762
Weighted	0	RandomForestClassifier	Klek	Recall	0.46186
Unweighted	0	RandomForestClassifier	Klek	Recall	0.46878
Weighted	2	RandomForestClassifier	Klek	Recall	0.41988
Unweighted	2	RandomForestClassifier	Klek	Recall	0.4235
Weighted	3	RandomForestClassifier	ECFP	Recall	0.35062
Unweighted	3	RandomForestClassifier	ECFP	Recall	0.3416
Weighted	1	RandomForestClassifier	ECFP	Recall	0.31985
Unweighted	1	RandomForestClassifier	ECFP	Recall	0.31132
Weighted	4	RandomForestClassifier	ECFP	Recall	0.53428
Unweighted	4	RandomForestClassifier	ECFP	Recall	0.55386
Weighted	0	RandomForestClassifier	ECFP	Recall	0.43844
Unweighted	0	RandomForestClassifier	ECFP	Recall	0.43472
Weighted	2	RandomForestClassifier	ECFP	Recall	0.50141
Unweighted	2	RandomForestClassifier	ECFP	Recall	0.46746
Weighted	4	RandomForestClassifier	CDDD	Recall	0.60802
Unweighted	4	RandomForestClassifier	CDDD	Recall	0.62001
Weighted	0	RandomForestClassifier	CDDD	Recall	0.53015
Unweighted	0	RandomForestClassifier	CDDD	Recall	0.5379
Weighted	2	RandomForestClassifier	CDDD	Recall	0.62939
Unweighted	2	RandomForestClassifier	CDDD	Recall	0.61766
Weighted	3	RandomForestClassifier	CDDD	Recall	0.55209
Unweighted	3	RandomForestClassifier	CDDD	Recall	0.5528
Weighted	1	RandomForestClassifier	CDDD	Recall	0.47885
Unweighted	1	RandomForestClassifier	CDDD	Recall	0.4472
Weighted	1	XGBClassifier	ChemBERTa	Specificity	0.59609
Unweighted	1	XGBClassifier	ChemBERTa	Specificity	0.58598
Weighted	3	XGBClassifier	ChemBERTa	Specificity	0.58838
Unweighted	3	XGBClassifier	ChemBERTa	Specificity	0.57992
Weighted	4	XGBClassifier	ChemBERTa	Specificity	0.49111
Unweighted	4	XGBClassifier	ChemBERTa	Specificity	0.51122
Weighted	0	XGBClassifier	ChemBERTa	Specificity	0.49733
Unweighted	0	XGBClassifier	ChemBERTa	Specificity	0.50867
Weighted	2	XGBClassifier	ChemBERTa	Specificity	0.56834
Unweighted	2	XGBClassifier	ChemBERTa	Specificity	0.54591
Weighted	1	XGBClassifier	RDKit	Specificity	0.60372
Unweighted	1	XGBClassifier	RDKit	Specificity	0.58497
Weighted	3	XGBClassifier	RDKit	Specificity	0.61023
Unweighted	3	XGBClassifier	RDKit	Specificity	0.58443
Weighted	4	XGBClassifier	RDKit	Specificity	0.60716
Unweighted	4	XGBClassifier	RDKit	Specificity	0.61433
Weighted	0	XGBClassifier	RDKit	Specificity	0.62953
Unweighted	0	XGBClassifier	RDKit	Specificity	0.63138
Weighted	2	XGBClassifier	RDKit	Specificity	0.63236
Unweighted	2	XGBClassifier	RDKit	Specificity	0.59508
Weighted	1	XGBClassifier	MACCS	Specificity	0.64205
Unweighted	1	XGBClassifier	MACCS	Specificity	0.62532
Weighted	3	XGBClassifier	MACCS	Specificity	0.6076
Unweighted	3	XGBClassifier	MACCS	Specificity	0.60943
Weighted	4	XGBClassifier	MACCS	Specificity	0.61421
Unweighted	4	XGBClassifier	MACCS	Specificity	0.61196
Weighted	0	XGBClassifier	MACCS	Specificity	0.63736
Unweighted	0	XGBClassifier	MACCS	Specificity	0.63981
Weighted	2	XGBClassifier	MACCS	Specificity	0.6376
Unweighted	2	XGBClassifier	MACCS	Specificity	0.62569
Weighted	1	XGBClassifier	Klek	Specificity	0.75053
Unweighted	1	XGBClassifier	Klek	Specificity	0.73172
Weighted	3	XGBClassifier	Klek	Specificity	0.63734
Unweighted	3	XGBClassifier	Klek	Specificity	0.61434
Weighted	4	XGBClassifier	Klek	Specificity	0.61975
Unweighted	4	XGBClassifier	Klek	Specificity	0.60488
Weighted	0	XGBClassifier	Klek	Specificity	0.52994
Unweighted	0	XGBClassifier	Klek	Specificity	0.53958
Weighted	2	XGBClassifier	Klek	Specificity	0.56413
Unweighted	2	XGBClassifier	Klek	Specificity	0.56046
Weighted	1	XGBClassifier	ECFP	Specificity	0.60058
Unweighted	1	XGBClassifier	ECFP	Specificity	0.61775
Weighted	3	XGBClassifier	ECFP	Specificity	0.62889
Unweighted	3	XGBClassifier	ECFP	Specificity	0.63525
Weighted	4	XGBClassifier	ECFP	Specificity	0.61561
Unweighted	4	XGBClassifier	ECFP	Specificity	0.5974
Weighted	0	XGBClassifier	ECFP	Specificity	0.68609
Unweighted	0	XGBClassifier	ECFP	Specificity	0.68244
Weighted	2	XGBClassifier	ECFP	Specificity	0.54858
Unweighted	2	XGBClassifier	ECFP	Specificity	0.53387
Weighted	1	XGBClassifier	CDDD	Specificity	0.65188
Unweighted	1	XGBClassifier	CDDD	Specificity	0.63944
Weighted	3	XGBClassifier	CDDD	Specificity	0.55701
Unweighted	3	XGBClassifier	CDDD	Specificity	0.54549
Weighted	4	XGBClassifier	CDDD	Specificity	0.58414
Unweighted	4	XGBClassifier	CDDD	Specificity	0.55411
Weighted	0	XGBClassifier	CDDD	Specificity	0.58955
Unweighted	0	XGBClassifier	CDDD	Specificity	0.61124
Weighted	2	XGBClassifier	CDDD	Specificity	0.57844
Unweighted	2	XGBClassifier	CDDD	Specificity	0.56749
Weighted	1	LogisticRegression	ChemBERTa	Specificity	0.49572
Unweighted	1	LogisticRegression	ChemBERTa	Specificity	0.49017
Weighted	0	LogisticRegression	ChemBERTa	Specificity	0.43267
Unweighted	0	LogisticRegression	ChemBERTa	Specificity	0.45199
Weighted	3	LogisticRegression	ChemBERTa	Specificity	0.57868
Unweighted	3	LogisticRegression	ChemBERTa	Specificity	0.56311
Weighted	2	LogisticRegression	ChemBERTa	Specificity	0.5084
Unweighted	2	LogisticRegression	ChemBERTa	Specificity	0.50025
Weighted	4	LogisticRegression	ChemBERTa	Specificity	0.45414
Unweighted	4	LogisticRegression	ChemBERTa	Specificity	0.49115
Weighted	3	LogisticRegression	RDKit	Specificity	0.54336
Unweighted	3	LogisticRegression	RDKit	Specificity	0.52459
Weighted	1	LogisticRegression	RDKit	Specificity	0.68446
Unweighted	1	LogisticRegression	RDKit	Specificity	0.6465
Weighted	4	LogisticRegression	RDKit	Specificity	0.56991
Unweighted	4	LogisticRegression	RDKit	Specificity	0.55214
Weighted	0	LogisticRegression	RDKit	Specificity	0.63533
Unweighted	0	LogisticRegression	RDKit	Specificity	0.6267
Weighted	2	LogisticRegression	RDKit	Specificity	0.64242
Unweighted	2	LogisticRegression	RDKit	Specificity	0.60462
Weighted	1	LogisticRegression	MACCS	Specificity	0.69624
Unweighted	1	LogisticRegression	MACCS	Specificity	0.67524
Weighted	3	LogisticRegression	MACCS	Specificity	0.62473
Unweighted	3	LogisticRegression	MACCS	Specificity	0.65451
Weighted	4	LogisticRegression	MACCS	Specificity	0.57635
Unweighted	4	LogisticRegression	MACCS	Specificity	0.59662
Weighted	0	LogisticRegression	MACCS	Specificity	0.5594
Unweighted	0	LogisticRegression	MACCS	Specificity	0.5644
Weighted	2	LogisticRegression	MACCS	Specificity	0.49714
Unweighted	2	LogisticRegression	MACCS	Specificity	0.50075
Weighted	1	LogisticRegression	Klek	Specificity	0.77092
Unweighted	1	LogisticRegression	Klek	Specificity	0.73828
Weighted	4	LogisticRegression	Klek	Specificity	0.66475
Unweighted	4	LogisticRegression	Klek	Specificity	0.63636
Weighted	0	LogisticRegression	Klek	Specificity	0.57996
Unweighted	0	LogisticRegression	Klek	Specificity	0.57424
Weighted	3	LogisticRegression	Klek	Specificity	0.53364
Unweighted	3	LogisticRegression	Klek	Specificity	0.51926
Weighted	2	LogisticRegression	Klek	Specificity	0.67135
Unweighted	2	LogisticRegression	Klek	Specificity	0.63522
Weighted	3	LogisticRegression	ECFP	Specificity	0.60429
Unweighted	3	LogisticRegression	ECFP	Specificity	0.63115
Weighted	1	LogisticRegression	ECFP	Specificity	0.67484
Unweighted	1	LogisticRegression	ECFP	Specificity	0.67726
Weighted	4	LogisticRegression	ECFP	Specificity	0.62522
Unweighted	4	LogisticRegression	ECFP	Specificity	0.6096
Weighted	0	LogisticRegression	ECFP	Specificity	0.54078
Unweighted	0	LogisticRegression	ECFP	Specificity	0.53864
Weighted	2	LogisticRegression	ECFP	Specificity	0.5627
Unweighted	2	LogisticRegression	ECFP	Specificity	0.54089
Weighted	1	LogisticRegression	CDDD	Specificity	0.63197
Unweighted	1	LogisticRegression	CDDD	Specificity	0.61372
Weighted	3	LogisticRegression	CDDD	Specificity	0.6673
Unweighted	3	LogisticRegression	CDDD	Specificity	0.65164
Weighted	4	LogisticRegression	CDDD	Specificity	0.47338
Unweighted	4	LogisticRegression	CDDD	Specificity	0.44392
Weighted	0	LogisticRegression	CDDD	Specificity	0.54599
Unweighted	0	LogisticRegression	CDDD	Specificity	0.57143
Weighted	2	LogisticRegression	CDDD	Specificity	0.51328
Unweighted	2	LogisticRegression	CDDD	Specificity	0.50527
Weighted	4	RandomForestClassifier	ChemBERTa	Specificity	0.54125
Unweighted	4	RandomForestClassifier	ChemBERTa	Specificity	0.53955
Weighted	1	RandomForestClassifier	ChemBERTa	Specificity	0.65161
Unweighted	1	RandomForestClassifier	ChemBERTa	Specificity	0.61876
Weighted	0	RandomForestClassifier	ChemBERTa	Specificity	0.33007
Unweighted	0	RandomForestClassifier	ChemBERTa	Specificity	0.3466
Weighted	3	RandomForestClassifier	ChemBERTa	Specificity	0.58963
Unweighted	3	RandomForestClassifier	ChemBERTa	Specificity	0.58811
Weighted	2	RandomForestClassifier	ChemBERTa	Specificity	0.48092
Unweighted	2	RandomForestClassifier	ChemBERTa	Specificity	0.44155
Weighted	1	RandomForestClassifier	RDKit	Specificity	0.53848
Unweighted	1	RandomForestClassifier	RDKit	Specificity	0.50227
Weighted	3	RandomForestClassifier	RDKit	Specificity	0.51097
Unweighted	3	RandomForestClassifier	RDKit	Specificity	0.52213
Weighted	4	RandomForestClassifier	RDKit	Specificity	0.6118
Unweighted	4	RandomForestClassifier	RDKit	Specificity	0.58638
Weighted	0	RandomForestClassifier	RDKit	Specificity	0.49491
Unweighted	0	RandomForestClassifier	RDKit	Specificity	0.49602
Weighted	2	RandomForestClassifier	RDKit	Specificity	0.70104
Unweighted	2	RandomForestClassifier	RDKit	Specificity	0.66784
Weighted	1	RandomForestClassifier	MACCS	Specificity	0.71134
Unweighted	1	RandomForestClassifier	MACCS	Specificity	0.69339
Weighted	3	RandomForestClassifier	MACCS	Specificity	0.58248
Unweighted	3	RandomForestClassifier	MACCS	Specificity	0.59795
Weighted	4	RandomForestClassifier	MACCS	Specificity	0.49811
Unweighted	4	RandomForestClassifier	MACCS	Specificity	0.48603
Weighted	0	RandomForestClassifier	MACCS	Specificity	0.42114
Unweighted	0	RandomForestClassifier	MACCS	Specificity	0.40281
Weighted	2	RandomForestClassifier	MACCS	Specificity	0.51143
Unweighted	2	RandomForestClassifier	MACCS	Specificity	0.48971
Weighted	1	RandomForestClassifier	Klek	Specificity	0.81476
Unweighted	1	RandomForestClassifier	Klek	Specificity	0.77862
Weighted	3	RandomForestClassifier	Klek	Specificity	0.70016
Unweighted	3	RandomForestClassifier	Klek	Specificity	0.65902
Weighted	4	RandomForestClassifier	Klek	Specificity	0.59197
Unweighted	4	RandomForestClassifier	Klek	Specificity	0.60645
Weighted	0	RandomForestClassifier	Klek	Specificity	0.63204
Unweighted	0	RandomForestClassifier	Klek	Specificity	0.60796
Weighted	2	RandomForestClassifier	Klek	Specificity	0.78487
Unweighted	2	RandomForestClassifier	Klek	Specificity	0.75464
Weighted	3	RandomForestClassifier	ECFP	Specificity	0.75981
Unweighted	3	RandomForestClassifier	ECFP	Specificity	0.74836
Weighted	1	RandomForestClassifier	ECFP	Specificity	0.74898
Unweighted	1	RandomForestClassifier	ECFP	Specificity	0.74584
Weighted	4	RandomForestClassifier	ECFP	Specificity	0.58981
Unweighted	4	RandomForestClassifier	ECFP	Specificity	0.57851
Weighted	0	RandomForestClassifier	ECFP	Specificity	0.75192
Unweighted	0	RandomForestClassifier	ECFP	Specificity	0.7377
Weighted	2	RandomForestClassifier	ECFP	Specificity	0.65493
Unweighted	2	RandomForestClassifier	ECFP	Specificity	0.6292
Weighted	4	RandomForestClassifier	CDDD	Specificity	0.55495
Unweighted	4	RandomForestClassifier	CDDD	Specificity	0.51555
Weighted	0	RandomForestClassifier	CDDD	Specificity	0.57168
Unweighted	0	RandomForestClassifier	CDDD	Specificity	0.56487
Weighted	2	RandomForestClassifier	CDDD	Specificity	0.55872
Unweighted	2	RandomForestClassifier	CDDD	Specificity	0.53236
Weighted	3	RandomForestClassifier	CDDD	Specificity	0.59147
Unweighted	3	RandomForestClassifier	CDDD	Specificity	0.57951
Weighted	1	RandomForestClassifier	CDDD	Specificity	0.62756
Unweighted	1	RandomForestClassifier	CDDD	Specificity	0.60161
Weighted	1	XGBClassifier	ChemBERTa	HarmRS	0.54683
Unweighted	1	XGBClassifier	ChemBERTa	HarmRS	0.51557
Weighted	3	XGBClassifier	ChemBERTa	HarmRS	0.56015
Unweighted	3	XGBClassifier	ChemBERTa	HarmRS	0.52201
Weighted	4	XGBClassifier	ChemBERTa	HarmRS	0.54919
Unweighted	4	XGBClassifier	ChemBERTa	HarmRS	0.54826
Weighted	0	XGBClassifier	ChemBERTa	HarmRS	0.52229
Unweighted	0	XGBClassifier	ChemBERTa	HarmRS	0.51518
Weighted	2	XGBClassifier	ChemBERTa	HarmRS	0.57256
Unweighted	2	XGBClassifier	ChemBERTa	HarmRS	0.54414
Weighted	1	XGBClassifier	RDKit	HarmRS	0.55741
Unweighted	1	XGBClassifier	RDKit	HarmRS	0.52703
Weighted	3	XGBClassifier	RDKit	HarmRS	0.58549
Unweighted	3	XGBClassifier	RDKit	HarmRS	0.55366
Weighted	4	XGBClassifier	RDKit	HarmRS	0.58591
Unweighted	4	XGBClassifier	RDKit	HarmRS	0.57187
Weighted	0	XGBClassifier	RDKit	HarmRS	0.55173
Unweighted	0	XGBClassifier	RDKit	HarmRS	0.5323
Weighted	2	XGBClassifier	RDKit	HarmRS	0.64251
Unweighted	2	XGBClassifier	RDKit	HarmRS	0.59826
Weighted	1	XGBClassifier	MACCS	HarmRS	0.57762
Unweighted	1	XGBClassifier	MACCS	HarmRS	0.54653
Weighted	3	XGBClassifier	MACCS	HarmRS	0.57237
Unweighted	3	XGBClassifier	MACCS	HarmRS	0.54967
Weighted	4	XGBClassifier	MACCS	HarmRS	0.58749
Unweighted	4	XGBClassifier	MACCS	HarmRS	0.55693
Weighted	0	XGBClassifier	MACCS	HarmRS	0.53141
Unweighted	0	XGBClassifier	MACCS	HarmRS	0.52797
Weighted	2	XGBClassifier	MACCS	HarmRS	0.65472
Unweighted	2	XGBClassifier	MACCS	HarmRS	0.61225
Weighted	1	XGBClassifier	Klek	HarmRS	0.50051
Unweighted	1	XGBClassifier	Klek	HarmRS	0.45574
Weighted	3	XGBClassifier	Klek	HarmRS	0.59304
Unweighted	3	XGBClassifier	Klek	HarmRS	0.55676
Weighted	4	XGBClassifier	Klek	HarmRS	0.55695
Unweighted	4	XGBClassifier	Klek	HarmRS	0.54866
Weighted	0	XGBClassifier	Klek	HarmRS	0.5414
Unweighted	0	XGBClassifier	Klek	HarmRS	0.54041
Weighted	2	XGBClassifier	Klek	HarmRS	0.60062
Unweighted	2	XGBClassifier	Klek	HarmRS	0.56597
Weighted	1	XGBClassifier	ECFP	HarmRS	0.55607
Unweighted	1	XGBClassifier	ECFP	HarmRS	0.52524
Weighted	3	XGBClassifier	ECFP	HarmRS	0.57033
Unweighted	3	XGBClassifier	ECFP	HarmRS	0.53146
Weighted	4	XGBClassifier	ECFP	HarmRS	0.59013
Unweighted	4	XGBClassifier	ECFP	HarmRS	0.58241
Weighted	0	XGBClassifier	ECFP	HarmRS	0.5724
Unweighted	0	XGBClassifier	ECFP	HarmRS	0.54963
Weighted	2	XGBClassifier	ECFP	HarmRS	0.62022
Unweighted	2	XGBClassifier	ECFP	HarmRS	0.58596
Weighted	1	XGBClassifier	CDDD	HarmRS	0.53577
Unweighted	1	XGBClassifier	CDDD	HarmRS	0.50399
Weighted	3	XGBClassifier	CDDD	HarmRS	0.58306
Unweighted	3	XGBClassifier	CDDD	HarmRS	0.55524
Weighted	4	XGBClassifier	CDDD	HarmRS	0.60437
Unweighted	4	XGBClassifier	CDDD	HarmRS	0.57755
Weighted	0	XGBClassifier	CDDD	HarmRS	0.60517
Unweighted	0	XGBClassifier	CDDD	HarmRS	0.5797
Weighted	2	XGBClassifier	CDDD	HarmRS	0.62601
Unweighted	2	XGBClassifier	CDDD	HarmRS	0.59867
Weighted	1	LogisticRegression	ChemBERTa	HarmRS	0.46207
Unweighted	1	LogisticRegression	ChemBERTa	HarmRS	0.45279
Weighted	0	LogisticRegression	ChemBERTa	HarmRS	0.46508
Unweighted	0	LogisticRegression	ChemBERTa	HarmRS	0.46782
Weighted	3	LogisticRegression	ChemBERTa	HarmRS	0.50681
Unweighted	3	LogisticRegression	ChemBERTa	HarmRS	0.49869
Weighted	2	LogisticRegression	ChemBERTa	HarmRS	0.48364
Unweighted	2	LogisticRegression	ChemBERTa	HarmRS	0.48518
Weighted	4	LogisticRegression	ChemBERTa	HarmRS	0.48453
Unweighted	4	LogisticRegression	ChemBERTa	HarmRS	0.48992
Weighted	3	LogisticRegression	RDKit	HarmRS	0.547
Unweighted	3	LogisticRegression	RDKit	HarmRS	0.53316
Weighted	1	LogisticRegression	RDKit	HarmRS	0.51147
Unweighted	1	LogisticRegression	RDKit	HarmRS	0.48471
Weighted	4	LogisticRegression	RDKit	HarmRS	0.55459
Unweighted	4	LogisticRegression	RDKit	HarmRS	0.54983
Weighted	0	LogisticRegression	RDKit	HarmRS	0.53414
Unweighted	0	LogisticRegression	RDKit	HarmRS	0.52996
Weighted	2	LogisticRegression	RDKit	HarmRS	0.60443
Unweighted	2	LogisticRegression	RDKit	HarmRS	0.57083
Weighted	1	LogisticRegression	MACCS	HarmRS	0.53382
Unweighted	1	LogisticRegression	MACCS	HarmRS	0.51685
Weighted	3	LogisticRegression	MACCS	HarmRS	0.50327
Unweighted	3	LogisticRegression	MACCS	HarmRS	0.48809
Weighted	4	LogisticRegression	MACCS	HarmRS	0.53247
Unweighted	4	LogisticRegression	MACCS	HarmRS	0.52667
Weighted	0	LogisticRegression	MACCS	HarmRS	0.55237
