Series	Test_Fold	Model	Descriptors	Weight	Metric	Value
Weighted	1	XGBClassifier	CDDD	High	Recall	0.25619
Unweighted	1	XGBClassifier	CDDD	Unknown	Recall	0.63628
Unweighted	1	XGBClassifier	CDDD	Average	Recall	0.35182
Unweighted	1	XGBClassifier	CDDD	Low	Recall	0.33219
Unweighted	1	XGBClassifier	CDDD	High	Recall	0.27289
Weighted	2	XGBClassifier	CDDD	Unknown	Recall	0.72546
Weighted	2	XGBClassifier	CDDD	Average	Recall	0.48051
Weighted	2	XGBClassifier	CDDD	High	Recall	0.41346
Weighted	2	XGBClassifier	CDDD	Low	Recall	0.46601
Unweighted	2	XGBClassifier	CDDD	Unknown	Recall	0.74311
Unweighted	2	XGBClassifier	CDDD	Average	Recall	0.46332
Unweighted	2	XGBClassifier	CDDD	High	Recall	0.40032
Unweighted	2	XGBClassifier	CDDD	Low	Recall	0.46914
Weighted	3	XGBClassifier	CDDD	Unknown	Recall	0.75239
Weighted	3	XGBClassifier	CDDD	Low	Recall	0.39986
Weighted	3	XGBClassifier	CDDD	Average	Recall	0.4692
Weighted	3	XGBClassifier	CDDD	High	Recall	0.34127
Unweighted	3	XGBClassifier	CDDD	Unknown	Recall	0.77155
Unweighted	3	XGBClassifier	CDDD	Low	Recall	0.37409
Unweighted	3	XGBClassifier	CDDD	Average	Recall	0.43002
Unweighted	3	XGBClassifier	CDDD	High	Recall	0.30657
Weighted	4	XGBClassifier	CDDD	Average	Recall	0.54205
Weighted	4	XGBClassifier	CDDD	Unknown	Recall	0.84566
Weighted	4	XGBClassifier	CDDD	Low	Recall	0.48612
Weighted	4	XGBClassifier	CDDD	High	Recall	0.42321
Unweighted	4	XGBClassifier	CDDD	Average	Recall	0.51753
Unweighted	4	XGBClassifier	CDDD	Unknown	Recall	0.83879
Unweighted	4	XGBClassifier	CDDD	Low	Recall	0.4661
Unweighted	4	XGBClassifier	CDDD	High	Recall	0.40434
Weighted	0	LogisticRegression	RDKit	Low	Recall	0.48726
Weighted	0	LogisticRegression	RDKit	Average	Recall	0.49947
Weighted	0	LogisticRegression	RDKit	Unknown	Recall	0.51922
Weighted	0	LogisticRegression	RDKit	High	Recall	0.47837
Unweighted	0	LogisticRegression	RDKit	Low	Recall	0.52077
Unweighted	0	LogisticRegression	RDKit	Average	Recall	0.53418
Unweighted	0	LogisticRegression	RDKit	Unknown	Recall	0.53787
Unweighted	0	LogisticRegression	RDKit	High	Recall	0.54577
Weighted	1	LogisticRegression	RDKit	High	Recall	0.28995
Weighted	1	LogisticRegression	RDKit	Average	Recall	0.33782
Weighted	1	LogisticRegression	RDKit	Low	Recall	0.37314
Weighted	1	LogisticRegression	RDKit	Unknown	Recall	0.49971
Unweighted	1	LogisticRegression	RDKit	High	Recall	0.31777
Unweighted	1	LogisticRegression	RDKit	Average	Recall	0.34548
Unweighted	1	LogisticRegression	RDKit	Low	Recall	0.39587
Unweighted	1	LogisticRegression	RDKit	Unknown	Recall	0.51986
Weighted	2	LogisticRegression	RDKit	High	Recall	0.29195
Weighted	2	LogisticRegression	RDKit	Low	Recall	0.35049
Weighted	2	LogisticRegression	RDKit	Unknown	Recall	0.56711
Weighted	2	LogisticRegression	RDKit	Average	Recall	0.32071
Unweighted	2	LogisticRegression	RDKit	High	Recall	0.30538
Unweighted	2	LogisticRegression	RDKit	Low	Recall	0.36626
Unweighted	2	LogisticRegression	RDKit	Unknown	Recall	0.59047
Unweighted	2	LogisticRegression	RDKit	Average	Recall	0.34375
Weighted	3	LogisticRegression	RDKit	Low	Recall	0.41065
Weighted	3	LogisticRegression	RDKit	Average	Recall	0.41259
Weighted	3	LogisticRegression	RDKit	High	Recall	0.34554
Weighted	3	LogisticRegression	RDKit	Unknown	Recall	0.54781
Unweighted	3	LogisticRegression	RDKit	Low	Recall	0.37956
Unweighted	3	LogisticRegression	RDKit	Average	Recall	0.3828
Unweighted	3	LogisticRegression	RDKit	High	Recall	0.31752
Unweighted	3	LogisticRegression	RDKit	Unknown	Recall	0.57414
Weighted	4	LogisticRegression	RDKit	High	Recall	0.50717
Weighted	4	LogisticRegression	RDKit	Average	Recall	0.50625
Weighted	4	LogisticRegression	RDKit	Unknown	Recall	0.65093
Weighted	4	LogisticRegression	RDKit	Low	Recall	0.50455
Unweighted	4	LogisticRegression	RDKit	High	Recall	0.42998
Unweighted	4	LogisticRegression	RDKit	Average	Recall	0.4591
Unweighted	4	LogisticRegression	RDKit	Unknown	Recall	0.66331
Unweighted	4	LogisticRegression	RDKit	Low	Recall	0.47966
Weighted	0	LogisticRegression	MACCS	Average	Recall	0.50246
Weighted	0	LogisticRegression	MACCS	High	Recall	0.4234
Weighted	0	LogisticRegression	MACCS	Unknown	Recall	0.54972
