Stratification	Sub-category	Metric	Value
Sex	Male	HarmRS	0.57401
Sex	Unknown	HarmRS	0.57493
Sex	Female	HarmRS	0.57458
Sex	Unknown	ROC AUC	0.59823
Sex	Male	ROC AUC	0.51838
Sex	Female	ROC AUC	0.61542
Sex	Unknown	ROC AUC	0.56196
Sex	Male	ROC AUC	0.51393
Sex	Female	ROC AUC	0.56613
Sex	Male	ROC AUC	0.59403
Sex	Unknown	ROC AUC	0.58929
Sex	Female	ROC AUC	0.55487
Sex	Male	ROC AUC	0.55493
Sex	Unknown	ROC AUC	0.5525
Sex	Female	ROC AUC	0.53344
Sex	Female	ROC AUC	0.5982
Sex	Unknown	ROC AUC	0.60734
Sex	Male	ROC AUC	0.61202
Sex	Female	ROC AUC	0.6053
Sex	Unknown	ROC AUC	0.60985
Sex	Male	ROC AUC	0.59506
Sex	Male	ROC AUC	0.62429
Sex	Unknown	ROC AUC	0.6162
Sex	Female	ROC AUC	0.62718
Sex	Male	ROC AUC	0.60467
Sex	Unknown	ROC AUC	0.59515
Sex	Female	ROC AUC	0.60733
Sex	Male	ROC AUC	0.671
Sex	Unknown	ROC AUC	0.70244
Sex	Female	ROC AUC	0.68574
Sex	Male	ROC AUC	0.60996
Sex	Unknown	ROC AUC	0.64135
Sex	Female	ROC AUC	0.63489
Sex	Unknown	PRC AUC	0.61621
Sex	Male	PRC AUC	0.54851
Sex	Female	PRC AUC	0.61208
Sex	Unknown	PRC AUC	0.65911
Sex	Male	PRC AUC	0.6061
Sex	Female	PRC AUC	0.65489
Sex	Male	PRC AUC	0.52846
Sex	Unknown	PRC AUC	0.60946
Sex	Female	PRC AUC	0.57613
Sex	Male	PRC AUC	0.60106
Sex	Unknown	PRC AUC	0.66352
Sex	Female	PRC AUC	0.66008
Sex	Female	PRC AUC	0.56811
Sex	Unknown	PRC AUC	0.56127
Sex	Male	PRC AUC	0.53557
Sex	Female	PRC AUC	0.66559
Sex	Unknown	PRC AUC	0.65586
Sex	Male	PRC AUC	0.62598
Sex	Male	PRC AUC	0.53536
Sex	Unknown	PRC AUC	0.56953
Sex	Female	PRC AUC	0.59766
Sex	Male	PRC AUC	0.63117
Sex	Unknown	PRC AUC	0.65376
Sex	Female	PRC AUC	0.68798
Sex	Male	PRC AUC	0.61131
Sex	Unknown	PRC AUC	0.69611
Sex	Female	PRC AUC	0.68949
Sex	Male	PRC AUC	0.6701
Sex	Unknown	PRC AUC	0.73359
Sex	Female	PRC AUC	0.74129
Sex	Unknown	Brier	0.27164
Sex	Male	Brier	0.30326
Sex	Female	Brier	0.26638
Sex	Unknown	Brier	0.27164
Sex	Male	Brier	0.30326
Sex	Female	Brier	0.26638
Sex	Male	Brier	0.29124
Sex	Unknown	Brier	0.27556
Sex	Female	Brier	0.2793
Sex	Male	Brier	0.29124
Sex	Unknown	Brier	0.27556
Sex	Female	Brier	0.2793
Sex	Female	Brier	0.25078
Sex	Unknown	Brier	0.24833
Sex	Male	Brier	0.25469
Sex	Female	Brier	0.25078
Sex	Unknown	Brier	0.24833
Sex	Male	Brier	0.25469
Sex	Male	Brier	0.25968
Sex	Unknown	Brier	0.24933
Sex	Female	Brier	0.24748
Sex	Male	Brier	0.25968
Sex	Unknown	Brier	0.24933
Sex	Female	Brier	0.24748
Sex	Male	Brier	0.24863
Sex	Unknown	Brier	0.232
Sex	Female	Brier	0.23414
Sex	Male	Brier	0.24863
Sex	Unknown	Brier	0.232
Sex	Female	Brier	0.23414
Age	Elderly	Recall	0.334
Age	Unknown	Recall	0.60392
Age	Children	Recall	0.50322
Age	Adolescent	Recall	0.75167
Age	Adult	Recall	0.50419
Age	Elderly	Recall	0.27597
Age	Unknown	Recall	0.53929
Age	Children	Recall	0.45887
Age	Adolescent	Recall	0.7109
Age	Adult	Recall	0.43017
Age	Elderly	Recall	0.30683
Age	Unknown	Recall	0.6326
Age	Adolescent	Recall	0.63437
Age	Children	Recall	0.53589
Age	Adult	Recall	0.53376
Age	Elderly	Recall	0.26108
Age	Unknown	Recall	0.55415
Age	Adolescent	Recall	0.60079
Age	Children	Recall	0.4878
Age	Adult	Recall	0.45526
Age	Adolescent	Recall	0.65372
Age	Unknown	Recall	0.63814
Age	Adult	Recall	0.57644
Age	Elderly	Recall	0.38824
Age	Children	Recall	0.61562
Age	Adolescent	Recall	0.63799
Age	Unknown	Recall	0.62974
Age	Adult	Recall	0.56029
Age	Elderly	Recall	0.41993
Age	Children	Recall	0.62172
Age	Adult	Recall	0.47219
Age	Unknown	Recall	0.58516
Age	Elderly	Recall	0.28853
Age	Children	Recall	0.58673
Age	Adolescent	Recall	0.64509
Age	Adult	Recall	0.43866
Age	Unknown	Recall	0.53808
Age	Elderly	Recall	0.27039
Age	Children	Recall	0.55466
Age	Adolescent	Recall	0.61194
Age	Adolescent	Recall	0.86618
Age	Elderly	Recall	0.51236
Age	Children	Recall	0.75889
Age	Unknown	Recall	0.79327
Age	Adult	Recall	0.69995
Age	Adolescent	Recall	0.8459
Age	Elderly	Recall	0.43508
Age	Children	Recall	0.72453
Age	Unknown	Recall	0.71966
Age	Adult	Recall	0.62483
Age	Elderly	Specificity	0.66794
Age	Unknown	Specificity	0.57628
Age	Children	Specificity	0.39578
Age	Adolescent	Specificity	0.5309
Age	Adult	Specificity	0.62013
Age	Elderly	Specificity	0.72106
Age	Unknown	Specificity	0.58563
Age	Children	Specificity	0.42609
Age	Adolescent	Specificity	0.40441
Age	Adult	Specificity	0.64973
Age	Elderly	Specificity	0.80237
Age	Unknown	Specificity	0.57314
Age	Adolescent	Specificity	0.31248
Age	Children	Specificity	0.68191
Age	Adult	Specificity	0.54939
Age	Elderly	Specificity	0.81304
Age	Unknown	Specificity	0.56178
Age	Adolescent	Specificity	0.33333
Age	Children	Specificity	0.67857
Age	Adult	Specificity	0.58368
Age	Adolescent	Specificity	0.3141
Age	Unknown	Specificity	0.59631
Age	Adult	Specificity	0.57466
Age	Elderly	Specificity	0.73488
Age	Children	Specificity	0.42762
Age	Adolescent	Specificity	0.31683
Age	Unknown	Specificity	0.57437
Age	Adult	Specificity	0.56871
Age	Elderly	Specificity	0.72448
Age	Children	Specificity	0.41379
Age	Adult	Specificity	0.65579
Age	Unknown	Specificity	0.64963
Age	Elderly	Specificity	0.82529
Age	Children	Specificity	0.55807
Age	Adolescent	Specificity	0.50572
Age	Adult	Specificity	0.66038
Age	Unknown	Specificity	0.6377
Age	Elderly	Specificity	0.81239
Age	Children	Specificity	0.55725
Age	Adolescent	Specificity	0.54348
Age	Adolescent	Specificity	0.07462
Age	Elderly	Specificity	0.67261
Age	Children	Specificity	0.22297
Age	Unknown	Specificity	0.50729
Age	Adult	Specificity	0.61438
Age	Adolescent	Specificity	0.125
Age	Elderly	Specificity	0.69597
Age	Children	Specificity	0.26984
Age	Unknown	Specificity	0.48115
Age	Adult	Specificity	0.59434
Age	Elderly	HarmRS	0.44532
Age	Unknown	HarmRS	0.58978
Age	Children	HarmRS	0.44308
Age	Adolescent	HarmRS	0.62228
Age	Adult	HarmRS	0.55618
Age	Elderly	HarmRS	0.39917
Age	Unknown	HarmRS	0.56151
Age	Children	HarmRS	0.44187
Age	Adolescent	HarmRS	0.51554
Age	Adult	HarmRS	0.51763
Age	Elderly	HarmRS	0.44391
Age	Unknown	HarmRS	0.6014
Age	Adolescent	HarmRS	0.41871
Age	Children	HarmRS	0.60014
Age	Adult	HarmRS	0.54146
Age	Elderly	HarmRS	0.39525
Age	Unknown	HarmRS	0.55794
Age	Adolescent	HarmRS	0.42877
Age	Children	HarmRS	0.56759
Age	Adult	HarmRS	0.51153
Age	Adolescent	HarmRS	0.42432
Age	Unknown	HarmRS	0.61652
Age	Adult	HarmRS	0.57555
Age	Elderly	HarmRS	0.50807
Age	Children	HarmRS	0.50468
Age	Adolescent	HarmRS	0.4234
Age	Unknown	HarmRS	0.60078
Age	Adult	HarmRS	0.56447
Age	Elderly	HarmRS	0.53168
Age	Children	HarmRS	0.49688
Age	Adult	HarmRS	0.54904
Age	Unknown	HarmRS	0.61572
Age	Elderly	HarmRS	0.42758
Age	Children	HarmRS	0.57204
Age	Adolescent	HarmRS	0.56696
Age	Adult	HarmRS	0.52716
Age	Unknown	HarmRS	0.58367
Age	Elderly	HarmRS	0.40574
Age	Children	HarmRS	0.55595
Age	Adolescent	HarmRS	0.57568
Age	Adolescent	HarmRS	0.13741
Age	Elderly	HarmRS	0.58165
Age	Children	HarmRS	0.34467
Age	Unknown	HarmRS	0.61884
Age	Adult	HarmRS	0.65438
Age	Adolescent	HarmRS	0.21781
Age	Elderly	HarmRS	0.53543
Age	Children	HarmRS	0.39323
Age	Unknown	HarmRS	0.57671
Age	Adult	HarmRS	0.60921
Age	Elderly	ROC AUC	0.50336
Age	Unknown	ROC AUC	0.61836
Age	Children	ROC AUC	0.46094
Age	Adolescent	ROC AUC	0.68755
Age	Adult	ROC AUC	0.58933
Age	Elderly	ROC AUC	0.48686
Age	Unknown	ROC AUC	0.58341
Age	Children	ROC AUC	0.42104
Age	Adolescent	ROC AUC	0.59423
Age	Adult	ROC AUC	0.55413
Age	Elderly	ROC AUC	0.56788
Age	Unknown	ROC AUC	0.62281
Age	Adolescent	ROC AUC	0.49856
Age	Children	ROC AUC	0.61211
Age	Adult	ROC AUC	0.55135
Age	Elderly	ROC AUC	0.54578
Age	Unknown	ROC AUC	0.57202
Age	Adolescent	ROC AUC	0.46921
Age	Children	ROC AUC	0.59059
Age	Adult	ROC AUC	0.51796
Age	Adolescent	ROC AUC	0.55368
Age	Unknown	ROC AUC	0.63846
Age	Adult	ROC AUC	0.5793
Age	Elderly	ROC AUC	0.57493
Age	Children	ROC AUC	0.56874
Age	Adolescent	ROC AUC	0.53082
Age	Unknown	ROC AUC	0.62659
Age	Adult	ROC AUC	0.57824
Age	Elderly	ROC AUC	0.59172
Age	Children	ROC AUC	0.54202
Age	Adult	ROC AUC	0.59983
Age	Unknown	ROC AUC	0.64097
Age	Elderly	ROC AUC	0.62372
Age	Children	ROC AUC	0.59522
Age	Adolescent	ROC AUC	0.63651
Age	Adult	ROC AUC	0.58419
Age	Unknown	ROC AUC	0.61173
Age	Elderly	ROC AUC	0.5899
Age	Children	ROC AUC	0.57549
Age	Adolescent	ROC AUC	0.61364
Age	Adolescent	ROC AUC	0.64147
Age	Elderly	ROC AUC	0.63969
Age	Children	ROC AUC	0.57784
Age	Unknown	ROC AUC	0.71675
Age	Adult	ROC AUC	0.70602
Age	Adolescent	ROC AUC	0.62636
Age	Elderly	ROC AUC	0.59138
Age	Children	ROC AUC	0.55612
Age	Unknown	ROC AUC	0.64028
Age	Adult	ROC AUC	0.64207
Age	Elderly	PRC AUC	0.5275
Age	Unknown	PRC AUC	0.66011
Age	Children	PRC AUC	0.49411
Age	Adolescent	PRC AUC	0.58668
Age	Adult	PRC AUC	0.58035
Age	Elderly	PRC AUC	0.5642
Age	Unknown	PRC AUC	0.68596
Age	Children	PRC AUC	0.6088
Age	Adolescent	PRC AUC	0.67299
Age	Adult	PRC AUC	0.64166
Age	Elderly	PRC AUC	0.52413
Age	Unknown	PRC AUC	0.6425
Age	Adolescent	PRC AUC	0.60855
Age	Children	PRC AUC	0.66653
Age	Adult	PRC AUC	0.50244
Age	Elderly	PRC AUC	0.59813
Age	Unknown	PRC AUC	0.67551
Age	Adolescent	PRC AUC	0.68888
Age	Children	PRC AUC	0.75733
Age	Adult	PRC AUC	0.60143
Age	Adolescent	PRC AUC	0.68958
Age	Unknown	PRC AUC	0.59372
Age	Adult	PRC AUC	0.52673
Age	Elderly	PRC AUC	0.46968
Age	Children	PRC AUC	0.62598
Age	Adolescent	PRC AUC	0.78367
Age	Unknown	PRC AUC	0.65379
Age	Adult	PRC AUC	0.62355
Age	Elderly	PRC AUC	0.57607
Age	Children	PRC AUC	0.75485
Age	Adult	PRC AUC	0.53481
Age	Unknown	PRC AUC	0.59308
Age	Elderly	PRC AUC	0.54319
Age	Children	PRC AUC	0.50461
Age	Adolescent	PRC AUC	0.74912
Age	Adult	PRC AUC	0.63319
Age	Unknown	PRC AUC	0.65632
Age	Elderly	PRC AUC	0.60062
Age	Children	PRC AUC	0.70605
Age	Adolescent	PRC AUC	0.8129
Age	Adolescent	PRC AUC	0.74153
Age	Elderly	PRC AUC	0.54683
Age	Children	PRC AUC	0.67181
Age	Unknown	PRC AUC	0.70263
Age	Adult	PRC AUC	0.69028
Age	Adolescent	PRC AUC	0.82364
Age	Elderly	PRC AUC	0.62663
Age	Children	PRC AUC	0.74255
Age	Unknown	PRC AUC	0.72142
Age	Adult	PRC AUC	0.72183
Age	Elderly	Brier	0.30992
Age	Unknown	Brier	0.26116
Age	Children	Brier	0.30117
Age	Adolescent	Brier	0.23995
Age	Adult	Brier	0.27974
Age	Elderly	Brier	0.30992
Age	Unknown	Brier	0.26116
Age	Children	Brier	0.30117
Age	Adolescent	Brier	0.23995
Age	Adult	Brier	0.27974
Age	Elderly	Brier	0.29975
Age	Unknown	Brier	0.2682
Age	Adolescent	Brier	0.26539
Age	Children	Brier	0.26812
Age	Adult	Brier	0.28811
Age	Elderly	Brier	0.29975
Age	Unknown	Brier	0.2682
Age	Adolescent	Brier	0.26539
Age	Children	Brier	0.26812
Age	Adult	Brier	0.28811
Age	Adolescent	Brier	0.24987
Age	Unknown	Brier	0.24409
Age	Adult	Brier	0.25917
Age	Elderly	Brier	0.25086
Age	Children	Brier	0.25333
Age	Adolescent	Brier	0.24987
Age	Unknown	Brier	0.24409
Age	Adult	Brier	0.25917
Age	Elderly	Brier	0.25086
Age	Children	Brier	0.25333
Age	Adult	Brier	0.25622
Age	Unknown	Brier	0.24496
Age	Elderly	Brier	0.2625
Age	Children	Brier	0.24878
Age	Adolescent	Brier	0.23682
Age	Adult	Brier	0.25622
Age	Unknown	Brier	0.24496
Age	Elderly	Brier	0.2625
Age	Children	Brier	0.24878
Age	Adolescent	Brier	0.23682
Age	Adolescent	Brier	0.20944
Age	Elderly	Brier	0.25675
Age	Children	Brier	0.23472
Age	Unknown	Brier	0.23344
Age	Adult	Brier	0.23616
Age	Adolescent	Brier	0.20944
Age	Elderly	Brier	0.25675
Age	Children	Brier	0.23472
Age	Unknown	Brier	0.23344
Age	Adult	Brier	0.23616
Weight	Average	Recall	0.38053
Weight	High	Recall	0.31911
Weight	Unknown	Recall	0.67999
Weight	Low	Recall	0.32663
Weight	Average	Recall	0.35902
Weight	High	Recall	0.30347
Weight	Unknown	Recall	0.6748
Weight	Low	Recall	0.28027
Weight	Low	Recall	0.34873
Weight	Unknown	Recall	0.67342
Weight	Average	Recall	0.40611
Weight	High	Recall	0.30561
Weight	Low	Recall	0.33884
Weight	Unknown	Recall	0.64551
Weight	Average	Recall	0.39506
Weight	High	Recall	0.29075
Weight	Average	Recall	0.45056
Weight	Unknown	Recall	0.70514
Weight	High	Recall	0.40596
Weight	Low	Recall	0.38333
Weight	Average	Recall	0.47377
Weight	Unknown	Recall	0.72383
Weight	High	Recall	0.47318
Weight	Low	Recall	0.43089
Weight	Average	Recall	0.36417
Weight	Unknown	Recall	0.62276
Weight	High	Recall	0.32324
Weight	Low	Recall	0.3214
Weight	Average	Recall	0.36489
Weight	Unknown	Recall	0.64765
Weight	High	Recall	0.31844
Weight	Low	Recall	0.32079
Weight	Low	Recall	0.63243
Weight	Unknown	Recall	0.81514
Weight	Average	Recall	0.58742
Weight	High	Recall	0.53501
Weight	Low	Recall	0.59846
Weight	Unknown	Recall	0.78606
Weight	Average	Recall	0.53274
Weight	High	Recall	0.5038
Weight	Average	Specificity	0.7274
Weight	High	Specificity	0.75792
Weight	Unknown	Specificity	0.42476
Weight	Low	Specificity	0.76628
Weight	Average	Specificity	0.71429
Weight	High	Specificity	0.76142
Weight	Unknown	Specificity	0.42208
Weight	Low	Specificity	0.75061
Weight	Low	Specificity	0.77791
Weight	Unknown	Specificity	0.45077
Weight	Average	Specificity	0.68722
Weight	High	Specificity	0.79471
Weight	Low	Specificity	0.7767
Weight	Unknown	Specificity	0.45192
Weight	Average	Specificity	0.67984
Weight	High	Specificity	0.79296
Weight	Average	Specificity	0.7098
Weight	Unknown	Specificity	0.46305
Weight	High	Specificity	0.75291
Weight	Low	Specificity	0.71764
Weight	Average	Specificity	0.66667
Weight	Unknown	Specificity	0.44264
Weight	High	Specificity	0.70727
Weight	Low	Specificity	0.68321
Weight	Average	Specificity	0.77856
Weight	Unknown	Specificity	0.50373
Weight	High	Specificity	0.85421
Weight	Low	Specificity	0.84604
Weight	Average	Specificity	0.77488
Weight	Unknown	Specificity	0.48091
Weight	High	Specificity	0.83484
Weight	Low	Specificity	0.82679
Weight	Low	Specificity	0.64493
Weight	Unknown	Specificity	0.36645
Weight	Average	Specificity	0.61326
Weight	High	Specificity	0.73461
Weight	Low	Specificity	0.60938
Weight	Unknown	Specificity	0.35229
Weight	Average	Specificity	0.58661
Weight	High	Specificity	0.72379
Weight	Average	HarmRS	0.49967
Weight	High	HarmRS	0.44912
Weight	Unknown	HarmRS	0.52289
Weight	Low	HarmRS	0.45802
Weight	Average	HarmRS	0.47785
Weight	High	HarmRS	0.43398
Weight	Unknown	HarmRS	0.51933
Weight	Low	HarmRS	0.40814
Weight	Low	HarmRS	0.48158
Weight	Unknown	HarmRS	0.54005
Weight	Average	HarmRS	0.51052
Weight	High	HarmRS	0.44146
Weight	Low	HarmRS	0.47184
Weight	Unknown	HarmRS	0.53164
Weight	Average	HarmRS	0.49973
Weight	High	HarmRS	0.42549
Weight	Average	HarmRS	0.55122
Weight	Unknown	HarmRS	0.55901
Weight	High	HarmRS	0.5275
Weight	Low	HarmRS	0.49973
Weight	Average	HarmRS	0.5539
Weight	Unknown	HarmRS	0.54934
Weight	High	HarmRS	0.56702
Weight	Low	HarmRS	0.52848
Weight	Average	HarmRS	0.49623
Weight	Unknown	HarmRS	0.55695
Weight	High	HarmRS	0.469
Weight	Low	HarmRS	0.46584
Weight	Average	HarmRS	0.49614
Weight	Unknown	HarmRS	0.55196
Weight	High	HarmRS	0.46102
Weight	Low	HarmRS	0.46223
Weight	Low	HarmRS	0.63862
Weight	Unknown	HarmRS	0.50561
Weight	Average	HarmRS	0.60006
Weight	High	HarmRS	0.61912
Weight	Low	HarmRS	0.60387
Weight	Unknown	HarmRS	0.48653
Weight	Average	HarmRS	0.55838
Weight	High	HarmRS	0.59408
Weight	Average	ROC AUC	0.58686
Weight	High	ROC AUC	0.53896
Weight	Unknown	ROC AUC	0.58187
Weight	Low	ROC AUC	0.5559
Weight	Average	ROC AUC	0.55422
Weight	High	ROC AUC	0.53558
Weight	Unknown	ROC AUC	0.5758
Weight	Low	ROC AUC	0.51402
Weight	Low	ROC AUC	0.54946
Weight	Unknown	ROC AUC	0.59399
Weight	Average	ROC AUC	0.55518
Weight	High	ROC AUC	0.53872
Weight	Low	ROC AUC	0.55525
Weight	Unknown	ROC AUC	0.57423
Weight	Average	ROC AUC	0.55208
Weight	High	ROC AUC	0.54555
Weight	Average	ROC AUC	0.57116
Weight	Unknown	ROC AUC	0.61496
Weight	High	ROC AUC	0.59009
Weight	Low	ROC AUC	0.54486
Weight	Average	ROC AUC	0.57477
Weight	Unknown	ROC AUC	0.62404
Weight	High	ROC AUC	0.6122
Weight	Low	ROC AUC	0.56745
Weight	Average	ROC AUC	0.63409
Weight	Unknown	ROC AUC	0.58081
Weight	High	ROC AUC	0.62196
Weight	Low	ROC AUC	0.64802
Weight	Average	ROC AUC	0.61321
Weight	Unknown	ROC AUC	0.58043
Weight	High	ROC AUC	0.62771
Weight	Low	ROC AUC	0.64249
Weight	Low	ROC AUC	0.6864
Weight	Unknown	ROC AUC	0.67822
Weight	Average	ROC AUC	0.65753
Weight	High	ROC AUC	0.64899
Weight	Low	ROC AUC	0.6385
Weight	Unknown	ROC AUC	0.63801
Weight	Average	ROC AUC	0.598
Weight	High	ROC AUC	0.62438
Weight	Average	PRC AUC	0.59485
Weight	High	PRC AUC	0.54379
Weight	Unknown	PRC AUC	0.62012
Weight	Low	PRC AUC	0.54945
Weight	Average	PRC AUC	0.65965
Weight	High	PRC AUC	0.61904
Weight	Unknown	PRC AUC	0.66412
Weight	Low	PRC AUC	0.61355
Weight	Low	PRC AUC	0.50607
Weight	Unknown	PRC AUC	0.62755
Weight	Average	PRC AUC	0.52265
Weight	High	PRC AUC	0.48488
Weight	Low	PRC AUC	0.66703
Weight	Unknown	PRC AUC	0.65639
Weight	Average	PRC AUC	0.65341
Weight	High	PRC AUC	0.64989
Weight	Average	PRC AUC	0.50221
Weight	Unknown	PRC AUC	0.59456
Weight	High	PRC AUC	0.48666
Weight	Low	PRC AUC	0.50659
Weight	Average	PRC AUC	0.62697
Weight	Unknown	PRC AUC	0.68151
Weight	High	PRC AUC	0.62451
Weight	Low	PRC AUC	0.62686
Weight	Average	PRC AUC	0.54954
Weight	Unknown	PRC AUC	0.59002
Weight	High	PRC AUC	0.51517
Weight	Low	PRC AUC	0.54051
Weight	Average	PRC AUC	0.69316
Weight	Unknown	PRC AUC	0.64937
Weight	High	PRC AUC	0.65422
Weight	Low	PRC AUC	0.69226
Weight	Low	PRC AUC	0.54408
Weight	Unknown	PRC AUC	0.73994
Weight	Average	PRC AUC	0.58213
Weight	High	PRC AUC	0.55331
Weight	Low	PRC AUC	0.67055
Weight	Unknown	PRC AUC	0.76234
Weight	Average	PRC AUC	0.67997
Weight	High	PRC AUC	0.69785
Weight	Average	Brier	0.2849
Weight	High	Brier	0.30399
Weight	Unknown	Brier	0.25175
Weight	Low	Brier	0.30289
Weight	Average	Brier	0.2849
Weight	High	Brier	0.30399
Weight	Unknown	Brier	0.25175
Weight	Low	Brier	0.30289
Weight	Low	Brier	0.29017
Weight	Unknown	Brier	0.26225
Weight	Average	Brier	0.28407
Weight	High	Brier	0.30656
Weight	Low	Brier	0.29017
Weight	Unknown	Brier	0.26225
Weight	Average	Brier	0.28407
Weight	High	Brier	0.30656
Weight	Average	Brier	0.26216
Weight	Unknown	Brier	0.23954
Weight	High	Brier	0.24651
Weight	Low	Brier	0.26538
Weight	Average	Brier	0.26216
Weight	Unknown	Brier	0.23954
Weight	High	Brier	0.24651
Weight	Low	Brier	0.26538
Weight	Average	Brier	0.25938
Weight	Unknown	Brier	0.24549
Weight	High	Brier	0.25464
Weight	Low	Brier	0.25442
Weight	Average	Brier	0.25938
Weight	Unknown	Brier	0.24549
Weight	High	Brier	0.25464
Weight	Low	Brier	0.25442
Weight	Low	Brier	0.23912
Weight	Unknown	Brier	0.22403
Weight	Average	Brier	0.25078
Weight	High	Brier	0.2506
Weight	Low	Brier	0.23912
Weight	Unknown	Brier	0.22403
Weight	Average	Brier	0.25078
Weight	High	Brier	0.2506
Sex	Male	AFT	0.43100000000000005
Sex	Female	AFT	0.48600000000000004
Sex	Unknown	AFT	0.49
Age	Unknown	AFT	0.49667
Age	Elderly	AFT	0.42284999999999995
Age	Adolescent	AFT	0.55474
Age	Adult	AFT	0.45838
Age	Children	AFT	0.513
Weight	High	AFT	0.40229
Weight	Average	AFT	0.43348
Weight	Low	AFT	0.41994
Weight	Unknown	AFT	0.52915
