Dataset	Descriptors	Metric	Model	Mean	STD
Mono	RDKit	Precision	LogisticRegression	0.64813	0.04791
Mono	RDKit	Precision	RandomForestClassifier	0.66488	0.04692
Mono	RDKit	Precision	XGBClassifier	0.68065	0.03835
Mono	RDKit	ROC AUC	LogisticRegression	0.55926	0.06564
Mono	RDKit	ROC AUC	RandomForestClassifier	0.59783	0.05605
Mono	RDKit	ROC AUC	XGBClassifier	0.61215	0.04203
Mono	RDKit	Recall	LogisticRegression	0.56018	0.10942
Mono	RDKit	Recall	RandomForestClassifier	0.6174	0.11411
Mono	RDKit	Recall	XGBClassifier	0.62819	0.12359
Mono	RDKit	Specificity	LogisticRegression	0.51248	0.11964
Mono	RDKit	Specificity	RandomForestClassifier	0.50501	0.09824
Mono	RDKit	Specificity	XGBClassifier	0.52063	0.13539
Primary	CDDD	Accuracy	LogisticRegression	0.55633	0.05292
Primary	CDDD	Accuracy	RandomForestClassifier	0.61085	0.04325
Primary	CDDD	Accuracy	XGBClassifier	0.61106	0.03633
Primary	CDDD	Balanced Accuracy	LogisticRegression	0.5501	0.04547
Primary	CDDD	Balanced Accuracy	RandomForestClassifier	0.58803	0.02499
Primary	CDDD	Balanced Accuracy	XGBClassifier	0.59144	0.02446
Primary	CDDD	Brier	LogisticRegression	0.28835	0.03845
Primary	CDDD	Brier	RandomForestClassifier	0.23363	0.01172
Primary	CDDD	Brier	XGBClassifier	0.23648	0.01435
Primary	CDDD	ECE	LogisticRegression	0.19524	0.053
Primary	CDDD	ECE	RandomForestClassifier	0.09535	0.03588
Primary	CDDD	ECE	XGBClassifier	0.09659	0.0348
Primary	CDDD	F1 Score	LogisticRegression	0.6063	0.07342
Primary	CDDD	F1 Score	RandomForestClassifier	0.67169	0.07203
Primary	CDDD	F1 Score	XGBClassifier	0.66376	0.07364
Primary	CDDD	GeomRS	LogisticRegression	0.54294	0.04631
Primary	CDDD	GeomRS	RandomForestClassifier	0.56855	0.03684
Primary	CDDD	GeomRS	XGBClassifier	0.57475	0.03303
Primary	CDDD	HarmRS	LogisticRegression	0.53597	0.04812
Primary	CDDD	HarmRS	RandomForestClassifier	0.55093	0.05592
Primary	CDDD	HarmRS	XGBClassifier	0.55915	0.04665
Primary	CDDD	MCC	LogisticRegression	0.09968	0.09071
Primary	CDDD	MCC	RandomForestClassifier	0.18299	0.05526
Primary	CDDD	MCC	XGBClassifier	0.18706	0.05096
Primary	CDDD	PRC AUC	LogisticRegression	0.67692	0.05026
Primary	CDDD	PRC AUC	RandomForestClassifier	0.73671	0.04923
Primary	CDDD	PRC AUC	XGBClassifier	0.72772	0.04154
Primary	CDDD	Precision	LogisticRegression	0.6589	0.04886
Primary	CDDD	Precision	RandomForestClassifier	0.68577	0.03365
Primary	CDDD	Precision	XGBClassifier	0.69434	0.03261
Primary	CDDD	ROC AUC	LogisticRegression	0.56535	0.0566
Primary	CDDD	ROC AUC	RandomForestClassifier	0.63575	0.04654
Primary	CDDD	ROC AUC	XGBClassifier	0.62962	0.03872
Primary	CDDD	Recall	LogisticRegression	0.56862	0.10466
Primary	CDDD	Recall	RandomForestClassifier	0.67005	0.13129
Primary	CDDD	Recall	XGBClassifier	0.6469	0.12702
Primary	CDDD	Specificity	LogisticRegression	0.53158	0.0913
Primary	CDDD	Specificity	RandomForestClassifier	0.50601	0.12194
Primary	CDDD	Specificity	XGBClassifier	0.53598	0.13266
Primary	ChemBERTa	Accuracy	LogisticRegression	0.50903	0.05088
Primary	ChemBERTa	Accuracy	RandomForestClassifier	0.56699	0.05537
Primary	ChemBERTa	Accuracy	XGBClassifier	0.57857	0.034
Primary	ChemBERTa	Balanced Accuracy	LogisticRegression	0.50254	0.04295
Primary	ChemBERTa	Balanced Accuracy	RandomForestClassifier	0.5425	0.03662
Primary	ChemBERTa	Balanced Accuracy	XGBClassifier	0.55815	0.02672
Primary	ChemBERTa	Brier	LogisticRegression	0.31464	0.041
Primary	ChemBERTa	Brier	RandomForestClassifier	0.24097	0.01303
Primary	ChemBERTa	Brier	XGBClassifier	0.24768	0.01378
Primary	ChemBERTa	ECE	LogisticRegression	0.23482	0.06341
Primary	ChemBERTa	ECE	RandomForestClassifier	0.09205	0.04045
Primary	ChemBERTa	ECE	XGBClassifier	0.11135	0.03432
Primary	ChemBERTa	F1 Score	LogisticRegression	0.56188	0.07191
Primary	ChemBERTa	F1 Score	RandomForestClassifier	0.62942	0.09757
Primary	ChemBERTa	F1 Score	XGBClassifier	0.63757	0.07306
Primary	ChemBERTa	GeomRS	LogisticRegression	0.496	0.04185
Primary	ChemBERTa	GeomRS	RandomForestClassifier	0.51631	0.0529
Primary	ChemBERTa	GeomRS	XGBClassifier	0.53866	0.05044
Primary	ChemBERTa	HarmRS	LogisticRegression	0.4897	0.04266
Primary	ChemBERTa	HarmRS	RandomForestClassifier	0.49313	0.07199
Primary	ChemBERTa	HarmRS	XGBClassifier	0.5217	0.07162
Primary	ChemBERTa	MCC	LogisticRegression	0.00588	0.08517
Primary	ChemBERTa	MCC	RandomForestClassifier	0.08741	0.07518
Primary	ChemBERTa	MCC	XGBClassifier	0.11688	0.05415
Primary	ChemBERTa	PRC AUC	LogisticRegression	0.62318	0.05739
Primary	ChemBERTa	PRC AUC	RandomForestClassifier	0.69203	0.06042
Primary	ChemBERTa	PRC AUC	XGBClassifier	0.70803	0.04435
Primary	ChemBERTa	Precision	LogisticRegression	0.61516	0.05259
Primary	ChemBERTa	Precision	RandomForestClassifier	0.64759	0.04859
Primary	ChemBERTa	Precision	XGBClassifier	0.66519	0.03979
Primary	ChemBERTa	ROC AUC	LogisticRegression	0.50387	0.05907
Primary	ChemBERTa	ROC AUC	RandomForestClassifier	0.57728	0.05343
Primary	ChemBERTa	ROC AUC	XGBClassifier	0.59489	0.03607
Primary	ChemBERTa	Recall	LogisticRegression	0.5228	0.0995
Primary	ChemBERTa	Recall	RandomForestClassifier	0.62688	0.15122
Primary	ChemBERTa	Recall	XGBClassifier	0.62242	0.12079
Primary	ChemBERTa	Specificity	LogisticRegression	0.48228	0.0806
Primary	ChemBERTa	Specificity	RandomForestClassifier	0.45811	0.13801
Primary	ChemBERTa	Specificity	XGBClassifier	0.49389	0.13591
Primary	ECFP	Accuracy	LogisticRegression	0.5652	0.06797
Primary	ECFP	Accuracy	RandomForestClassifier	0.59032	0.04991
Primary	ECFP	Accuracy	XGBClassifier	0.59883	0.05562
Primary	ECFP	Balanced Accuracy	LogisticRegression	0.55875	0.05802
Primary	ECFP	Balanced Accuracy	RandomForestClassifier	0.58439	0.0338
Primary	ECFP	Balanced Accuracy	XGBClassifier	0.58485	0.04389
Primary	ECFP	Brier	LogisticRegression	0.27888	0.04297
Primary	ECFP	Brier	RandomForestClassifier	0.23808	0.0166
Primary	ECFP	Brier	XGBClassifier	0.24311	0.0233
Primary	ECFP	ECE	LogisticRegression	0.17996	0.06071
Primary	ECFP	ECE	RandomForestClassifier	0.10927	0.04228
Primary	ECFP	ECE	XGBClassifier	0.11358	0.04268
Primary	ECFP	F1 Score	LogisticRegression	0.61204	0.09295
Primary	ECFP	F1 Score	RandomForestClassifier	0.61219	0.11517
Primary	ECFP	F1 Score	XGBClassifier	0.64458	0.09218
Primary	ECFP	GeomRS	LogisticRegression	0.55007	0.05891
Primary	ECFP	GeomRS	RandomForestClassifier	0.55599	0.05074
Primary	ECFP	GeomRS	XGBClassifier	0.56826	0.05143
Primary	ECFP	HarmRS	LogisticRegression	0.54169	0.0612
Primary	ECFP	HarmRS	RandomForestClassifier	0.53012	0.06967
Primary	ECFP	HarmRS	XGBClassifier	0.5528	0.06294
Primary	ECFP	MCC	LogisticRegression	0.11709	0.1149
Primary	ECFP	MCC	RandomForestClassifier	0.17494	0.0668
Primary	ECFP	MCC	XGBClassifier	0.17318	0.08992
Primary	ECFP	PRC AUC	LogisticRegression	0.68036	0.06917
Primary	ECFP	PRC AUC	RandomForestClassifier	0.73146	0.05037
Primary	ECFP	PRC AUC	XGBClassifier	0.72762	0.0555
Primary	ECFP	Precision	LogisticRegression	0.66458	0.06697
Primary	ECFP	Precision	RandomForestClassifier	0.70553	0.03287
Primary	ECFP	Precision	XGBClassifier	0.68977	0.04301
Primary	ECFP	ROC AUC	LogisticRegression	0.57773	0.07712
Primary	ECFP	ROC AUC	RandomForestClassifier	0.62127	0.04573
Primary	ECFP	ROC AUC	XGBClassifier	0.62343	0.05974
Primary	ECFP	Recall	LogisticRegression	0.57597	0.12575
Primary	ECFP	Recall	RandomForestClassifier	0.56618	0.17922
Primary	ECFP	Recall	XGBClassifier	0.6182	0.14445
Primary	ECFP	Specificity	LogisticRegression	0.54154	0.09895
Primary	ECFP	Specificity	RandomForestClassifier	0.6026	0.18133
Primary	ECFP	Specificity	XGBClassifier	0.55149	0.13563
Primary	Klek	Accuracy	LogisticRegression	0.55717	0.05142
Primary	Klek	Accuracy	RandomForestClassifier	0.58009	0.04874
Primary	Klek	Accuracy	XGBClassifier	0.58954	0.04413
Primary	Klek	Balanced Accuracy	LogisticRegression	0.54827	0.04457
Primary	Klek	Balanced Accuracy	RandomForestClassifier	0.57046	0.03636
Primary	Klek	Balanced Accuracy	XGBClassifier	0.57667	0.02783
Primary	Klek	Brier	LogisticRegression	0.27953	0.03595
Primary	Klek	Brier	RandomForestClassifier	0.23983	0.01688
Primary	Klek	Brier	XGBClassifier	0.24676	0.01778
Primary	Klek	ECE	LogisticRegression	0.18581	0.05414
Primary	Klek	ECE	RandomForestClassifier	0.10886	0.04355
Primary	Klek	ECE	XGBClassifier	0.11999	0.03895
Primary	Klek	F1 Score	LogisticRegression	0.60449	0.08314
Primary	Klek	F1 Score	RandomForestClassifier	0.60636	0.11771
Primary	Klek	F1 Score	XGBClassifier	0.63286	0.09203
Primary	Klek	GeomRS	LogisticRegression	0.53654	0.0484
Primary	Klek	GeomRS	RandomForestClassifier	0.53434	0.05709
Primary	Klek	GeomRS	XGBClassifier	0.55638	0.04201
Primary	Klek	HarmRS	LogisticRegression	0.52537	0.05463
Primary	Klek	HarmRS	RandomForestClassifier	0.50265	0.08162
Primary	Klek	HarmRS	XGBClassifier	0.53778	0.05953
Primary	Klek	MCC	LogisticRegression	0.0961	0.0875
Primary	Klek	MCC	RandomForestClassifier	0.14859	0.0724
Primary	Klek	MCC	XGBClassifier	0.1567	0.05576
Primary	Klek	PRC AUC	LogisticRegression	0.67501	0.0605
Primary	Klek	PRC AUC	RandomForestClassifier	0.72149	0.05299
Primary	Klek	PRC AUC	XGBClassifier	0.71706	0.04349
Primary	Klek	Precision	LogisticRegression	0.65891	0.05722
Primary	Klek	Precision	RandomForestClassifier	0.69267	0.04958
Primary	Klek	Precision	XGBClassifier	0.68716	0.03182
Primary	Klek	ROC AUC	LogisticRegression	0.56618	0.05776
Primary	Klek	ROC AUC	RandomForestClassifier	0.61031	0.04385
Primary	Klek	ROC AUC	XGBClassifier	0.61265	0.03585
Primary	Klek	Recall	LogisticRegression	0.56743	0.11707
Primary	Klek	Recall	RandomForestClassifier	0.56976	0.19118
Primary	Klek	Recall	XGBClassifier	0.60414	0.14814
Primary	Klek	Specificity	LogisticRegression	0.52912	0.12183
Primary	Klek	Specificity	RandomForestClassifier	0.57117	0.20938
Primary	Klek	Specificity	XGBClassifier	0.54919	0.15196
Primary	MACCS	Accuracy	LogisticRegression	0.54871	0.04188
Primary	MACCS	Accuracy	RandomForestClassifier	0.59848	0.05282
Primary	MACCS	Accuracy	XGBClassifier	0.60345	0.04394
Primary	MACCS	Balanced Accuracy	LogisticRegression	0.53608	0.02603
Primary	MACCS	Balanced Accuracy	RandomForestClassifier	0.58038	0.03635
Primary	MACCS	Balanced Accuracy	XGBClassifier	0.59422	0.03223
Primary	MACCS	Brier	LogisticRegression	0.26516	0.01659
Primary	MACCS	Brier	RandomForestClassifier	0.23405	0.0128
Primary	MACCS	Brier	XGBClassifier	0.24145	0.01554
Primary	MACCS	ECE	LogisticRegression	0.15825	0.03179
Primary	MACCS	ECE	RandomForestClassifier	0.09697	0.03715
Primary	MACCS	ECE	XGBClassifier	0.11419	0.03414
Primary	MACCS	F1 Score	LogisticRegression	0.58618	0.10441
Primary	MACCS	F1 Score	RandomForestClassifier	0.65551	0.08135
Primary	MACCS	F1 Score	XGBClassifier	0.64361	0.08116
Primary	MACCS	GeomRS	LogisticRegression	0.50637	0.04254
Primary	MACCS	GeomRS	RandomForestClassifier	0.56364	0.04567
Primary	MACCS	GeomRS	XGBClassifier	0.57962	0.0382
Primary	MACCS	HarmRS	LogisticRegression	0.47971	0.06284
Primary	MACCS	HarmRS	RandomForestClassifier	0.54822	0.0595
Primary	MACCS	HarmRS	XGBClassifier	0.5657	0.04685
Primary	MACCS	MCC	LogisticRegression	0.07438	0.05303
Primary	MACCS	MCC	RandomForestClassifier	0.16436	0.07466
Primary	MACCS	MCC	XGBClassifier	0.19047	0.06457
