Dataset	Descriptors	Metric	Model	Mean	STD
Primary	Morgan	Balanced Accuracy	RandomForestClassifier	0.57248	0.02436
Primary	Morgan	Balanced Accuracy	XGBClassifier	0.58426	0.01962
Primary	Morgan	F1 Score	LogisticRegression	0.60478	0.05122
Primary	Morgan	F1 Score	RandomForestClassifier	0.57255	0.11429
Primary	Morgan	F1 Score	XGBClassifier	0.61999	0.06527
Primary	Morgan	GeomRS	LogisticRegression	0.56279	0.03353
Primary	Morgan	GeomRS	RandomForestClassifier	0.54136	0.046
Primary	Morgan	GeomRS	XGBClassifier	0.57038	0.02734
Primary	Morgan	HarmRS	LogisticRegression	0.55562	0.0361
Primary	Morgan	HarmRS	RandomForestClassifier	0.51336	0.06787
Primary	Morgan	HarmRS	XGBClassifier	0.55723	0.0386
Primary	Morgan	MCC	LogisticRegression	0.14052	0.06512
Primary	Morgan	MCC	RandomForestClassifier	0.15207	0.04528
Primary	Morgan	MCC	XGBClassifier	0.17155	0.03818
Primary	Morgan	Precision	LogisticRegression	0.64129	0.0597
Primary	Morgan	Precision	RandomForestClassifier	0.65706	0.0597
Primary	Morgan	Precision	XGBClassifier	0.65509	0.05539
Primary	Morgan	ROC AUC	LogisticRegression	0.59434	0.04218
Primary	Morgan	ROC AUC	RandomForestClassifier	0.61511	0.03173
Primary	Morgan	ROC AUC	XGBClassifier	0.62426	0.02706
Primary	Morgan	Recall	LogisticRegression	0.58284	0.0915
Primary	Morgan	Recall	RandomForestClassifier	0.53813	0.18418
Primary	Morgan	Recall	XGBClassifier	0.60381	0.12326
Primary	Morgan	Specificity	LogisticRegression	0.55747	0.10163
Primary	Morgan	Specificity	RandomForestClassifier	0.60683	0.18081
Primary	Morgan	Specificity	XGBClassifier	0.56471	0.12979
Primary	RDKit	Accuracy	LogisticRegression	0.56046	0.0279
Primary	RDKit	Accuracy	RandomForestClassifier	0.5845	0.03364
Primary	RDKit	Accuracy	XGBClassifier	0.58564	0.03199
Primary	RDKit	Balanced Accuracy	LogisticRegression	0.55978	0.01876
Primary	RDKit	Balanced Accuracy	RandomForestClassifier	0.57208	0.02352
Primary	RDKit	Balanced Accuracy	XGBClassifier	0.58091	0.02275
Primary	RDKit	F1 Score	LogisticRegression	0.57359	0.08379
Primary	RDKit	F1 Score	RandomForestClassifier	0.63602	0.06184
Primary	RDKit	F1 Score	XGBClassifier	0.61994	0.06866
Primary	RDKit	GeomRS	LogisticRegression	0.54284	0.0256
Primary	RDKit	GeomRS	RandomForestClassifier	0.55827	0.0253
Primary	RDKit	GeomRS	XGBClassifier	0.56927	0.02923
Primary	RDKit	HarmRS	LogisticRegression	0.52676	0.03581
Primary	RDKit	HarmRS	RandomForestClassifier	0.54527	0.03474
Primary	RDKit	HarmRS	XGBClassifier	0.55818	0.03872
Primary	RDKit	MCC	LogisticRegression	0.12257	0.03913
Primary	RDKit	MCC	RandomForestClassifier	0.14861	0.05117
Primary	RDKit	MCC	XGBClassifier	0.16412	0.04553
Primary	RDKit	Precision	LogisticRegression	0.63734	0.041
Primary	RDKit	Precision	RandomForestClassifier	0.63427	0.04013
Primary	RDKit	Precision	XGBClassifier	0.64899	0.04695
Primary	RDKit	ROC AUC	LogisticRegression	0.58347	0.02298
Primary	RDKit	ROC AUC	RandomForestClassifier	0.6168	0.03735
Primary	RDKit	ROC AUC	XGBClassifier	0.62393	0.03474
Primary	RDKit	Recall	LogisticRegression	0.53751	0.13975
Primary	RDKit	Recall	RandomForestClassifier	0.648	0.11151
Primary	RDKit	Recall	XGBClassifier	0.60636	0.1193
Primary	RDKit	Specificity	LogisticRegression	0.58204	0.13326
