DPA	Descriptors	Metric	Model	Mean	STD
IC	ChemBERTa	MCC	XGBClassifier	0.03153	0.03635
IC	ChemBERTa	PRC AUC	LogisticRegression	0.57701	0.03087
IC	ChemBERTa	PRC AUC	RandomForestClassifier	0.61507	0.03616
IC	ChemBERTa	PRC AUC	XGBClassifier	0.6059	0.03389
IC	ChemBERTa	Precision	LogisticRegression	0.57589	0.03163
IC	ChemBERTa	Precision	RandomForestClassifier	0.58949	0.02758
IC	ChemBERTa	Precision	XGBClassifier	0.58341	0.02603
IC	ChemBERTa	ROC AUC	LogisticRegression	0.50249	0.03431
IC	ChemBERTa	ROC AUC	RandomForestClassifier	0.5422	0.02724
IC	ChemBERTa	ROC AUC	XGBClassifier	0.53067	0.02681
IC	ChemBERTa	Recall	LogisticRegression	0.58332	0.0729
IC	ChemBERTa	Recall	RandomForestClassifier	0.74448	0.11139
IC	ChemBERTa	Recall	XGBClassifier	0.70502	0.06232
IC	ChemBERTa	Specificity	LogisticRegression	0.42475	0.0609
IC	ChemBERTa	Specificity	RandomForestClassifier	0.29922	0.13243
IC	ChemBERTa	Specificity	XGBClassifier	0.32395	0.06314
IC	Klek	Accuracy	LogisticRegression	0.52486	0.03346
IC	Klek	Accuracy	RandomForestClassifier	0.55435	0.02485
IC	Klek	Accuracy	XGBClassifier	0.55047	0.0219
IC	Klek	Balanced Accuracy	LogisticRegression	0.51249	0.03182
IC	Klek	Balanced Accuracy	RandomForestClassifier	0.52178	0.02294
IC	Klek	Balanced Accuracy	XGBClassifier	0.52524	0.01818
IC	Klek	Brier	LogisticRegression	0.31321	0.02736
IC	Klek	Brier	RandomForestClassifier	0.25567	0.00841
IC	Klek	Brier	XGBClassifier	0.27221	0.01463
IC	Klek	ECE	LogisticRegression	0.21843	0.04718
IC	Klek	ECE	RandomForestClassifier	0.10169	0.02303
IC	Klek	ECE	XGBClassifier	0.14875	0.02782
IC	Klek	F1 Score	LogisticRegression	0.59243	0.04155
IC	Klek	F1 Score	RandomForestClassifier	0.65378	0.04564
IC	Klek	F1 Score	XGBClassifier	0.63924	0.03632
IC	Klek	GeomRS	LogisticRegression	0.49809	0.03678
IC	Klek	GeomRS	RandomForestClassifier	0.4505	0.06822
IC	Klek	GeomRS	XGBClassifier	0.48698	0.03869
IC	Klek	HarmRS	LogisticRegression	0.48446	0.04437
IC	Klek	HarmRS	RandomForestClassifier	0.39561	0.10634
IC	Klek	HarmRS	XGBClassifier	0.45317	0.06095
IC	Klek	MCC	LogisticRegression	0.02535	0.06523
IC	Klek	MCC	RandomForestClassifier	0.05066	0.04819
IC	Klek	MCC	XGBClassifier	0.05403	0.0382
IC	Klek	PRC AUC	LogisticRegression	0.5913	0.04593
IC	Klek	PRC AUC	RandomForestClassifier	0.61977	0.03536
IC	Klek	PRC AUC	XGBClassifier	0.62248	0.03845
IC	Klek	Precision	LogisticRegression	0.58353	0.03831
IC	Klek	Precision	RandomForestClassifier	0.58906	0.02927
IC	Klek	Precision	XGBClassifier	0.59165	0.02977
IC	Klek	ROC AUC	LogisticRegression	0.51673	0.04387
IC	Klek	ROC AUC	RandomForestClassifier	0.54855	0.0307
IC	Klek	ROC AUC	XGBClassifier	0.54915	0.03009
IC	Klek	Recall	LogisticRegression	0.60825	0.07607
IC	Klek	Recall	RandomForestClassifier	0.74758	0.11592
IC	Klek	Recall	XGBClassifier	0.7019	0.0795
IC	Klek	Specificity	LogisticRegression	0.41672	0.08103
IC	Klek	Specificity	RandomForestClassifier	0.29598	0.12971
IC	Klek	Specificity	XGBClassifier	0.34857	0.08587
IC	MACCS	Accuracy	LogisticRegression	0.53129	0.02245
IC	MACCS	Accuracy	RandomForestClassifier	0.54832	0.03033
IC	MACCS	Accuracy	XGBClassifier	0.54423	0.0207
IC	MACCS	Balanced Accuracy	LogisticRegression	0.50289	0.01796
IC	MACCS	Balanced Accuracy	RandomForestClassifier	0.52452	0.02525
IC	MACCS	Balanced Accuracy	XGBClassifier	0.51628	0.01636
IC	MACCS	Brier	LogisticRegression	0.28376	0.01125
IC	MACCS	Brier	RandomForestClassifier	0.25246	0.0082
IC	MACCS	Brier	XGBClassifier	0.27243	0.0122
IC	MACCS	ECE	LogisticRegression	0.16995	0.02346
IC	MACCS	ECE	RandomForestClassifier	0.08752	0.02196
IC	MACCS	ECE	XGBClassifier	0.15079	0.02667
IC	MACCS	F1 Score	LogisticRegression	0.62814	0.03513
IC	MACCS	F1 Score	RandomForestClassifier	0.6288	0.05161
IC	MACCS	F1 Score	XGBClassifier	0.63626	0.03368
IC	MACCS	GeomRS	LogisticRegression	0.45911	0.03334
IC	MACCS	GeomRS	RandomForestClassifier	0.49103	0.04124
IC	MACCS	GeomRS	XGBClassifier	0.47887	0.02766
IC	MACCS	HarmRS	LogisticRegression	0.42074	0.05319
IC	MACCS	HarmRS	RandomForestClassifier	0.46135	0.06288
IC	MACCS	HarmRS	XGBClassifier	0.44509	0.04376
IC	MACCS	MCC	LogisticRegression	0.00656	0.0379
IC	MACCS	MCC	RandomForestClassifier	0.05229	0.05206
IC	MACCS	MCC	XGBClassifier	0.03528	0.03535
IC	MACCS	PRC AUC	LogisticRegression	0.59062	0.03442
IC	MACCS	PRC AUC	RandomForestClassifier	0.61918	0.03725
IC	MACCS	PRC AUC	XGBClassifier	0.61589	0.03295
IC	MACCS	Precision	LogisticRegression	0.57494	0.02675
IC	MACCS	Precision	RandomForestClassifier	0.59193	0.03187
IC	MACCS	Precision	XGBClassifier	0.58475	0.0275
IC	MACCS	ROC AUC	LogisticRegression	0.5142	0.0278
IC	MACCS	ROC AUC	RandomForestClassifier	0.54475	0.03593
IC	MACCS	ROC AUC	XGBClassifier	0.53864	0.0256
IC	MACCS	Recall	LogisticRegression	0.69617	0.06872
IC	MACCS	Recall	RandomForestClassifier	0.67826	0.0986
IC	MACCS	Recall	XGBClassifier	0.70001	0.05795
IC	MACCS	Specificity	LogisticRegression	0.30961	0.06378
IC	MACCS	Specificity	RandomForestClassifier	0.37077	0.10309
IC	MACCS	Specificity	XGBClassifier	0.33256	0.05742
IC	Morgan	Accuracy	LogisticRegression	0.52378	0.02848
IC	Morgan	Accuracy	RandomForestClassifier	0.55087	0.0287
IC	Morgan	Accuracy	XGBClassifier	0.54327	0.02873
IC	Morgan	Balanced Accuracy	LogisticRegression	0.51382	0.02425
IC	Morgan	Balanced Accuracy	RandomForestClassifier	0.51323	0.02067
IC	Morgan	Balanced Accuracy	XGBClassifier	0.51777	0.02141
IC	Morgan	Brier	LogisticRegression	0.31863	0.02471
IC	Morgan	Brier	RandomForestClassifier	0.25251	0.00629
IC	Morgan	Brier	XGBClassifier	0.27214	0.0128
IC	Morgan	ECE	LogisticRegression	0.23284	0.04355
IC	Morgan	ECE	RandomForestClassifier	0.08841	0.02526
IC	Morgan	ECE	XGBClassifier	0.15104	0.02521
IC	Morgan	F1 Score	LogisticRegression	0.58326	0.0418
IC	Morgan	F1 Score	RandomForestClassifier	0.66187	0.04395
IC	Morgan	F1 Score	XGBClassifier	0.63322	0.03981
IC	Morgan	GeomRS	LogisticRegression	0.50489	0.02574
IC	Morgan	GeomRS	RandomForestClassifier	0.42345	0.06134
IC	Morgan	GeomRS	XGBClassifier	0.48264	0.02555
IC	Morgan	HarmRS	LogisticRegression	0.49635	0.03071
IC	Morgan	HarmRS	RandomForestClassifier	0.35601	0.09749
IC	Morgan	HarmRS	XGBClassifier	0.4508	0.03995
IC	Morgan	MCC	LogisticRegression	0.02802	0.04858
IC	Morgan	MCC	RandomForestClassifier	0.03426	0.04793
IC	Morgan	MCC	XGBClassifier	0.0392	0.04714
IC	Morgan	PRC AUC	LogisticRegression	0.59035	0.03728
IC	Morgan	PRC AUC	RandomForestClassifier	0.61661	0.03429
IC	Morgan	PRC AUC	XGBClassifier	0.61973	0.04004
IC	Morgan	Precision	LogisticRegression	0.58429	0.03461
IC	Morgan	Precision	RandomForestClassifier	0.58151	0.03047
IC	Morgan	Precision	XGBClassifier	0.58539	0.03183
IC	Morgan	ROC AUC	LogisticRegression	0.51906	0.03055
IC	Morgan	ROC AUC	RandomForestClassifier	0.54171	0.03164
IC	Morgan	ROC AUC	XGBClassifier	0.54345	0.03451
IC	Morgan	Recall	LogisticRegression	0.58682	0.07042
IC	Morgan	Recall	RandomForestClassifier	0.77855	0.107
IC	Morgan	Recall	XGBClassifier	0.69402	0.07365
IC	Morgan	Specificity	LogisticRegression	0.44082	0.06139
IC	Morgan	Specificity	RandomForestClassifier	0.2479	0.10367
IC	Morgan	Specificity	XGBClassifier	0.34151	0.05868
IC	RDKit	Accuracy	LogisticRegression	0.5485	0.02937
IC	RDKit	Accuracy	RandomForestClassifier	0.55763	0.02287
IC	RDKit	Accuracy	XGBClassifier	0.55481	0.02239
IC	RDKit	Balanced Accuracy	LogisticRegression	0.52641	0.02623
IC	RDKit	Balanced Accuracy	RandomForestClassifier	0.52833	0.01815
IC	RDKit	Balanced Accuracy	XGBClassifier	0.52802	0.02046
IC	RDKit	Brier	LogisticRegression	0.28514	0.01694
IC	RDKit	Brier	RandomForestClassifier	0.24813	0.00507
IC	RDKit	Brier	XGBClassifier	0.26782	0.01165
IC	RDKit	ECE	LogisticRegression	0.17112	0.02982
IC	RDKit	ECE	RandomForestClassifier	0.06903	0.01891
IC	RDKit	ECE	XGBClassifier	0.13875	0.02763
IC	RDKit	F1 Score	LogisticRegression	0.63188	0.03858
IC	RDKit	F1 Score	RandomForestClassifier	0.64709	0.05029
IC	RDKit	F1 Score	XGBClassifier	0.64596	0.03229
IC	RDKit	GeomRS	LogisticRegression	0.49789	0.03453
IC	RDKit	GeomRS	RandomForestClassifier	0.47267	0.05974
IC	RDKit	GeomRS	XGBClassifier	0.48863	0.03665
IC	RDKit	HarmRS	LogisticRegression	0.47183	0.04912
IC	RDKit	HarmRS	RandomForestClassifier	0.42771	0.09532
IC	RDKit	HarmRS	XGBClassifier	0.45367	0.05646
IC	RDKit	MCC	LogisticRegression	0.05609	0.05502
IC	RDKit	MCC	RandomForestClassifier	0.06278	0.03648
IC	RDKit	MCC	XGBClassifier	0.06077	0.04416
IC	RDKit	PRC AUC	LogisticRegression	0.60332	0.03946
IC	RDKit	PRC AUC	RandomForestClassifier	0.62403	0.03096
IC	RDKit	PRC AUC	XGBClassifier	0.62935	0.03222
IC	RDKit	Precision	LogisticRegression	0.59262	0.03377
IC	RDKit	Precision	RandomForestClassifier	0.59486	0.03139
IC	RDKit	Precision	XGBClassifier	0.59311	0.02802
IC	RDKit	ROC AUC	LogisticRegression	0.53671	0.03385
IC	RDKit	ROC AUC	RandomForestClassifier	0.55323	0.02242
IC	RDKit	ROC AUC	XGBClassifier	0.55605	0.02842
IC	RDKit	Recall	LogisticRegression	0.68194	0.0744
IC	RDKit	Recall	RandomForestClassifier	0.72221	0.11626
IC	RDKit	Recall	XGBClassifier	0.71408	0.07028
IC	RDKit	Specificity	LogisticRegression	0.37088	0.07156
IC	RDKit	Specificity	RandomForestClassifier	0.33445	0.13321
IC	RDKit	Specificity	XGBClassifier	0.34197	0.07175
PRR	CDDD	Accuracy	LogisticRegression	0.50884	0.02976
PRR	CDDD	Accuracy	RandomForestClassifier	0.54048	0.02462
PRR	CDDD	Accuracy	XGBClassifier	0.53472	0.01982
PRR	CDDD	Balanced Accuracy	LogisticRegression	0.51377	0.02523
PRR	CDDD	Balanced Accuracy	RandomForestClassifier	0.52874	0.0234
PRR	CDDD	Balanced Accuracy	XGBClassifier	0.53273	0.01982
PRR	CDDD	Brier	LogisticRegression	0.30649	0.03061
PRR	CDDD	Brier	RandomForestClassifier	0.24708	0.00374
PRR	CDDD	Brier	XGBClassifier	0.26211	0.00781
PRR	CDDD	ECE	LogisticRegression	0.20573	0.05796
PRR	CDDD	ECE	RandomForestClassifier	0.06659	0.02618
PRR	CDDD	ECE	XGBClassifier	0.1186	0.02176
PRR	CDDD	F1 Score	LogisticRegression	0.52037	0.05763
PRR	CDDD	F1 Score	RandomForestClassifier	0.59196	0.05865
PRR	CDDD	F1 Score	XGBClassifier	0.56969	0.03624
PRR	CDDD	GeomRS	LogisticRegression	0.50741	0.02928
PRR	CDDD	GeomRS	RandomForestClassifier	0.51352	0.03294
PRR	CDDD	GeomRS	XGBClassifier	0.52955	0.02128
PRR	CDDD	HarmRS	LogisticRegression	0.50129	0.03486
PRR	CDDD	HarmRS	RandomForestClassifier	0.49946	0.04606
PRR	CDDD	HarmRS	XGBClassifier	0.52642	0.02334
PRR	CDDD	MCC	LogisticRegression	0.02726	0.05044
PRR	CDDD	MCC	RandomForestClassifier	0.0585	0.04693
PRR	CDDD	MCC	XGBClassifier	0.06509	0.0395
PRR	CDDD	PRC AUC	LogisticRegression	0.59421	0.03862
PRR	CDDD	PRC AUC	RandomForestClassifier	0.61969	0.037
PRR	CDDD	PRC AUC	XGBClassifier	0.62711	0.03357
PRR	CDDD	Precision	LogisticRegression	0.58675	0.03807
PRR	CDDD	Precision	RandomForestClassifier	0.59964	0.03389
PRR	CDDD	Precision	XGBClassifier	0.605	0.02926
PRR	CDDD	ROC AUC	LogisticRegression	0.51823	0.03028
PRR	CDDD	ROC AUC	RandomForestClassifier	0.54556	0.03078
PRR	CDDD	ROC AUC	XGBClassifier	0.55273	0.02533
PRR	CDDD	Recall	LogisticRegression	0.47137	0.07735
PRR	CDDD	Recall	RandomForestClassifier	0.59354	0.10334
PRR	CDDD	Recall	XGBClassifier	0.54135	0.05677
PRR	CDDD	Specificity	LogisticRegression	0.55617	0.0667
PRR	CDDD	Specificity	RandomForestClassifier	0.46394	0.11487
PRR	CDDD	Specificity	XGBClassifier	0.5241	0.06483
PRR	ChemBERTa	Accuracy	LogisticRegression	0.50718	0.02612
PRR	ChemBERTa	Accuracy	RandomForestClassifier	0.52975	0.03202
PRR	ChemBERTa	Accuracy	XGBClassifier	0.52521	0.02343
PRR	ChemBERTa	Balanced Accuracy	LogisticRegression	0.51193	0.02413
PRR	ChemBERTa	Balanced Accuracy	RandomForestClassifier	0.51722	0.03036
PRR	ChemBERTa	Balanced Accuracy	XGBClassifier	0.52345	0.02407
PRR	ChemBERTa	Brier	LogisticRegression	0.30341	0.03348
PRR	ChemBERTa	Brier	RandomForestClassifier	0.25057	0.00565
PRR	ChemBERTa	Brier	XGBClassifier	0.26355	0.0095
PRR	ChemBERTa	ECE	LogisticRegression	0.19749	0.05973
PRR	ChemBERTa	ECE	RandomForestClassifier	0.07872	0.02161
PRR	ChemBERTa	ECE	XGBClassifier	0.12057	0.02595
PRR	ChemBERTa	F1 Score	LogisticRegression	0.5203	0.05008
PRR	ChemBERTa	F1 Score	RandomForestClassifier	0.58181	0.05842
PRR	ChemBERTa	F1 Score	XGBClassifier	0.55719	0.03843
PRR	ChemBERTa	GeomRS	LogisticRegression	0.50634	0.02788
PRR	ChemBERTa	GeomRS	RandomForestClassifier	0.50427	0.03836
PRR	ChemBERTa	GeomRS	XGBClassifier	0.5198	0.02421
PRR	ChemBERTa	HarmRS	LogisticRegression	0.50103	0.03349
PRR	ChemBERTa	HarmRS	RandomForestClassifier	0.49225	0.04965
PRR	ChemBERTa	HarmRS	XGBClassifier	0.51619	0.02495
PRR	ChemBERTa	MCC	LogisticRegression	0.02377	0.04853
PRR	ChemBERTa	MCC	RandomForestClassifier	0.03462	0.06103
PRR	ChemBERTa	MCC	XGBClassifier	0.04683	0.04808
PRR	ChemBERTa	PRC AUC	LogisticRegression	0.58747	0.03061
PRR	ChemBERTa	PRC AUC	RandomForestClassifier	0.59531	0.04201
PRR	ChemBERTa	PRC AUC	XGBClassifier	0.60741	0.03673
PRR	ChemBERTa	Precision	LogisticRegression	0.58569	0.03104
PRR	ChemBERTa	Precision	RandomForestClassifier	0.58927	0.03623
PRR	ChemBERTa	Precision	XGBClassifier	0.59718	0.02995
PRR	ChemBERTa	ROC AUC	LogisticRegression	0.51443	0.03166
PRR	ChemBERTa	ROC AUC	RandomForestClassifier	0.52476	0.03847
PRR	ChemBERTa	ROC AUC	XGBClassifier	0.53598	0.03016
PRR	ChemBERTa	Recall	LogisticRegression	0.47156	0.06721
PRR	ChemBERTa	Recall	RandomForestClassifier	0.58011	0.09263
PRR	ChemBERTa	Recall	XGBClassifier	0.52515	0.05822
PRR	ChemBERTa	Specificity	LogisticRegression	0.55229	0.06748
PRR	ChemBERTa	Specificity	RandomForestClassifier	0.45434	0.10553
PRR	ChemBERTa	Specificity	XGBClassifier	0.52176	0.07452
PRR	Klek	Accuracy	LogisticRegression	0.51927	0.02431
PRR	Klek	Accuracy	RandomForestClassifier	0.50949	0.03403
PRR	Klek	Accuracy	XGBClassifier	0.52281	0.02699
PRR	Klek	Balanced Accuracy	LogisticRegression	0.52838	0.02157
PRR	Klek	Balanced Accuracy	RandomForestClassifier	0.52031	0.03035
PRR	Klek	Balanced Accuracy	XGBClassifier	0.5301	0.02239
PRR	Klek	Brier	LogisticRegression	0.2763	0.02626
PRR	Klek	Brier	RandomForestClassifier	0.2602	0.01155
PRR	Klek	Brier	XGBClassifier	0.26496	0.012
PRR	Klek	ECE	LogisticRegression	0.14855	0.05503
PRR	Klek	ECE	RandomForestClassifier	0.11283	0.04063
PRR	Klek	ECE	XGBClassifier	0.12542	0.03359
PRR	Klek	F1 Score	LogisticRegression	0.52496	0.04548
PRR	Klek	F1 Score	RandomForestClassifier	0.50683	0.06886
PRR	Klek	F1 Score	XGBClassifier	0.53351	0.05455
PRR	Klek	GeomRS	LogisticRegression	0.52119	0.0242
PRR	Klek	GeomRS	RandomForestClassifier	0.50745	0.03739
PRR	Klek	GeomRS	XGBClassifier	0.52251	0.02727
PRR	Klek	HarmRS	LogisticRegression	0.51426	0.02909
PRR	Klek	HarmRS	RandomForestClassifier	0.49533	0.04682
PRR	Klek	HarmRS	XGBClassifier	0.51522	0.034
PRR	Klek	MCC	LogisticRegression	0.0568	0.04303
PRR	Klek	MCC	RandomForestClassifier	0.04061	0.0615
PRR	Klek	MCC	XGBClassifier	0.06012	0.04448
PRR	Klek	PRC AUC	LogisticRegression	0.61037	0.03914
PRR	Klek	PRC AUC	RandomForestClassifier	0.6092	0.04321
PRR	Klek	PRC AUC	XGBClassifier	0.61715	0.04044
PRR	Klek	Precision	LogisticRegression	0.60467	0.03601
PRR	Klek	Precision	RandomForestClassifier	0.59563	0.04816
PRR	Klek	Precision	XGBClassifier	0.60532	0.03652
PRR	Klek	ROC AUC	LogisticRegression	0.53907	0.03164
PRR	Klek	ROC AUC	RandomForestClassifier	0.53668	0.03464
PRR	Klek	ROC AUC	XGBClassifier	0.54541	0.03037
PRR	Klek	Recall	LogisticRegression	0.46852	0.06621
PRR	Klek	Recall	RandomForestClassifier	0.44961	0.09549
PRR	Klek	Recall	XGBClassifier	0.48354	0.08067
PRR	Klek	Specificity	LogisticRegression	0.58824	0.06638
PRR	Klek	Specificity	RandomForestClassifier	0.59101	0.09263
PRR	Klek	Specificity	XGBClassifier	0.57667	0.07695
PRR	MACCS	Accuracy	LogisticRegression	0.51353	0.02676
PRR	MACCS	Accuracy	RandomForestClassifier	0.52668	0.03284
PRR	MACCS	Accuracy	XGBClassifier	0.52805	0.02215
PRR	MACCS	Balanced Accuracy	LogisticRegression	0.5227	0.02127
PRR	MACCS	Balanced Accuracy	RandomForestClassifier	0.52381	0.03131
PRR	MACCS	Balanced Accuracy	XGBClassifier	0.53256	0.02056
PRR	MACCS	Brier	LogisticRegression	0.26888	0.02234
PRR	MACCS	Brier	RandomForestClassifier	0.25314	0.00703
PRR	MACCS	Brier	XGBClassifier	0.26028	0.01321
PRR	MACCS	ECE	LogisticRegression	0.12612	0.0559
PRR	MACCS	ECE	RandomForestClassifier	0.08803	0.02644
PRR	MACCS	ECE	XGBClassifier	0.10974	0.04187
PRR	MACCS	F1 Score	LogisticRegression	0.51415	0.05261
PRR	MACCS	F1 Score	RandomForestClassifier	0.56227	0.05381
PRR	MACCS	F1 Score	XGBClassifier	0.54212	0.0475
PRR	MACCS	GeomRS	LogisticRegression	0.51427	0.02564
PRR	MACCS	GeomRS	RandomForestClassifier	0.51778	0.03338
PRR	MACCS	GeomRS	XGBClassifier	0.52671	0.02206
PRR	MACCS	HarmRS	LogisticRegression	0.50616	0.03214
PRR	MACCS	HarmRS	RandomForestClassifier	0.51191	0.03648
PRR	MACCS	HarmRS	XGBClassifier	0.52108	0.02652
PRR	MACCS	MCC	LogisticRegression	0.04549	0.0427
PRR	MACCS	MCC	RandomForestClassifier	0.04755	0.06256
PRR	MACCS	MCC	XGBClassifier	0.06523	0.04124
PRR	MACCS	PRC AUC	LogisticRegression	0.60046	0.03322
PRR	MACCS	PRC AUC	RandomForestClassifier	0.61024	0.03842
PRR	MACCS	PRC AUC	XGBClassifier	0.61935	0.03284
PRR	MACCS	Precision	LogisticRegression	0.59813	0.03112
PRR	MACCS	Precision	RandomForestClassifier	0.59625	0.03982
PRR	MACCS	Precision	XGBClassifier	0.60849	0.03104
PRR	MACCS	ROC AUC	LogisticRegression	0.53169	0.02815
PRR	MACCS	ROC AUC	RandomForestClassifier	0.53588	0.04096
PRR	MACCS	ROC AUC	XGBClassifier	0.54786	0.0284
PRR	MACCS	Recall	LogisticRegression	0.45494	0.0721
PRR	MACCS	Recall	RandomForestClassifier	0.53746	0.08106
PRR	MACCS	Recall	XGBClassifier	0.49316	0.06882
PRR	MACCS	Specificity	LogisticRegression	0.59047	0.0616
PRR	MACCS	Specificity	RandomForestClassifier	0.51016	0.08711
PRR	MACCS	Specificity	XGBClassifier	0.57196	0.07405
PRR	Morgan	Accuracy	LogisticRegression	0.50994	0.02993
PRR	Morgan	Accuracy	RandomForestClassifier	0.50733	0.03201
PRR	Morgan	Accuracy	XGBClassifier	0.51975	0.02898
PRR	Morgan	Balanced Accuracy	LogisticRegression	0.51739	0.02463
PRR	Morgan	Balanced Accuracy	RandomForestClassifier	0.52073	0.02336
PRR	Morgan	Balanced Accuracy	XGBClassifier	0.52464	0.02133
PRR	Morgan	Brier	LogisticRegression	0.30223	0.03911
PRR	Morgan	Brier	RandomForestClassifier	0.26138	0.01237
PRR	Morgan	Brier	XGBClassifier	0.27056	0.01639
PRR	Morgan	ECE	LogisticRegression	0.19533	0.08094
PRR	Morgan	ECE	RandomForestClassifier	0.11338	0.04545
PRR	Morgan	ECE	XGBClassifier	0.13495	0.04343
PRR	Morgan	F1 Score	LogisticRegression	0.52394	0.04891
PRR	Morgan	F1 Score	RandomForestClassifier	0.48753	0.08179
PRR	Morgan	F1 Score	XGBClassifier	0.53665	0.05415
PRR	Morgan	GeomRS	LogisticRegression	0.51175	0.02838
PRR	Morgan	GeomRS	RandomForestClassifier	0.50111	0.03978
PRR	Morgan	GeomRS	XGBClassifier	0.51887	0.02435
PRR	Morgan	HarmRS	LogisticRegression	0.50628	0.03311
PRR	Morgan	HarmRS	RandomForestClassifier	0.4835	0.05881
PRR	Morgan	HarmRS	XGBClassifier	0.51327	0.02901
PRR	Morgan	MCC	LogisticRegression	0.03456	0.04918
PRR	Morgan	MCC	RandomForestClassifier	0.042	0.04731
PRR	Morgan	MCC	XGBClassifier	0.04927	0.04287
PRR	Morgan	PRC AUC	LogisticRegression	0.59686	0.03424
PRR	Morgan	PRC AUC	RandomForestClassifier	0.60247	0.0422
PRR	Morgan	PRC AUC	XGBClassifier	0.61158	0.03662
PRR	Morgan	Precision	LogisticRegression	0.59061	0.03383
PRR	Morgan	Precision	RandomForestClassifier	0.59709	0.03198
PRR	Morgan	Precision	XGBClassifier	0.59767	0.02923
PRR	Morgan	ROC AUC	LogisticRegression	0.52259	0.03041
