PT	Descriptors	Metric	Model	Mean	STD
Card	Klek	Balanced Accuracy	RandomForestClassifier	0.52965	0.03564
Card	Klek	Balanced Accuracy	XGBClassifier	0.54065	0.02342
Card	Klek	Brier	LogisticRegression	0.29583	0.03416
Card	Klek	Brier	RandomForestClassifier	0.25369	0.01739
Card	Klek	Brier	XGBClassifier	0.26276	0.01686
Card	Klek	ECE	LogisticRegression	0.20102	0.05407
Card	Klek	ECE	RandomForestClassifier	0.12132	0.04734
Card	Klek	ECE	XGBClassifier	0.14547	0.03553
Card	Klek	F1 Score	LogisticRegression	0.5707	0.06797
Card	Klek	F1 Score	RandomForestClassifier	0.56041	0.12444
Card	Klek	F1 Score	XGBClassifier	0.57128	0.10202
Card	Klek	GeomRS	LogisticRegression	0.51882	0.04179
Card	Klek	GeomRS	RandomForestClassifier	0.49238	0.06156
Card	Klek	GeomRS	XGBClassifier	0.51664	0.03894
Card	Klek	HarmRS	LogisticRegression	0.50868	0.04843
Card	Klek	HarmRS	RandomForestClassifier	0.46186	0.09162
Card	Klek	HarmRS	XGBClassifier	0.49498	0.05862
Card	Klek	MCC	LogisticRegression	0.05836	0.07382
Card	Klek	MCC	RandomForestClassifier	0.06369	0.07301
Card	Klek	MCC	XGBClassifier	0.0835	0.0466
Card	Klek	PRC AUC	LogisticRegression	0.63915	0.05899
Card	Klek	PRC AUC	RandomForestClassifier	0.65469	0.05901
Card	Klek	PRC AUC	XGBClassifier	0.66806	0.0518
Card	Klek	Precision	LogisticRegression	0.62839	0.05692
Card	Klek	Precision	RandomForestClassifier	0.62743	0.05527
Card	Klek	Precision	XGBClassifier	0.63984	0.04873
Card	Klek	ROC AUC	LogisticRegression	0.53874	0.05396
Card	Klek	ROC AUC	RandomForestClassifier	0.56215	0.04337
Card	Klek	ROC AUC	XGBClassifier	0.57114	0.03466
Card	Klek	Recall	LogisticRegression	0.5337	0.10349
Card	Klek	Recall	RandomForestClassifier	0.53635	0.19927
Card	Klek	Recall	XGBClassifier	0.53851	0.1622
Card	Klek	Specificity	LogisticRegression	0.52517	0.11829
Card	Klek	Specificity	RandomForestClassifier	0.52294	0.1887
Card	Klek	Specificity	XGBClassifier	0.5428	0.15743
Card	MACCS	Accuracy	LogisticRegression	0.52464	0.04798
Card	MACCS	Accuracy	RandomForestClassifier	0.54986	0.04984
Card	MACCS	Accuracy	XGBClassifier	0.5458	0.04085
Card	MACCS	Balanced Accuracy	LogisticRegression	0.52325	0.03034
Card	MACCS	Balanced Accuracy	RandomForestClassifier	0.53498	0.03719
Card	MACCS	Balanced Accuracy	XGBClassifier	0.53776	0.0282
Card	MACCS	Brier	LogisticRegression	0.27782	0.02743
Card	MACCS	Brier	RandomForestClassifier	0.24773	0.01209
Card	MACCS	Brier	XGBClassifier	0.26134	0.01624
Card	MACCS	ECE	LogisticRegression	0.17061	0.04878
Card	MACCS	ECE	RandomForestClassifier	0.09784	0.0339
Card	MACCS	ECE	XGBClassifier	0.13979	0.03173
Card	MACCS	F1 Score	LogisticRegression	0.53951	0.12168
Card	MACCS	F1 Score	RandomForestClassifier	0.60471	0.08045
Card	MACCS	F1 Score	XGBClassifier	0.58139	0.09258
Card	MACCS	GeomRS	LogisticRegression	0.48932	0.05109
Card	MACCS	GeomRS	RandomForestClassifier	0.51956	0.04394
Card	MACCS	GeomRS	XGBClassifier	0.51682	0.04005
Card	MACCS	HarmRS	LogisticRegression	0.4599	0.07523
Card	MACCS	HarmRS	RandomForestClassifier	0.50545	0.05644
Card	MACCS	HarmRS	XGBClassifier	0.49766	0.05596
Card	MACCS	MCC	LogisticRegression	0.04812	0.0612
Card	MACCS	MCC	RandomForestClassifier	0.07111	0.07411
Card	MACCS	MCC	XGBClassifier	0.07693	0.0564
Card	MACCS	PRC AUC	LogisticRegression	0.63292	0.0576
Card	MACCS	PRC AUC	RandomForestClassifier	0.65675	0.05459
Card	MACCS	PRC AUC	XGBClassifier	0.66396	0.05537
Card	MACCS	Precision	LogisticRegression	0.62485	0.0486
Card	MACCS	Precision	RandomForestClassifier	0.6282	0.05067
Card	MACCS	Precision	XGBClassifier	0.63619	0.05016
Card	MACCS	ROC AUC	LogisticRegression	0.53876	0.04202
Card	MACCS	ROC AUC	RandomForestClassifier	0.5581	0.05114
Card	MACCS	ROC AUC	XGBClassifier	0.56447	0.03772
Card	MACCS	Recall	LogisticRegression	0.50189	0.18316
Card	MACCS	Recall	RandomForestClassifier	0.59253	0.12308
Card	MACCS	Recall	XGBClassifier	0.55146	0.14736
Card	MACCS	Specificity	LogisticRegression	0.54461	0.18506
Card	MACCS	Specificity	RandomForestClassifier	0.47742	0.11406
Card	MACCS	Specificity	XGBClassifier	0.52407	0.15184
Card	Morgan	Accuracy	LogisticRegression	0.52493	0.0387
Card	Morgan	Accuracy	RandomForestClassifier	0.53287	0.0592
Card	Morgan	Accuracy	XGBClassifier	0.5434	0.04157
Card	Morgan	Balanced Accuracy	LogisticRegression	0.52478	0.02939
Card	Morgan	Balanced Accuracy	RandomForestClassifier	0.5265	0.03141
Card	Morgan	Balanced Accuracy	XGBClassifier	0.53562	0.022
Card	Morgan	Brier	LogisticRegression	0.30741	0.02788
Card	Morgan	Brier	RandomForestClassifier	0.25377	0.01785
Card	Morgan	Brier	XGBClassifier	0.26484	0.02101
Card	Morgan	ECE	LogisticRegression	0.22518	0.04771
Card	Morgan	ECE	RandomForestClassifier	0.11901	0.05083
Card	Morgan	ECE	XGBClassifier	0.14626	0.04243
Card	Morgan	F1 Score	LogisticRegression	0.56704	0.06707
Card	Morgan	F1 Score	RandomForestClassifier	0.54676	0.14213
Card	Morgan	F1 Score	XGBClassifier	0.58526	0.08785
Card	Morgan	GeomRS	LogisticRegression	0.51649	0.03349
Card	Morgan	GeomRS	RandomForestClassifier	0.47068	0.06848
Card	Morgan	GeomRS	XGBClassifier	0.51706	0.03018
Card	Morgan	HarmRS	LogisticRegression	0.50855	0.03971
Card	Morgan	HarmRS	RandomForestClassifier	0.4265	0.10365
Card	Morgan	HarmRS	XGBClassifier	0.49998	0.04536
Card	Morgan	MCC	LogisticRegression	0.04898	0.05787
Card	Morgan	MCC	RandomForestClassifier	0.05877	0.06542
Card	Morgan	MCC	XGBClassifier	0.07308	0.04567
Card	Morgan	PRC AUC	LogisticRegression	0.62989	0.05276
Card	Morgan	PRC AUC	RandomForestClassifier	0.64978	0.06387
Card	Morgan	PRC AUC	XGBClassifier	0.65952	0.05859
Card	Morgan	Precision	LogisticRegression	0.62158	0.05161
Card	Morgan	Precision	RandomForestClassifier	0.62808	0.0471
Card	Morgan	Precision	XGBClassifier	0.6319	0.04607
Card	Morgan	ROC AUC	LogisticRegression	0.53504	0.03521
Card	Morgan	ROC AUC	RandomForestClassifier	0.55513	0.04338
Card	Morgan	ROC AUC	XGBClassifier	0.56314	0.03753
Card	Morgan	Recall	LogisticRegression	0.5313	0.09967
Card	Morgan	Recall	RandomForestClassifier	0.52632	0.23307
Card	Morgan	Recall	XGBClassifier	0.56135	0.14285
Card	Morgan	Specificity	LogisticRegression	0.51827	0.09418
Card	Morgan	Specificity	RandomForestClassifier	0.52668	0.23259
Card	Morgan	Specificity	XGBClassifier	0.50989	0.13534
Card	RDKit	Accuracy	LogisticRegression	0.5379	0.05019
Card	RDKit	Accuracy	RandomForestClassifier	0.55568	0.04299
Card	RDKit	Accuracy	XGBClassifier	0.56359	0.0369
Card	RDKit	Balanced Accuracy	LogisticRegression	0.53781	0.03152
Card	RDKit	Balanced Accuracy	RandomForestClassifier	0.53732	0.02365
Card	RDKit	Balanced Accuracy	XGBClassifier	0.55199	0.02769
Card	RDKit	Brier	LogisticRegression	0.28304	0.02791
Card	RDKit	Brier	RandomForestClassifier	0.2458	0.01082
Card	RDKit	Brier	XGBClassifier	0.2545	0.01394
Card	RDKit	ECE	LogisticRegression	0.18074	0.05095
Card	RDKit	ECE	RandomForestClassifier	0.0892	0.04148
Card	RDKit	ECE	XGBClassifier	0.12216	0.0354
Card	RDKit	F1 Score	LogisticRegression	0.55923	0.10641
Card	RDKit	F1 Score	RandomForestClassifier	0.61469	0.0829
Card	RDKit	F1 Score	XGBClassifier	0.61438	0.07239
Card	RDKit	GeomRS	LogisticRegression	0.5152	0.04187
Card	RDKit	GeomRS	RandomForestClassifier	0.50857	0.04866
Card	RDKit	GeomRS	XGBClassifier	0.53191	0.04473
Card	RDKit	HarmRS	LogisticRegression	0.49446	0.05679
Card	RDKit	HarmRS	RandomForestClassifier	0.48452	0.07732
Card	RDKit	HarmRS	XGBClassifier	0.51409	0.06437
Card	RDKit	MCC	LogisticRegression	0.07746	0.06362
Card	RDKit	MCC	RandomForestClassifier	0.07884	0.04866
Card	RDKit	MCC	XGBClassifier	0.10607	0.05591
Card	RDKit	PRC AUC	LogisticRegression	0.64065	0.057
Card	RDKit	PRC AUC	RandomForestClassifier	0.65402	0.0502
Card	RDKit	PRC AUC	XGBClassifier	0.67591	0.04935
Card	RDKit	Precision	LogisticRegression	0.63672	0.04817
Card	RDKit	Precision	RandomForestClassifier	0.63126	0.04374
Card	RDKit	Precision	XGBClassifier	0.64698	0.04573
Card	RDKit	ROC AUC	LogisticRegression	0.55371	0.04447
Card	RDKit	ROC AUC	RandomForestClassifier	0.56346	0.03579
Card	RDKit	ROC AUC	XGBClassifier	0.58273	0.03562
Card	RDKit	Recall	LogisticRegression	0.51841	0.1621
Card	RDKit	Recall	RandomForestClassifier	0.61757	0.15145
Card	RDKit	Recall	XGBClassifier	0.60051	0.13301
Card	RDKit	Specificity	LogisticRegression	0.55721	0.14869
Card	RDKit	Specificity	RandomForestClassifier	0.45707	0.15133
Card	RDKit	Specificity	XGBClassifier	0.50346	0.14514
Cred	CDDD	Accuracy	LogisticRegression	0.51704	0.04027
Cred	CDDD	Accuracy	RandomForestClassifier	0.56803	0.0335
Cred	CDDD	Accuracy	XGBClassifier	0.56106	0.02979
Cred	CDDD	Balanced Accuracy	LogisticRegression	0.52423	0.02847
Cred	CDDD	Balanced Accuracy	RandomForestClassifier	0.54373	0.02098
Cred	CDDD	Balanced Accuracy	XGBClassifier	0.5466	0.0215
Cred	CDDD	Brier	LogisticRegression	0.31129	0.03052
Cred	CDDD	Brier	RandomForestClassifier	0.24023	0.00853
Cred	CDDD	Brier	XGBClassifier	0.25231	0.00969
Cred	CDDD	ECE	LogisticRegression	0.22365	0.05063
Cred	CDDD	ECE	RandomForestClassifier	0.07841	0.03618
Cred	CDDD	ECE	XGBClassifier	0.11433	0.02766
Cred	CDDD	F1 Score	LogisticRegression	0.53808	0.07196
Cred	CDDD	F1 Score	RandomForestClassifier	0.63212	0.07132
Cred	CDDD	F1 Score	XGBClassifier	0.61422	0.06681
Cred	CDDD	GeomRS	LogisticRegression	0.51513	0.03131
Cred	CDDD	GeomRS	RandomForestClassifier	0.5143	0.05674
Cred	CDDD	GeomRS	XGBClassifier	0.52929	0.03706
Cred	CDDD	HarmRS	LogisticRegression	0.50634	0.03591
Cred	CDDD	HarmRS	RandomForestClassifier	0.49044	0.08833
Cred	CDDD	HarmRS	XGBClassifier	0.51363	0.05574
Cred	CDDD	MCC	LogisticRegression	0.04814	0.05673
Cred	CDDD	MCC	RandomForestClassifier	0.09126	0.04073
Cred	CDDD	MCC	XGBClassifier	0.09458	0.04311
Cred	CDDD	PRC AUC	LogisticRegression	0.62665	0.0498
Cred	CDDD	PRC AUC	RandomForestClassifier	0.67805	0.04733
Cred	CDDD	PRC AUC	XGBClassifier	0.67746	0.04757
Cred	CDDD	Precision	LogisticRegression	0.62282	0.04672
Cred	CDDD	Precision	RandomForestClassifier	0.63696	0.03766
Cred	CDDD	Precision	XGBClassifier	0.64158	0.03904
Cred	CDDD	ROC AUC	LogisticRegression	0.52905	0.03742
Cred	CDDD	ROC AUC	RandomForestClassifier	0.57945	0.03373
Cred	CDDD	ROC AUC	XGBClassifier	0.58046	0.02657
Cred	CDDD	Recall	LogisticRegression	0.4809	0.10014
Cred	CDDD	Recall	RandomForestClassifier	0.64073	0.13264
Cred	CDDD	Recall	XGBClassifier	0.60016	0.11853
Cred	CDDD	Specificity	LogisticRegression	0.56757	0.08228
Cred	CDDD	Specificity	RandomForestClassifier	0.44673	0.14888
Cred	CDDD	Specificity	XGBClassifier	0.49304	0.13147
Cred	ChemBERTa	Accuracy	LogisticRegression	0.51935	0.03566
Cred	ChemBERTa	Accuracy	RandomForestClassifier	0.55494	0.04068
Cred	ChemBERTa	Accuracy	XGBClassifier	0.55392	0.03374
Cred	ChemBERTa	Balanced Accuracy	LogisticRegression	0.52064	0.03034
Cred	ChemBERTa	Balanced Accuracy	RandomForestClassifier	0.53005	0.02457
Cred	ChemBERTa	Balanced Accuracy	XGBClassifier	0.53959	0.02455
Cred	ChemBERTa	Brier	LogisticRegression	0.3076	0.02713
Cred	ChemBERTa	Brier	RandomForestClassifier	0.24472	0.00923
Cred	ChemBERTa	Brier	XGBClassifier	0.25646	0.01245
Cred	ChemBERTa	ECE	LogisticRegression	0.21777	0.0442
Cred	ChemBERTa	ECE	RandomForestClassifier	0.08461	0.03329
Cred	ChemBERTa	ECE	XGBClassifier	0.12133	0.02751
Cred	ChemBERTa	F1 Score	LogisticRegression	0.54978	0.06464
Cred	ChemBERTa	F1 Score	RandomForestClassifier	0.61931	0.07459
Cred	ChemBERTa	F1 Score	XGBClassifier	0.60636	0.0689
Cred	ChemBERTa	GeomRS	LogisticRegression	0.51158	0.03208
Cred	ChemBERTa	GeomRS	RandomForestClassifier	0.50336	0.05509
Cred	ChemBERTa	GeomRS	XGBClassifier	0.52358	0.03806
Cred	ChemBERTa	HarmRS	LogisticRegression	0.50287	0.03631
Cred	ChemBERTa	HarmRS	RandomForestClassifier	0.48214	0.08539
Cred	ChemBERTa	HarmRS	XGBClassifier	0.5092	0.05608
Cred	ChemBERTa	MCC	LogisticRegression	0.04138	0.06029
Cred	ChemBERTa	MCC	RandomForestClassifier	0.06315	0.04996
Cred	ChemBERTa	MCC	XGBClassifier	0.0802	0.04901
Cred	ChemBERTa	PRC AUC	LogisticRegression	0.6184	0.03969
Cred	ChemBERTa	PRC AUC	RandomForestClassifier	0.64428	0.05336
Cred	ChemBERTa	PRC AUC	XGBClassifier	0.65566	0.05342
Cred	ChemBERTa	Precision	LogisticRegression	0.62067	0.04073
Cred	ChemBERTa	Precision	RandomForestClassifier	0.62473	0.03824
Cred	ChemBERTa	Precision	XGBClassifier	0.63514	0.04207
Cred	ChemBERTa	ROC AUC	LogisticRegression	0.52276	0.03785
Cred	ChemBERTa	ROC AUC	RandomForestClassifier	0.55145	0.03756
Cred	ChemBERTa	ROC AUC	XGBClassifier	0.56229	0.03674
Cred	ChemBERTa	Recall	LogisticRegression	0.50053	0.09669
Cred	ChemBERTa	Recall	RandomForestClassifier	0.62384	0.12823
Cred	ChemBERTa	Recall	XGBClassifier	0.58954	0.11569
Cred	ChemBERTa	Specificity	LogisticRegression	0.54075	0.10287
Cred	ChemBERTa	Specificity	RandomForestClassifier	0.43626	0.13538
Cred	ChemBERTa	Specificity	XGBClassifier	0.48963	0.12585
Cred	Klek	Accuracy	LogisticRegression	0.52764	0.0384
Cred	Klek	Accuracy	RandomForestClassifier	0.53706	0.05592
Cred	Klek	Accuracy	XGBClassifier	0.54653	0.04215
Cred	Klek	Balanced Accuracy	LogisticRegression	0.52913	0.03558
Cred	Klek	Balanced Accuracy	RandomForestClassifier	0.53591	0.03207
Cred	Klek	Balanced Accuracy	XGBClassifier	0.54435	0.02513
Cred	Klek	Brier	LogisticRegression	0.29788	0.03153
Cred	Klek	Brier	RandomForestClassifier	0.25566	0.01776
Cred	Klek	Brier	XGBClassifier	0.26397	0.01727
Cred	Klek	ECE	LogisticRegression	0.20558	0.05086
Cred	Klek	ECE	RandomForestClassifier	0.12509	0.04777
Cred	Klek	ECE	XGBClassifier	0.14571	0.03423
Cred	Klek	F1 Score	LogisticRegression	0.56417	0.06744
Cred	Klek	F1 Score	RandomForestClassifier	0.55035	0.13138
Cred	Klek	F1 Score	XGBClassifier	0.57666	0.09762
Cred	Klek	GeomRS	LogisticRegression	0.51858	0.03942
Cred	Klek	GeomRS	RandomForestClassifier	0.49232	0.0672
Cred	Klek	GeomRS	XGBClassifier	0.52202	0.04296
Cred	Klek	HarmRS	LogisticRegression	0.50848	0.04525
Cred	Klek	HarmRS	RandomForestClassifier	0.45704	0.10077
Cred	Klek	HarmRS	XGBClassifier	0.502	0.06311
Cred	Klek	MCC	LogisticRegression	0.05784	0.07079
Cred	Klek	MCC	RandomForestClassifier	0.07635	0.06394
Cred	Klek	MCC	XGBClassifier	0.09025	0.04957
Cred	Klek	PRC AUC	LogisticRegression	0.63916	0.05674
Cred	Klek	PRC AUC	RandomForestClassifier	0.65415	0.05941
Cred	Klek	PRC AUC	XGBClassifier	0.66678	0.05218
Cred	Klek	Precision	LogisticRegression	0.62832	0.05666
Cred	Klek	Precision	RandomForestClassifier	0.63754	0.05358
Cred	Klek	Precision	XGBClassifier	0.64317	0.05022
Cred	Klek	ROC AUC	LogisticRegression	0.5392	0.05131
Cred	Klek	ROC AUC	RandomForestClassifier	0.56206	0.04277
Cred	Klek	ROC AUC	XGBClassifier	0.57051	0.03486
Cred	Klek	Recall	LogisticRegression	0.52275	0.10491
Cred	Klek	Recall	RandomForestClassifier	0.51898	0.20913
Cred	Klek	Recall	XGBClassifier	0.5431	0.15453
Cred	Klek	Specificity	LogisticRegression	0.5355	0.1161
Cred	Klek	Specificity	RandomForestClassifier	0.55284	0.20604
Cred	Klek	Specificity	XGBClassifier	0.54561	0.15381
Cred	MACCS	Accuracy	LogisticRegression	0.52253	0.0443
Cred	MACCS	Accuracy	RandomForestClassifier	0.55381	0.04295
Cred	MACCS	Accuracy	XGBClassifier	0.54484	0.03964
Cred	MACCS	Balanced Accuracy	LogisticRegression	0.52333	0.02622
Cred	MACCS	Balanced Accuracy	RandomForestClassifier	0.54003	0.03033
Cred	MACCS	Balanced Accuracy	XGBClassifier	0.53834	0.02668
Cred	MACCS	Brier	LogisticRegression	0.28062	0.02457
Cred	MACCS	Brier	RandomForestClassifier	0.24778	0.01044
Cred	MACCS	Brier	XGBClassifier	0.26218	0.01668
Cred	MACCS	ECE	LogisticRegression	0.17226	0.04562
Cred	MACCS	ECE	RandomForestClassifier	0.09797	0.0324
Cred	MACCS	ECE	XGBClassifier	0.14244	0.03193
Cred	MACCS	F1 Score	LogisticRegression	0.53489	0.12042
Cred	MACCS	F1 Score	RandomForestClassifier	0.60788	0.07448
Cred	MACCS	F1 Score	XGBClassifier	0.58175	0.0878
Cred	MACCS	GeomRS	LogisticRegression	0.48933	0.04644
Cred	MACCS	GeomRS	RandomForestClassifier	0.5253	0.03868
Cred	MACCS	GeomRS	XGBClassifier	0.51931	0.03699
Cred	MACCS	HarmRS	LogisticRegression	0.45956	0.06965
Cred	MACCS	HarmRS	RandomForestClassifier	0.51184	0.05265
Cred	MACCS	HarmRS	XGBClassifier	0.50177	0.05197
Cred	MACCS	MCC	LogisticRegression	0.0483	0.053
Cred	MACCS	MCC	RandomForestClassifier	0.08116	0.06063
Cred	MACCS	MCC	XGBClassifier	0.07789	0.05307
Cred	MACCS	PRC AUC	LogisticRegression	0.63119	0.05494
Cred	MACCS	PRC AUC	RandomForestClassifier	0.65704	0.05521
Cred	MACCS	PRC AUC	XGBClassifier	0.66325	0.05562
Cred	MACCS	Precision	LogisticRegression	0.62527	0.04973
Cred	MACCS	Precision	RandomForestClassifier	0.63331	0.04769
Cred	MACCS	Precision	XGBClassifier	0.63653	0.04963
Cred	MACCS	ROC AUC	LogisticRegression	0.53572	0.03731
Cred	MACCS	ROC AUC	RandomForestClassifier	0.56186	0.04417
Cred	MACCS	ROC AUC	XGBClassifier	0.56616	0.03441
Cred	MACCS	Recall	LogisticRegression	0.49489	0.18211
Cred	MACCS	Recall	RandomForestClassifier	0.594	0.11805
Cred	MACCS	Recall	XGBClassifier	0.55134	0.14122
Cred	MACCS	Specificity	LogisticRegression	0.55176	0.18451
Cred	MACCS	Specificity	RandomForestClassifier	0.48607	0.11353
Cred	MACCS	Specificity	XGBClassifier	0.52535	0.14496
Cred	Morgan	Accuracy	LogisticRegression	0.5236	0.0373
Cred	Morgan	Accuracy	RandomForestClassifier	0.52686	0.05789
Cred	Morgan	Accuracy	XGBClassifier	0.54268	0.04454
Cred	Morgan	Balanced Accuracy	LogisticRegression	0.5247	0.03017
Cred	Morgan	Balanced Accuracy	RandomForestClassifier	0.52665	0.03021
Cred	Morgan	Balanced Accuracy	XGBClassifier	0.53764	0.0264
Cred	Morgan	Brier	LogisticRegression	0.31235	0.03001
Cred	Morgan	Brier	RandomForestClassifier	0.25575	0.01878
Cred	Morgan	Brier	XGBClassifier	0.2658	0.02169
Cred	Morgan	ECE	LogisticRegression	0.2328	0.04939
Cred	Morgan	ECE	RandomForestClassifier	0.12426	0.05238
Cred	Morgan	ECE	XGBClassifier	0.14665	0.04111
Cred	Morgan	F1 Score	LogisticRegression	0.56628	0.0615
Cred	Morgan	F1 Score	RandomForestClassifier	0.52849	0.14334
Cred	Morgan	F1 Score	XGBClassifier	0.5799	0.09396
Cred	Morgan	GeomRS	LogisticRegression	0.51729	0.03561
Cred	Morgan	GeomRS	RandomForestClassifier	0.4707	0.06364
Cred	Morgan	GeomRS	XGBClassifier	0.5184	0.0385
Cred	Morgan	HarmRS	LogisticRegression	0.51022	0.04266
Cred	Morgan	HarmRS	RandomForestClassifier	0.42529	0.09615
Cred	Morgan	HarmRS	XGBClassifier	0.50085	0.05461
Cred	Morgan	MCC	LogisticRegression	0.04849	0.05916
Cred	Morgan	MCC	RandomForestClassifier	0.05853	0.06232
Cred	Morgan	MCC	XGBClassifier	0.07653	0.05332
Cred	Morgan	PRC AUC	LogisticRegression	0.62551	0.05005
Cred	Morgan	PRC AUC	RandomForestClassifier	0.64673	0.06538
Cred	Morgan	PRC AUC	XGBClassifier	0.65817	0.05941
Cred	Morgan	Precision	LogisticRegression	0.62151	0.05145
Cred	Morgan	Precision	RandomForestClassifier	0.63056	0.05031
Cred	Morgan	Precision	XGBClassifier	0.6343	0.04829
Cred	Morgan	ROC AUC	LogisticRegression	0.53194	0.03644
