Dataset	Descriptors	Metric	Model	Mean	STD
Mono	ChemBERTa	ROC AUC	RandomForestClassifier	0.53989	0.04697
Mono	ChemBERTa	ROC AUC	XGBClassifier	0.55364	0.04272
Mono	ChemBERTa	Recall	LogisticRegression	0.4945	0.09046
Mono	ChemBERTa	Recall	RandomForestClassifier	0.5889	0.07498
Mono	ChemBERTa	Recall	XGBClassifier	0.58688	0.09796
Mono	ChemBERTa	Specificity	LogisticRegression	0.51948	0.0846
Mono	ChemBERTa	Specificity	RandomForestClassifier	0.46947	0.0872
Mono	ChemBERTa	Specificity	XGBClassifier	0.48612	0.11767
Mono	Klek	Accuracy	LogisticRegression	0.53528	0.04161
Mono	Klek	Accuracy	RandomForestClassifier	0.52862	0.05949
Mono	Klek	Accuracy	XGBClassifier	0.54692	0.04636
Mono	Klek	Balanced Accuracy	LogisticRegression	0.54047	0.03118
Mono	Klek	Balanced Accuracy	RandomForestClassifier	0.53479	0.04156
Mono	Klek	Balanced Accuracy	XGBClassifier	0.54237	0.03048
Mono	Klek	Brier	LogisticRegression	0.29321	0.03301
Mono	Klek	Brier	RandomForestClassifier	0.25903	0.02059
Mono	Klek	Brier	XGBClassifier	0.26355	0.01678
Mono	Klek	ECE	LogisticRegression	0.20218	0.05722
Mono	Klek	ECE	RandomForestClassifier	0.14606	0.05884
Mono	Klek	ECE	XGBClassifier	0.15412	0.04137
Mono	Klek	F1 Score	LogisticRegression	0.56886	0.06835
Mono	Klek	F1 Score	RandomForestClassifier	0.54558	0.10572
Mono	Klek	F1 Score	XGBClassifier	0.58639	0.0822
Mono	Klek	GeomRS	LogisticRegression	0.52948	0.03649
Mono	Klek	GeomRS	RandomForestClassifier	0.51453	0.0523
Mono	Klek	GeomRS	XGBClassifier	0.52593	0.0388
Mono	Klek	HarmRS	LogisticRegression	0.51904	0.04396
Mono	Klek	HarmRS	RandomForestClassifier	0.49585	0.06566
Mono	Klek	HarmRS	XGBClassifier	0.51066	0.05112
Mono	Klek	MCC	LogisticRegression	0.0805	0.06279
Mono	Klek	MCC	RandomForestClassifier	0.07007	0.08365
Mono	Klek	MCC	XGBClassifier	0.08563	0.06143
Mono	Klek	PRC AUC	LogisticRegression	0.66325	0.05146
Mono	Klek	PRC AUC	RandomForestClassifier	0.65637	0.05416
Mono	Klek	PRC AUC	XGBClassifier	0.67779	0.04502
Mono	Klek	Precision	LogisticRegression	0.64831	0.05245
Mono	Klek	Precision	RandomForestClassifier	0.64239	0.05929
Mono	Klek	Precision	XGBClassifier	0.64956	0.04648
Mono	Klek	ROC AUC	LogisticRegression	0.55318	0.05117
Mono	Klek	ROC AUC	RandomForestClassifier	0.55748	0.05039
Mono	Klek	ROC AUC	XGBClassifier	0.57018	0.03791
Mono	Klek	Recall	LogisticRegression	0.51891	0.11062
Mono	Klek	Recall	RandomForestClassifier	0.49038	0.15005
Mono	Klek	Recall	XGBClassifier	0.54946	0.13287
Mono	Klek	Specificity	LogisticRegression	0.56202	0.10989
Mono	Klek	Specificity	RandomForestClassifier	0.5792	0.13555
Mono	Klek	Specificity	XGBClassifier	0.53527	0.13736
Mono	MACCS	Accuracy	LogisticRegression	0.50452	0.03772
Mono	MACCS	Accuracy	RandomForestClassifier	0.53508	0.05362
Mono	MACCS	Accuracy	XGBClassifier	0.53942	0.03493
Mono	MACCS	Balanced Accuracy	LogisticRegression	0.50062	0.02502
Mono	MACCS	Balanced Accuracy	RandomForestClassifier	0.52813	0.04783
Mono	MACCS	Balanced Accuracy	XGBClassifier	0.52818	0.02832
Mono	MACCS	Brier	LogisticRegression	0.29432	0.01944
Mono	MACCS	Brier	RandomForestClassifier	0.25151	0.01316
Mono	MACCS	Brier	XGBClassifier	0.26581	0.01432
Mono	MACCS	ECE	LogisticRegression	0.20386	0.0366
Mono	MACCS	ECE	RandomForestClassifier	0.1203	0.04182
Mono	MACCS	ECE	XGBClassifier	0.15774	0.03442
Mono	MACCS	F1 Score	LogisticRegression	0.53926	0.08341
Mono	MACCS	F1 Score	RandomForestClassifier	0.58922	0.06915
Mono	MACCS	F1 Score	XGBClassifier	0.58898	0.06961
Mono	MACCS	GeomRS	LogisticRegression	0.48421	0.02982
Mono	MACCS	GeomRS	RandomForestClassifier	0.52049	0.05073
Mono	MACCS	GeomRS	XGBClassifier	0.51421	0.03729
Mono	MACCS	HarmRS	LogisticRegression	0.46871	0.03829
Mono	MACCS	HarmRS	RandomForestClassifier	0.51317	0.05506
Mono	MACCS	HarmRS	XGBClassifier	0.50118	0.04935
Mono	MACCS	MCC	LogisticRegression	0.00168	0.04977
Mono	MACCS	MCC	RandomForestClassifier	0.05604	0.09439
Mono	MACCS	MCC	XGBClassifier	0.05637	0.05634
Mono	MACCS	PRC AUC	LogisticRegression	0.61884	0.04789
Mono	MACCS	PRC AUC	RandomForestClassifier	0.65766	0.05226
Mono	MACCS	PRC AUC	XGBClassifier	0.66812	0.03993
Mono	MACCS	Precision	LogisticRegression	0.60943	0.04894
Mono	MACCS	Precision	RandomForestClassifier	0.6317	0.05729
Mono	MACCS	Precision	XGBClassifier	0.63567	0.0464
Mono	MACCS	ROC AUC	LogisticRegression	0.50431	0.03371
Mono	MACCS	ROC AUC	RandomForestClassifier	0.54519	0.06569
Mono	MACCS	ROC AUC	XGBClassifier	0.55299	0.03722
Mono	MACCS	Recall	LogisticRegression	0.49536	0.12556
Mono	MACCS	Recall	RandomForestClassifier	0.56039	0.09963
Mono	MACCS	Recall	XGBClassifier	0.55843	0.10922
Mono	MACCS	Specificity	LogisticRegression	0.50588	0.13406
Mono	MACCS	Specificity	RandomForestClassifier	0.49587	0.09132
Mono	MACCS	Specificity	XGBClassifier	0.49794	0.12812
Mono	Morgan	Accuracy	LogisticRegression	0.51537	0.04383
Mono	Morgan	Accuracy	RandomForestClassifier	0.50297	0.05575
Mono	Morgan	Accuracy	XGBClassifier	0.52678	0.04629
Mono	Morgan	Balanced Accuracy	LogisticRegression	0.51628	0.03286
Mono	Morgan	Balanced Accuracy	RandomForestClassifier	0.50841	0.02533
Mono	Morgan	Balanced Accuracy	XGBClassifier	0.52054	0.03561
Mono	Morgan	Brier	LogisticRegression	0.31148	0.03294
Mono	Morgan	Brier	RandomForestClassifier	0.26281	0.0175
Mono	Morgan	Brier	XGBClassifier	0.276	0.02168
Mono	Morgan	ECE	LogisticRegression	0.23401	0.05363
Mono	Morgan	ECE	RandomForestClassifier	0.15112	0.05651
Mono	Morgan	ECE	XGBClassifier	0.17222	0.0444
Mono	Morgan	F1 Score	LogisticRegression	0.55744	0.06971
Mono	Morgan	F1 Score	RandomForestClassifier	0.49564	0.14139
Mono	Morgan	F1 Score	XGBClassifier	0.5747	0.07656
Mono	Morgan	GeomRS	LogisticRegression	0.50753	0.03874
Mono	Morgan	GeomRS	RandomForestClassifier	0.46266	0.04018
Mono	Morgan	GeomRS	XGBClassifier	0.507	0.04163
Mono	Morgan	HarmRS	LogisticRegression	0.49937	0.04767
Mono	Morgan	HarmRS	RandomForestClassifier	0.42273	0.06024
Mono	Morgan	HarmRS	XGBClassifier	0.4943	0.05078
Mono	Morgan	MCC	LogisticRegression	0.03229	0.06435
Mono	Morgan	MCC	RandomForestClassifier	0.01835	0.05461
Mono	Morgan	MCC	XGBClassifier	0.04133	0.07212
Mono	Morgan	PRC AUC	LogisticRegression	0.62995	0.05647
Mono	Morgan	PRC AUC	RandomForestClassifier	0.62377	0.06314
Mono	Morgan	PRC AUC	XGBClassifier	0.6455	0.05904
Mono	Morgan	Precision	LogisticRegression	0.62215	0.05414
Mono	Morgan	Precision	RandomForestClassifier	0.61618	0.06075
Mono	Morgan	Precision	XGBClassifier	0.627	0.05575
Mono	Morgan	ROC AUC	LogisticRegression	0.52552	0.04024
Mono	Morgan	ROC AUC	RandomForestClassifier	0.52112	0.03547
Mono	Morgan	ROC AUC	XGBClassifier	0.53504	0.04683
Mono	Morgan	Recall	LogisticRegression	0.51516	0.10394
Mono	Morgan	Recall	RandomForestClassifier	0.44567	0.20652
Mono	Morgan	Recall	XGBClassifier	0.54289	0.11907
Mono	Morgan	Specificity	LogisticRegression	0.5174	0.094
Mono	Morgan	Specificity	RandomForestClassifier	0.57116	0.19875
Mono	Morgan	Specificity	XGBClassifier	0.49818	0.12193
Mono	RDKit	Accuracy	LogisticRegression	0.53936	0.05681
Mono	RDKit	Accuracy	RandomForestClassifier	0.54548	0.04622
Mono	RDKit	Accuracy	XGBClassifier	0.56511	0.04081
Mono	RDKit	Balanced Accuracy	LogisticRegression	0.53859	0.04762
Mono	RDKit	Balanced Accuracy	RandomForestClassifier	0.53496	0.03808
Mono	RDKit	Balanced Accuracy	XGBClassifier	0.5519	0.03267
Mono	RDKit	Brier	LogisticRegression	0.29601	0.0302
Mono	RDKit	Brier	RandomForestClassifier	0.24728	0.00995
Mono	RDKit	Brier	XGBClassifier	0.25563	0.0171
Mono	RDKit	ECE	LogisticRegression	0.20994	0.0561
Mono	RDKit	ECE	RandomForestClassifier	0.10933	0.04795
Mono	RDKit	ECE	XGBClassifier	0.13199	0.04097
Mono	RDKit	F1 Score	LogisticRegression	0.57376	0.08672
Mono	RDKit	F1 Score	RandomForestClassifier	0.6064	0.07143
Mono	RDKit	F1 Score	XGBClassifier	0.62374	0.06706
Mono	RDKit	GeomRS	LogisticRegression	0.52825	0.05138
Mono	RDKit	GeomRS	RandomForestClassifier	0.51802	0.04462
Mono	RDKit	GeomRS	XGBClassifier	0.53653	0.04206
Mono	RDKit	HarmRS	LogisticRegression	0.51828	0.05607
Mono	RDKit	HarmRS	RandomForestClassifier	0.50238	0.05619
Mono	RDKit	HarmRS	XGBClassifier	0.5224	0.05572
Mono	RDKit	MCC	LogisticRegression	0.07668	0.09484
Mono	RDKit	MCC	RandomForestClassifier	0.07093	0.07634
Mono	RDKit	MCC	XGBClassifier	0.10455	0.06492
Mono	RDKit	PRC AUC	LogisticRegression	0.6368	0.06361
Mono	RDKit	PRC AUC	RandomForestClassifier	0.66616	0.04969
Mono	RDKit	PRC AUC	XGBClassifier	0.6926	0.04803
Mono	RDKit	Precision	LogisticRegression	0.64404	0.06125
Mono	RDKit	Precision	RandomForestClassifier	0.63882	0.06002
Mono	RDKit	Precision	XGBClassifier	0.65298	0.05684
Mono	RDKit	ROC AUC	LogisticRegression	0.5398	0.05953
Mono	RDKit	ROC AUC	RandomForestClassifier	0.5575	0.05104
Mono	RDKit	ROC AUC	XGBClassifier	0.58252	0.0436
Mono	RDKit	Recall	LogisticRegression	0.52659	0.11929
Mono	RDKit	Recall	RandomForestClassifier	0.59399	0.12049
Mono	RDKit	Recall	XGBClassifier	0.60967	0.11351
Mono	RDKit	Specificity	LogisticRegression	0.55058	0.10876
Mono	RDKit	Specificity	RandomForestClassifier	0.47593	0.12908
Mono	RDKit	Specificity	XGBClassifier	0.49414	0.12347
Primary	CDDD	Accuracy	LogisticRegression	0.51095	0.04698
Primary	CDDD	Accuracy	RandomForestClassifier	0.57989	0.03983
Primary	CDDD	Accuracy	XGBClassifier	0.57461	0.036
Primary	CDDD	Balanced Accuracy	LogisticRegression	0.51959	0.03533
Primary	CDDD	Balanced Accuracy	RandomForestClassifier	0.55355	0.02723
Primary	CDDD	Balanced Accuracy	XGBClassifier	0.55721	0.0326
Primary	CDDD	Brier	LogisticRegression	0.31335	0.02866
Primary	CDDD	Brier	RandomForestClassifier	0.23631	0.0095
Primary	CDDD	Brier	XGBClassifier	0.24611	0.01111
Primary	CDDD	ECE	LogisticRegression	0.23207	0.05076
Primary	CDDD	ECE	RandomForestClassifier	0.0899	0.04095
Primary	CDDD	ECE	XGBClassifier	0.10963	0.03344
Primary	CDDD	F1 Score	LogisticRegression	0.52833	0.08222
Primary	CDDD	F1 Score	RandomForestClassifier	0.64464	0.07468
Primary	CDDD	F1 Score	XGBClassifier	0.62606	0.0736
Primary	CDDD	GeomRS	LogisticRegression	0.50909	0.04054
Primary	CDDD	GeomRS	RandomForestClassifier	0.5321	0.03509
Primary	CDDD	GeomRS	XGBClassifier	0.54072	0.04413
Primary	CDDD	HarmRS	LogisticRegression	0.4991	0.0475
Primary	CDDD	HarmRS	RandomForestClassifier	0.51242	0.05021
Primary	CDDD	HarmRS	XGBClassifier	0.52544	0.0581
Primary	CDDD	MCC	LogisticRegression	0.03859	0.07044
Primary	CDDD	MCC	RandomForestClassifier	0.11099	0.05748
Primary	CDDD	MCC	XGBClassifier	0.11547	0.0661
Primary	CDDD	PRC AUC	LogisticRegression	0.6358	0.05681
Primary	CDDD	PRC AUC	RandomForestClassifier	0.70236	0.05846
Primary	CDDD	PRC AUC	XGBClassifier	0.69805	0.04982
Primary	CDDD	Precision	LogisticRegression	0.62614	0.06015
Primary	CDDD	Precision	RandomForestClassifier	0.65151	0.04602
Primary	CDDD	Precision	XGBClassifier	0.66043	0.04015
Primary	CDDD	ROC AUC	LogisticRegression	0.52152	0.04208
Primary	CDDD	ROC AUC	RandomForestClassifier	0.59909	0.04392
Primary	CDDD	ROC AUC	XGBClassifier	0.59374	0.03871
Primary	CDDD	Recall	LogisticRegression	0.46325	0.10358
Primary	CDDD	Recall	RandomForestClassifier	0.64803	0.12286
Primary	CDDD	Recall	XGBClassifier	0.60512	0.11926
Primary	CDDD	Specificity	LogisticRegression	0.57593	0.08106
Primary	CDDD	Specificity	RandomForestClassifier	0.45908	0.12157
Primary	CDDD	Specificity	XGBClassifier	0.50929	0.13591
Primary	ChemBERTa	Accuracy	LogisticRegression	0.51594	0.03863
Primary	ChemBERTa	Accuracy	RandomForestClassifier	0.55924	0.03975
Primary	ChemBERTa	Accuracy	XGBClassifier	0.56052	0.04111
Primary	ChemBERTa	Balanced Accuracy	LogisticRegression	0.51855	0.04055
Primary	ChemBERTa	Balanced Accuracy	RandomForestClassifier	0.53534	0.03041
Primary	ChemBERTa	Balanced Accuracy	XGBClassifier	0.5425	0.03831
Primary	ChemBERTa	Brier	LogisticRegression	0.31212	0.03251
Primary	ChemBERTa	Brier	RandomForestClassifier	0.24258	0.0094
Primary	ChemBERTa	Brier	XGBClassifier	0.25312	0.01455
Primary	ChemBERTa	ECE	LogisticRegression	0.23485	0.05272
Primary	ChemBERTa	ECE	RandomForestClassifier	0.09838	0.03892
Primary	ChemBERTa	ECE	XGBClassifier	0.12119	0.03602
Primary	ChemBERTa	F1 Score	LogisticRegression	0.54859	0.06061
Primary	ChemBERTa	F1 Score	RandomForestClassifier	0.62279	0.06972
Primary	ChemBERTa	F1 Score	XGBClassifier	0.61492	0.07329
Primary	ChemBERTa	GeomRS	LogisticRegression	0.5106	0.0412
Primary	ChemBERTa	GeomRS	RandomForestClassifier	0.51797	0.03728
Primary	ChemBERTa	GeomRS	XGBClassifier	0.52736	0.04725
Primary	ChemBERTa	HarmRS	LogisticRegression	0.5029	0.04321
Primary	ChemBERTa	HarmRS	RandomForestClassifier	0.50199	0.0502
Primary	ChemBERTa	HarmRS	XGBClassifier	0.51352	0.05993
Primary	ChemBERTa	MCC	LogisticRegression	0.03735	0.07995
Primary	ChemBERTa	MCC	RandomForestClassifier	0.07218	0.06146
Primary	ChemBERTa	MCC	XGBClassifier	0.08576	0.07681
Primary	ChemBERTa	PRC AUC	LogisticRegression	0.63101	0.04655
Primary	ChemBERTa	PRC AUC	RandomForestClassifier	0.66542	0.06297
Primary	ChemBERTa	PRC AUC	XGBClassifier	0.67046	0.06264
Primary	ChemBERTa	Precision	LogisticRegression	0.62882	0.05534
Primary	ChemBERTa	Precision	RandomForestClassifier	0.63843	0.04661
Primary	ChemBERTa	Precision	XGBClassifier	0.64665	0.05073
Primary	ChemBERTa	ROC AUC	LogisticRegression	0.5187	0.05378
Primary	ChemBERTa	ROC AUC	RandomForestClassifier	0.56016	0.04663
Primary	ChemBERTa	ROC AUC	XGBClassifier	0.56674	0.05058
Primary	ChemBERTa	Recall	LogisticRegression	0.49281	0.08375
Primary	ChemBERTa	Recall	RandomForestClassifier	0.6149	0.10805
Primary	ChemBERTa	Recall	XGBClassifier	0.59398	0.11231
Primary	ChemBERTa	Specificity	LogisticRegression	0.5443	0.10747
Primary	ChemBERTa	Specificity	RandomForestClassifier	0.45579	0.11718
Primary	ChemBERTa	Specificity	XGBClassifier	0.49103	0.1285
Primary	Klek	Accuracy	LogisticRegression	0.53603	0.05337
Primary	Klek	Accuracy	RandomForestClassifier	0.5391	0.06021
Primary	Klek	Accuracy	XGBClassifier	0.55185	0.04733
Primary	Klek	Balanced Accuracy	LogisticRegression	0.53439	0.05083
Primary	Klek	Balanced Accuracy	RandomForestClassifier	0.53214	0.03464
Primary	Klek	Balanced Accuracy	XGBClassifier	0.55002	0.0281
Primary	Klek	Brier	LogisticRegression	0.28959	0.03734
Primary	Klek	Brier	RandomForestClassifier	0.25018	0.01764
Primary	Klek	Brier	XGBClassifier	0.26036	0.01876
Primary	Klek	ECE	LogisticRegression	0.19915	0.05718
Primary	Klek	ECE	RandomForestClassifier	0.12362	0.04859
Primary	Klek	ECE	XGBClassifier	0.14363	0.0403
Primary	Klek	F1 Score	LogisticRegression	0.5782	0.07581
Primary	Klek	F1 Score	RandomForestClassifier	0.551	0.1449
Primary	Klek	F1 Score	XGBClassifier	0.57624	0.11116
Primary	Klek	GeomRS	LogisticRegression	0.52425	0.05552
Primary	Klek	GeomRS	RandomForestClassifier	0.48464	0.06146
Primary	Klek	GeomRS	XGBClassifier	0.52673	0.04569
Primary	Klek	HarmRS	LogisticRegression	0.51462	0.06166
Primary	Klek	HarmRS	RandomForestClassifier	0.44609	0.09217
Primary	Klek	HarmRS	XGBClassifier	0.50591	0.0657
Primary	Klek	MCC	LogisticRegression	0.06796	0.1016
Primary	Klek	MCC	RandomForestClassifier	0.07166	0.07394
Primary	Klek	MCC	XGBClassifier	0.10188	0.0569
Primary	Klek	PRC AUC	LogisticRegression	0.65613	0.0685
Primary	Klek	PRC AUC	RandomForestClassifier	0.66954	0.06348
Primary	Klek	PRC AUC	XGBClassifier	0.68222	0.0568
Primary	Klek	Precision	LogisticRegression	0.64077	0.06872
Primary	Klek	Precision	RandomForestClassifier	0.64645	0.05482
Primary	Klek	Precision	XGBClassifier	0.65795	0.05218
Primary	Klek	ROC AUC	LogisticRegression	0.54686	0.07024
Primary	Klek	ROC AUC	RandomForestClassifier	0.5634	0.05099
Primary	Klek	ROC AUC	XGBClassifier	0.57587	0.04531
Primary	Klek	Recall	LogisticRegression	0.53665	0.108
Primary	Klek	Recall	RandomForestClassifier	0.51925	0.22007
Primary	Klek	Recall	XGBClassifier	0.53399	0.16308
Primary	Klek	Specificity	LogisticRegression	0.53213	0.12025
Primary	Klek	Specificity	RandomForestClassifier	0.54502	0.2174
Primary	Klek	Specificity	XGBClassifier	0.56604	0.15213
Primary	MACCS	Accuracy	LogisticRegression	0.52382	0.04778
Primary	MACCS	Accuracy	RandomForestClassifier	0.55696	0.03735
Primary	MACCS	Accuracy	XGBClassifier	0.54873	0.03766
Primary	MACCS	Balanced Accuracy	LogisticRegression	0.52084	0.0324
Primary	MACCS	Balanced Accuracy	RandomForestClassifier	0.53862	0.03151
Primary	MACCS	Balanced Accuracy	XGBClassifier	0.54223	0.02978
Primary	MACCS	Brier	LogisticRegression	0.27522	0.02541
Primary	MACCS	Brier	RandomForestClassifier	0.24561	0.00992
Primary	MACCS	Brier	XGBClassifier	0.25953	0.01747
Primary	MACCS	ECE	LogisticRegression	0.16947	0.04839
Primary	MACCS	ECE	RandomForestClassifier	0.10712	0.03518
Primary	MACCS	ECE	XGBClassifier	0.14409	0.03537
Primary	MACCS	F1 Score	LogisticRegression	0.53249	0.13217
Primary	MACCS	F1 Score	RandomForestClassifier	0.61916	0.06028
Primary	MACCS	F1 Score	XGBClassifier	0.57582	0.1012
Primary	MACCS	GeomRS	LogisticRegression	0.48545	0.05043
Primary	MACCS	GeomRS	RandomForestClassifier	0.52857	0.03288
Primary	MACCS	GeomRS	XGBClassifier	0.52014	0.03864
Primary	MACCS	HarmRS	LogisticRegression	0.45417	0.07077
Primary	MACCS	HarmRS	RandomForestClassifier	0.51894	0.03726
Primary	MACCS	HarmRS	XGBClassifier	0.49947	0.05007
Primary	MACCS	MCC	LogisticRegression	0.04292	0.06721
Primary	MACCS	MCC	RandomForestClassifier	0.07764	0.06381
Primary	MACCS	MCC	XGBClassifier	0.08572	0.06001
Primary	MACCS	PRC AUC	LogisticRegression	0.63554	0.0608
Primary	MACCS	PRC AUC	RandomForestClassifier	0.66433	0.05221
Primary	MACCS	PRC AUC	XGBClassifier	0.67099	0.06163
Primary	MACCS	Precision	LogisticRegression	0.63065	0.05823
Primary	MACCS	Precision	RandomForestClassifier	0.64057	0.04932
Primary	MACCS	Precision	XGBClassifier	0.65269	0.05553
Primary	MACCS	ROC AUC	LogisticRegression	0.53183	0.04199
Primary	MACCS	ROC AUC	RandomForestClassifier	0.56065	0.04558
Primary	MACCS	ROC AUC	XGBClassifier	0.56532	0.04333
Primary	MACCS	Recall	LogisticRegression	0.48541	0.18556
Primary	MACCS	Recall	RandomForestClassifier	0.60371	0.08596
Primary	MACCS	Recall	XGBClassifier	0.53188	0.15017
Primary	MACCS	Specificity	LogisticRegression	0.55627	0.18698
Primary	MACCS	Specificity	RandomForestClassifier	0.47352	0.08765
Primary	MACCS	Specificity	XGBClassifier	0.55257	0.1606
Primary	Morgan	Accuracy	LogisticRegression	0.53457	0.04174
Primary	Morgan	Accuracy	RandomForestClassifier	0.54427	0.06367
Primary	Morgan	Accuracy	XGBClassifier	0.54435	0.04553
Primary	Morgan	Balanced Accuracy	LogisticRegression	0.53177	0.03414
Primary	Morgan	Balanced Accuracy	RandomForestClassifier	0.53594	0.03822
Primary	Morgan	Balanced Accuracy	XGBClassifier	0.53737	0.03012
Primary	Morgan	Brier	LogisticRegression	0.31072	0.02911
Primary	Morgan	Brier	RandomForestClassifier	0.25104	0.02059
Primary	Morgan	Brier	XGBClassifier	0.26303	0.01971
Primary	Morgan	ECE	LogisticRegression	0.24199	0.047
Primary	Morgan	ECE	RandomForestClassifier	0.1236	0.0542
Primary	Morgan	ECE	XGBClassifier	0.14715	0.04088
Primary	Morgan	F1 Score	LogisticRegression	0.58638	0.06387
Primary	Morgan	F1 Score	RandomForestClassifier	0.55468	0.14783
Primary	Morgan	F1 Score	XGBClassifier	0.58134	0.10063
Primary	Morgan	GeomRS	LogisticRegression	0.52473	0.03545
Primary	Morgan	GeomRS	RandomForestClassifier	0.48594	0.06587
Primary	Morgan	GeomRS	XGBClassifier	0.51813	0.04321
Primary	Morgan	HarmRS	LogisticRegression	0.5179	0.03807
Primary	Morgan	HarmRS	RandomForestClassifier	0.44453	0.09576
Primary	Morgan	HarmRS	XGBClassifier	0.50063	0.0594
Primary	Morgan	MCC	LogisticRegression	0.06302	0.06727
Primary	Morgan	MCC	RandomForestClassifier	0.07882	0.08347
Primary	Morgan	MCC	XGBClassifier	0.0757	0.06087
