Series	Test_Fold	Model	Descriptors	Sex	Metric	Value
Weighted	2	XGBClassifier	CDDD	Female	PRC AUC	0.61061
Unweighted	2	XGBClassifier	CDDD	Male	PRC AUC	0.59863
Unweighted	2	XGBClassifier	CDDD	Unknown	PRC AUC	0.66714
Unweighted	2	XGBClassifier	CDDD	Female	PRC AUC	0.65223
Weighted	1	XGBClassifier	CDDD	Female	Brier	0.26282
Weighted	1	XGBClassifier	CDDD	Male	Brier	0.27605
Weighted	1	XGBClassifier	CDDD	Unknown	Brier	0.26271
Unweighted	1	XGBClassifier	CDDD	Female	Brier	0.26282
Unweighted	1	XGBClassifier	CDDD	Male	Brier	0.27605
Unweighted	1	XGBClassifier	CDDD	Unknown	Brier	0.26271
Weighted	0	XGBClassifier	CDDD	Male	Brier	0.28471
Weighted	0	XGBClassifier	CDDD	Female	Brier	0.24971
Weighted	0	XGBClassifier	CDDD	Unknown	Brier	0.24831
Unweighted	0	XGBClassifier	CDDD	Male	Brier	0.28471
Unweighted	0	XGBClassifier	CDDD	Female	Brier	0.24971
Unweighted	0	XGBClassifier	CDDD	Unknown	Brier	0.24831
Weighted	4	XGBClassifier	CDDD	Female	Brier	0.24771
Weighted	4	XGBClassifier	CDDD	Male	Brier	0.26181
Weighted	4	XGBClassifier	CDDD	Unknown	Brier	0.24701
Unweighted	4	XGBClassifier	CDDD	Female	Brier	0.24771
Unweighted	4	XGBClassifier	CDDD	Male	Brier	0.26181
Unweighted	4	XGBClassifier	CDDD	Unknown	Brier	0.24701
Weighted	3	XGBClassifier	CDDD	Male	Brier	0.26646
Weighted	3	XGBClassifier	CDDD	Female	Brier	0.25604
Weighted	3	XGBClassifier	CDDD	Unknown	Brier	0.25306
Unweighted	3	XGBClassifier	CDDD	Male	Brier	0.26646
Unweighted	3	XGBClassifier	CDDD	Female	Brier	0.25604
Unweighted	3	XGBClassifier	CDDD	Unknown	Brier	0.25306
Weighted	2	XGBClassifier	CDDD	Male	Brier	0.26351
Weighted	2	XGBClassifier	CDDD	Unknown	Brier	0.24329
Weighted	2	XGBClassifier	CDDD	Female	Brier	0.24627
Unweighted	2	XGBClassifier	CDDD	Male	Brier	0.26351
Unweighted	2	XGBClassifier	CDDD	Unknown	Brier	0.24329
Unweighted	2	XGBClassifier	CDDD	Female	Brier	0.24627
