Series	Test_Fold	Model	Descriptors	Weight	Metric	Value
Unweighted	2	XGBClassifier	CDDD	Average	Specificity	0.56545
Unweighted	2	XGBClassifier	CDDD	Low	Specificity	0.59823
Unweighted	2	XGBClassifier	CDDD	Unknown	Specificity	0.31893
Unweighted	2	XGBClassifier	CDDD	High	Specificity	0.69919
Weighted	1	XGBClassifier	CDDD	High	HarmRS	0.44616
Weighted	1	XGBClassifier	CDDD	Low	HarmRS	0.45105
Weighted	1	XGBClassifier	CDDD	Average	HarmRS	0.4698
Weighted	1	XGBClassifier	CDDD	Unknown	HarmRS	0.48911
Unweighted	1	XGBClassifier	CDDD	High	HarmRS	0.40334
Unweighted	1	XGBClassifier	CDDD	Low	HarmRS	0.44953
Unweighted	1	XGBClassifier	CDDD	Average	HarmRS	0.45512
Unweighted	1	XGBClassifier	CDDD	Unknown	HarmRS	0.47454
Weighted	0	XGBClassifier	CDDD	High	HarmRS	0.4696
Weighted	0	XGBClassifier	CDDD	Low	HarmRS	0.49607
Weighted	0	XGBClassifier	CDDD	Average	HarmRS	0.5064
Weighted	0	XGBClassifier	CDDD	Unknown	HarmRS	0.4453
Unweighted	0	XGBClassifier	CDDD	High	HarmRS	0.49088
Unweighted	0	XGBClassifier	CDDD	Low	HarmRS	0.49468
Unweighted	0	XGBClassifier	CDDD	Average	HarmRS	0.50556
Unweighted	0	XGBClassifier	CDDD	Unknown	HarmRS	0.44866
Weighted	4	XGBClassifier	CDDD	Average	HarmRS	0.50586
Weighted	4	XGBClassifier	CDDD	Low	HarmRS	0.44431
Weighted	4	XGBClassifier	CDDD	High	HarmRS	0.49102
Weighted	4	XGBClassifier	CDDD	Unknown	HarmRS	0.44519
Unweighted	4	XGBClassifier	CDDD	Average	HarmRS	0.48644
Unweighted	4	XGBClassifier	CDDD	Low	HarmRS	0.4439
Unweighted	4	XGBClassifier	CDDD	High	HarmRS	0.4441
Unweighted	4	XGBClassifier	CDDD	Unknown	HarmRS	0.43315
Weighted	3	XGBClassifier	CDDD	Average	HarmRS	0.47165
Weighted	3	XGBClassifier	CDDD	Low	HarmRS	0.49744
Weighted	3	XGBClassifier	CDDD	High	HarmRS	0.32295
Weighted	3	XGBClassifier	CDDD	Unknown	HarmRS	0.52135
Unweighted	3	XGBClassifier	CDDD	Average	HarmRS	0.47385
Unweighted	3	XGBClassifier	CDDD	Low	HarmRS	0.4635
Unweighted	3	XGBClassifier	CDDD	High	HarmRS	0.33013
Unweighted	3	XGBClassifier	CDDD	Unknown	HarmRS	0.50286
Weighted	2	XGBClassifier	CDDD	Average	HarmRS	0.56869
Weighted	2	XGBClassifier	CDDD	Low	HarmRS	0.55987
Weighted	2	XGBClassifier	CDDD	Unknown	HarmRS	0.46674
Weighted	2	XGBClassifier	CDDD	High	HarmRS	0.46064
Unweighted	2	XGBClassifier	CDDD	Average	HarmRS	0.53715
Unweighted	2	XGBClassifier	CDDD	Low	HarmRS	0.53791
Unweighted	2	XGBClassifier	CDDD	Unknown	HarmRS	0.44998
Unweighted	2	XGBClassifier	CDDD	High	HarmRS	0.47362
Weighted	1	XGBClassifier	CDDD	High	ROC AUC	0.52348
Weighted	1	XGBClassifier	CDDD	Low	ROC AUC	0.48125
Weighted	1	XGBClassifier	CDDD	Average	ROC AUC	0.50077
Weighted	1	XGBClassifier	CDDD	Unknown	ROC AUC	0.58857
Unweighted	1	XGBClassifier	CDDD	High	ROC AUC	0.51787
Unweighted	1	XGBClassifier	CDDD	Low	ROC AUC	0.51748
Unweighted	1	XGBClassifier	CDDD	Average	ROC AUC	0.48782
Unweighted	1	XGBClassifier	CDDD	Unknown	ROC AUC	0.57784
Weighted	0	XGBClassifier	CDDD	High	ROC AUC	0.53133
Weighted	0	XGBClassifier	CDDD	Low	ROC AUC	0.56947
Weighted	0	XGBClassifier	CDDD	Average	ROC AUC	0.54893
Weighted	0	XGBClassifier	CDDD	Unknown	ROC AUC	0.58522
Unweighted	0	XGBClassifier	CDDD	High	ROC AUC	0.55698
Unweighted	0	XGBClassifier	CDDD	Low	ROC AUC	0.57166
Unweighted	0	XGBClassifier	CDDD	Average	ROC AUC	0.53799
Unweighted	0	XGBClassifier	CDDD	Unknown	ROC AUC	0.58864
Weighted	4	XGBClassifier	CDDD	Average	ROC AUC	0.53598
Weighted	4	XGBClassifier	CDDD	Low	ROC AUC	0.4986
Weighted	4	XGBClassifier	CDDD	High	ROC AUC	0.59596
Weighted	4	XGBClassifier	CDDD	Unknown	ROC AUC	0.59802
Unweighted	4	XGBClassifier	CDDD	Average	ROC AUC	0.50571
Unweighted	4	XGBClassifier	CDDD	Low	ROC AUC	0.485
Unweighted	4	XGBClassifier	CDDD	High	ROC AUC	0.56088
Unweighted	4	XGBClassifier	CDDD	Unknown	ROC AUC	0.57533
Weighted	3	XGBClassifier	CDDD	Average	ROC AUC	0.50294
Weighted	3	XGBClassifier	CDDD	Low	ROC AUC	0.49995
Weighted	3	XGBClassifier	CDDD	High	ROC AUC	0.51379
Weighted	3	XGBClassifier	CDDD	Unknown	ROC AUC	0.58269
Unweighted	3	XGBClassifier	CDDD	Average	ROC AUC	0.4962
Unweighted	3	XGBClassifier	CDDD	Low	ROC AUC	0.46951
Unweighted	3	XGBClassifier	CDDD	High	ROC AUC	0.4901
Unweighted	3	XGBClassifier	CDDD	Unknown	ROC AUC	0.56446
Weighted	2	XGBClassifier	CDDD	Average	ROC AUC	0.62536
Weighted	2	XGBClassifier	CDDD	Low	ROC AUC	0.58726
Weighted	2	XGBClassifier	CDDD	Unknown	ROC AUC	0.59382
Weighted	2	XGBClassifier	CDDD	High	ROC AUC	0.61125
Unweighted	2	XGBClassifier	CDDD	Average	ROC AUC	0.56663
Unweighted	2	XGBClassifier	CDDD	Low	ROC AUC	0.54608
Unweighted	2	XGBClassifier	CDDD	Unknown	ROC AUC	0.57849
Unweighted	2	XGBClassifier	CDDD	High	ROC AUC	0.57028
Weighted	1	XGBClassifier	CDDD	High	PRC AUC	0.36377
Weighted	1	XGBClassifier	CDDD	Low	PRC AUC	0.36242
Weighted	1	XGBClassifier	CDDD	Average	PRC AUC	0.3782
Weighted	1	XGBClassifier	CDDD	Unknown	PRC AUC	0.58178
Unweighted	1	XGBClassifier	CDDD	High	PRC AUC	0.51482
Unweighted	1	XGBClassifier	CDDD	Low	PRC AUC	0.55891
Unweighted	1	XGBClassifier	CDDD	Average	PRC AUC	0.52381
Unweighted	1	XGBClassifier	CDDD	Unknown	PRC AUC	0.6284
Weighted	0	XGBClassifier	CDDD	High	PRC AUC	0.48054
Weighted	0	XGBClassifier	CDDD	Low	PRC AUC	0.54913
Weighted	0	XGBClassifier	CDDD	Average	PRC AUC	0.53237
Weighted	0	XGBClassifier	CDDD	Unknown	PRC AUC	0.60957
Unweighted	0	XGBClassifier	CDDD	High	PRC AUC	0.63852
Unweighted	0	XGBClassifier	CDDD	Low	PRC AUC	0.66641
Unweighted	0	XGBClassifier	CDDD	Average	PRC AUC	0.65755
Unweighted	0	XGBClassifier	CDDD	Unknown	PRC AUC	0.68029
Weighted	4	XGBClassifier	CDDD	Average	PRC AUC	0.50232
Weighted	4	XGBClassifier	CDDD	Low	PRC AUC	0.4566
Weighted	4	XGBClassifier	CDDD	High	PRC AUC	0.49051
Weighted	4	XGBClassifier	CDDD	Unknown	PRC AUC	0.61221
Unweighted	4	XGBClassifier	CDDD	Average	PRC AUC	0.57854
Unweighted	4	XGBClassifier	CDDD	Low	PRC AUC	0.55924
Unweighted	4	XGBClassifier	CDDD	High	PRC AUC	0.57674
Unweighted	4	XGBClassifier	CDDD	Unknown	PRC AUC	0.64687
Weighted	3	XGBClassifier	CDDD	Average	PRC AUC	0.44866
Weighted	3	XGBClassifier	CDDD	Low	PRC AUC	0.44447
Weighted	3	XGBClassifier	CDDD	High	PRC AUC	0.40238
Weighted	3	XGBClassifier	CDDD	Unknown	PRC AUC	0.58273
Unweighted	3	XGBClassifier	CDDD	Average	PRC AUC	0.59412
Unweighted	3	XGBClassifier	CDDD	Low	PRC AUC	0.56653
Unweighted	3	XGBClassifier	CDDD	High	PRC AUC	0.57108
Unweighted	3	XGBClassifier	CDDD	Unknown	PRC AUC	0.63721
Weighted	2	XGBClassifier	CDDD	Average	PRC AUC	0.60213
Weighted	2	XGBClassifier	CDDD	Low	PRC AUC	0.47547
Weighted	2	XGBClassifier	CDDD	Unknown	PRC AUC	0.65088
Weighted	2	XGBClassifier	CDDD	High	PRC AUC	0.55876
Unweighted	2	XGBClassifier	CDDD	Average	PRC AUC	0.66691
Unweighted	2	XGBClassifier	CDDD	Low	PRC AUC	0.5865
Unweighted	2	XGBClassifier	CDDD	Unknown	PRC AUC	0.67559
Unweighted	2	XGBClassifier	CDDD	High	PRC AUC	0.64947
Weighted	1	XGBClassifier	CDDD	High	Brier	0.27385
Weighted	1	XGBClassifier	CDDD	Low	Brier	0.27798
Weighted	1	XGBClassifier	CDDD	Average	Brier	0.28241
Weighted	1	XGBClassifier	CDDD	Unknown	Brier	0.24892
Unweighted	1	XGBClassifier	CDDD	High	Brier	0.27385
Unweighted	1	XGBClassifier	CDDD	Low	Brier	0.27798
Unweighted	1	XGBClassifier	CDDD	Average	Brier	0.28241
Unweighted	1	XGBClassifier	CDDD	Unknown	Brier	0.24892
Weighted	0	XGBClassifier	CDDD	High	Brier	0.27106
Weighted	0	XGBClassifier	CDDD	Low	Brier	0.27134
Weighted	0	XGBClassifier	CDDD	Average	Brier	0.27349
Weighted	0	XGBClassifier	CDDD	Unknown	Brier	0.24123
Unweighted	0	XGBClassifier	CDDD	High	Brier	0.27106
Unweighted	0	XGBClassifier	CDDD	Low	Brier	0.27134
Unweighted	0	XGBClassifier	CDDD	Average	Brier	0.27349
Unweighted	0	XGBClassifier	CDDD	Unknown	Brier	0.24123
Weighted	4	XGBClassifier	CDDD	Average	Brier	0.25628
Weighted	4	XGBClassifier	CDDD	Low	Brier	0.26355
Weighted	4	XGBClassifier	CDDD	High	Brier	0.25546
Weighted	4	XGBClassifier	CDDD	Unknown	Brier	0.24131
Unweighted	4	XGBClassifier	CDDD	Average	Brier	0.25628
Unweighted	4	XGBClassifier	CDDD	Low	Brier	0.26355
Unweighted	4	XGBClassifier	CDDD	High	Brier	0.25546
Unweighted	4	XGBClassifier	CDDD	Unknown	Brier	0.24131
Weighted	3	XGBClassifier	CDDD	Average	Brier	0.26332
Weighted	3	XGBClassifier	CDDD	Low	Brier	0.26707
Weighted	3	XGBClassifier	CDDD	High	Brier	0.26997
Weighted	3	XGBClassifier	CDDD	Unknown	Brier	0.24433
Unweighted	3	XGBClassifier	CDDD	Average	Brier	0.26332
Unweighted	3	XGBClassifier	CDDD	Low	Brier	0.26707
Unweighted	3	XGBClassifier	CDDD	High	Brier	0.26997
Unweighted	3	XGBClassifier	CDDD	Unknown	Brier	0.24433
Weighted	2	XGBClassifier	CDDD	Average	Brier	0.25399
Weighted	2	XGBClassifier	CDDD	Low	Brier	0.25526
Weighted	2	XGBClassifier	CDDD	Unknown	Brier	0.23959
Weighted	2	XGBClassifier	CDDD	High	Brier	0.26065
Unweighted	2	XGBClassifier	CDDD	Average	Brier	0.25399
Unweighted	2	XGBClassifier	CDDD	Low	Brier	0.25526
Unweighted	2	XGBClassifier	CDDD	Unknown	Brier	0.23959
Unweighted	2	XGBClassifier	CDDD	High	Brier	0.26065
