Stratification	Sub-category	Metric	Value
Age	Elderly	PRC AUC	0.50254
Age	Children	PRC AUC	0.65987
Age	Adolescent	PRC AUC	0.6498
Age	Adult	PRC AUC	0.57303
Age	Unknown	PRC AUC	0.65278
Age	Elderly	PRC AUC	0.57269
Age	Children	PRC AUC	0.70943
Age	Adolescent	PRC AUC	0.7109
Age	Adult	PRC AUC	0.61489
Age	Unknown	PRC AUC	0.66888
Age	Adult	Brier	0.26688
Age	Elderly	Brier	0.26559
Age	Adolescent	Brier	0.27118
Age	Children	Brier	0.29077
Age	Unknown	Brier	0.26118
Age	Adult	Brier	0.26688
Age	Elderly	Brier	0.26559
Age	Adolescent	Brier	0.27118
Age	Children	Brier	0.29077
Age	Unknown	Brier	0.26118
Age	Adolescent	Brier	0.21222
Age	Elderly	Brier	0.28493
Age	Unknown	Brier	0.2426
Age	Children	Brier	0.25912
Age	Adult	Brier	0.27069
Age	Adolescent	Brier	0.21222
Age	Elderly	Brier	0.28493
Age	Unknown	Brier	0.2426
Age	Children	Brier	0.25912
Age	Adult	Brier	0.27069
Age	Unknown	Brier	0.2469
Age	Adult	Brier	0.25542
Age	Children	Brier	0.24316
Age	Adolescent	Brier	0.2285
Age	Elderly	Brier	0.26455
Age	Unknown	Brier	0.2469
Age	Adult	Brier	0.25542
Age	Children	Brier	0.24316
Age	Adolescent	Brier	0.2285
Age	Elderly	Brier	0.26455
Age	Elderly	Brier	0.26979
Age	Children	Brier	0.25531
Age	Adolescent	Brier	0.24297
Age	Adult	Brier	0.2601
Age	Unknown	Brier	0.251
Age	Elderly	Brier	0.26979
Age	Children	Brier	0.25531
Age	Adolescent	Brier	0.24297
Age	Adult	Brier	0.2601
Age	Unknown	Brier	0.251
Age	Elderly	Brier	0.26379
Age	Children	Brier	0.25395
Age	Adolescent	Brier	0.24173
Age	Adult	Brier	0.25145
Age	Unknown	Brier	0.24034
Age	Elderly	Brier	0.26379
Age	Children	Brier	0.25395
Age	Adolescent	Brier	0.24173
Age	Adult	Brier	0.25145
Age	Unknown	Brier	0.24034
Weight	High	Recall	0.31654
Weight	Low	Recall	0.34082
Weight	Average	Recall	0.37037
Weight	Unknown	Recall	0.75982
Weight	High	Recall	0.27316
Weight	Low	Recall	0.33133
Weight	Average	Recall	0.35234
Weight	Unknown	Recall	0.75504
Weight	High	Recall	0.35627
Weight	Low	Recall	0.37855
Weight	Average	Recall	0.4153
Weight	Unknown	Recall	0.77388
Weight	High	Recall	0.37514
Weight	Low	Recall	0.37401
Weight	Average	Recall	0.41995
Weight	Unknown	Recall	0.7741
Weight	Average	Recall	0.48816
Weight	Low	Recall	0.36834
Weight	High	Recall	0.36084
Weight	Unknown	Recall	0.80621
Weight	Average	Recall	0.47251
Weight	Low	Recall	0.35913
Weight	High	Recall	0.31628
Weight	Unknown	Recall	0.79225
Weight	Average	Recall	0.38498
Weight	Low	Recall	0.39897
Weight	High	Recall	0.20491
Weight	Unknown	Recall	0.71317
Weight	Average	Recall	0.38909
Weight	Low	Recall	0.36449
Weight	High	Recall	0.21212
Weight	Unknown	Recall	0.6998
Weight	Average	Recall	0.52579
Weight	Low	Recall	0.49956
Weight	Unknown	Recall	0.7623
Weight	High	Recall	0.32862
Weight	Average	Recall	0.51155
Weight	Low	Recall	0.48864
Weight	Unknown	Recall	0.76389
Weight	High	Recall	0.3581
Weight	High	Specificity	0.7556
Weight	Low	Specificity	0.66666
Weight	Average	Specificity	0.6422
Weight	Unknown	Specificity	0.36062
Weight	High	Specificity	0.7706
Weight	Low	Specificity	0.69888
Weight	Average	Specificity	0.64254
Weight	Unknown	Specificity	0.346
Weight	High	Specificity	0.68867
Weight	Low	Specificity	0.71941
Weight	Average	Specificity	0.64871
Weight	Unknown	Specificity	0.31258
Weight	High	Specificity	0.70991
Weight	Low	Specificity	0.7303
Weight	Average	Specificity	0.63504
Weight	Unknown	Specificity	0.31587
Weight	Average	Specificity	0.5249
Weight	Low	Specificity	0.55977
Weight	High	Specificity	0.76813
Weight	Unknown	Specificity	0.3075
Weight	Average	Specificity	0.50122
Weight	Low	Specificity	0.58105
Weight	High	Specificity	0.74531
Weight	Unknown	Specificity	0.29805
Weight	Average	Specificity	0.60868
Weight	Low	Specificity	0.66045
Weight	High	Specificity	0.76179
Weight	Unknown	Specificity	0.41084
Weight	Average	Specificity	0.60582
Weight	Low	Specificity	0.63636
Weight	High	Specificity	0.74413
Weight	Unknown	Specificity	0.39242
Weight	Average	Specificity	0.61921
Weight	Low	Specificity	0.63673
Weight	Unknown	Specificity	0.33633
Weight	High	Specificity	0.76997
Weight	Average	Specificity	0.56545
Weight	Low	Specificity	0.59823
Weight	Unknown	Specificity	0.31893
Weight	High	Specificity	0.69919
Weight	High	HarmRS	0.44616
Weight	Low	HarmRS	0.45105
Weight	Average	HarmRS	0.4698
Weight	Unknown	HarmRS	0.48911
Weight	High	HarmRS	0.40334
Weight	Low	HarmRS	0.44953
Weight	Average	HarmRS	0.45512
Weight	Unknown	HarmRS	0.47454
Weight	High	HarmRS	0.4696
Weight	Low	HarmRS	0.49607
Weight	Average	HarmRS	0.5064
Weight	Unknown	HarmRS	0.4453
Weight	High	HarmRS	0.49088
Weight	Low	HarmRS	0.49468
